pot,data_type,pot_density,block,col,row,bench,soil,genotype,5E_soil_trts,time_point,soil_probes,leaf_temp_probe,plant_date,lf_1_03.24_no_germ,lf_2_03.24_no_germ,avg_lf_03.24_no_germ
4,phys,3,1,1,2,1,BLANK,R500,No inoculation,wk2,,,3/6/17,3.858372697,3.022054278,3.439800168
5,phys,3,1,1,1,1,5E,R500,Live,wk2,,,3/6/17,3.866223438,2.643611691,3.249530717
10,phys,3,1,2,1,1,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.854447326,2.844608905,2.85160156
13,phys,3,1,3,3,1,5E,FPsc,Disrupted,wk2,,,3/6/17,3.287780659,2.611275572,2.95160156
16,phys,3,1,4,5,1,5E,FPsc,Live,wk2,,,3/6/17,2.558372697,1.555387612,2.056466835
18,phys,3,1,4,3,1,5E,FPsc,Disrupted,wk4,soil_moisture_temp,leaf_temp,3/6/17,2.754447326,2.844608905,2.80160156
23,phys,2,1,5,3,1,5E,FPsc,Live,wk4,,,3/6/17,3.337780659,2.727942239,3.034934894
24,phys,3,1,5,2,1,BLANK,FPsc,No inoculation,wk4,,,3/6/17,2.587780659,2.444608905,2.518268227
26,phys,3,1,1,6,1,5E,R500,Disrupted,wk4,soil_moisture_temp,leaf_temp,3/6/17,4.49170603,3.422054278,3.956466835
35,phys,3,1,3,7,1,BLANK,R500,No inoculation,wk4,,,3/6/17,3.487780659,3.011275572,3.25160156
38,phys,3,1,4,6,1,5E,R500,Disrupted,wk2,soil_moisture_temp,,3/6/17,3.766223438,3.443611691,3.599530717
44,phys,3,1,5,8,1,5E,R500,Live,wk4,,,3/6/17,4.166223438,3.343611691,3.749530717
48,RNAseq,3,2,1,2,1,5E,FPsc,Disrupted,wk4,,,3/6/17,2.29170603,2.322054278,2.306466835
50,RNAseq,3,2,2,5,1,5E,R500,Disrupted,wk4,,,3/6/17,3.499556772,3.610278358,3.549530717
52,RNAseq,3,2,2,3,1,5E,FPsc,Live,wk2,,,3/6/17,2.787780659,3.077942239,2.934934894
53,RNAseq,3,2,2,2,1,BLANK,FPsc,No inoculation,wk4,,,3/6/17,2.421113993,2.311275572,2.368268227
55,RNAseq,3,2,3,5,1,5E,R500,Live,wk2,,,3/6/17,4.199556772,3.310278358,3.749530717
59,RNAseq,3,2,3,1,1,5E,R500,Disrupted,wk2,,,3/6/17,3.266223438,3.476945024,3.366197384
63,RNAseq,3,2,4,2,1,BLANK,R500,No inoculation,wk4,,,3/6/17,3.328964734,2.532832985,2.927998776
64,RNAseq,3,2,4,1,1,5E,FPsc,Disrupted,wk2,,,3/6/17,2.721113993,2.344608905,2.534934894
65,RNAseq,3,2,5,5,1,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.754447326,2.944608905,2.85160156
72,RNAseq,3,2,1,8,1,5E,FPsc,Live,wk4,,,3/6/17,3.621113993,3.577942239,3.60160156
73,RNAseq,3,2,1,9,1,5E,R500,Live,wk4,,,3/6/17,3.399556772,2.810278358,3.099530717
82,RNAseq,3,2,4,6,1,BLANK,R500,No inoculation,wk2,,,3/6/17,4.428964734,3.699499651,4.061332109
93,phys,3,3,1,1,1,5E,R500,Live,wk4,,,3/6/17,3.932890105,3.543611691,3.732864051
97,phys,3,3,2,2,1,5E,FPsc,Disrupted,wk4,,,3/6/17,1.999556772,1.843611691,1.916197384
98,phys,3,3,2,1,1,5E,FPsc,Live,wk4,,,3/6/17,2.528964734,1.999499651,2.261332109
107,phys,3,3,4,2,1,BLANK,R500,No inoculation,wk2,,,3/6/17,3.166223438,2.710278358,2.932864051
