pot,pot,block,bench,row,col,genotype,density,5E_soil_trts,raw_avg_lf_11.03.17,raw_avg_lf_11.07.17
3,A3,1,2,2,1,FPsc,CR,Disrupted,3.033333333,4.633333333
6,A6,1,2,3,2,FPsc,CR,Disrupted,2.7,4.133333333
8,A8,1,2,1,2,FPsc,CR,Live,3.05,5.05
17,A17,1,2,4,5,FPsc,CR,Live,3.1,4.933333333
21,A21,2,2,4,6,FPsc,CR,Disrupted,2.65,4.55
22,A22,2,2,3,6,FPsc,CR,Live,2.9,4.75
26,A26,2,2,3,7,FPsc,CR,Disrupted,2.55,4.633333333
29,A29,2,2,4,8,FPsc,CR,Live,2.683333333,4.8
42,A42,3,2,3,11,FPsc,CR,Live,3.183333333,4.983333333
44,A44,3,2,1,11,FPsc,CR,Disrupted,2.85,4.433333333
54,A54,3,2,3,14,FPsc,CR,Disrupted,2.966666667,4.933333333
56,A56,3,2,1,14,FPsc,CR,Live,3.316666667,5.133333333
62,A62,4,2,6,1,FPsc,CR,Live,3.066666667,4.4
65,A65,4,2,5,2,FPsc,CR,Live,2.716666667,3.9
77,A77,4,2,5,5,FPsc,CR,Disrupted,2.75,4.15
79,A79,4,2,7,5,FPsc,CR,Disrupted,2.55,4.4
83,A83,5,2,7,6,FPsc,CR,Live,2.616666667,4.65
88,A88,5,2,8,7,FPsc,CR,Disrupted,2.516666667,4.416666667
91,A91,5,2,7,8,FPsc,CR,Live,3.05,4.7
95,A95,5,2,7,9,FPsc,CR,Disrupted,2.7,4.475
104,A104,6,2,8,11,FPsc,CR,Disrupted,2.816666667,4.616666667
109,A109,6,2,5,13,FPsc,CR,Live,3.1,4.833333333
119,A119,6,2,7,15,FPsc,CR,Disrupted,2.566666667,4.266666667
120,A120,6,2,8,15,FPsc,CR,Live,3.116666667,5.116666667
128,A128,7,3,1,2,FPsc,CR,Live,2.533333333,4.725
133,A133,7,3,4,4,FPsc,CR,Disrupted,2.1,4.025
136,A136,7,3,1,4,FPsc,CR,Live,2.316666667,4.525
139,A139,7,3,2,5,FPsc,CR,Disrupted,1.833333333,4.016666667
142,A142,8,3,3,6,FPsc,CR,Disrupted,2.25,4.066666667
151,A151,8,3,2,8,FPsc,CR,Live,2.183333333,5.05
153,A153,8,3,4,9,FPsc,CR,Disrupted,2.416666667,4.875
157,A157,8,3,4,10,FPsc,CR,Live,2.5,4.616666667
162,A162,9,3,3,11,FPsc,CR,Disrupted,2.033333333,4.425
170,A170,9,3,3,13,FPsc,CR,Live,2.116666667,4.375
171,A171,9,3,2,13,FPsc,CR,Disrupted,2.216666667,4.675
172,A172,9,3,1,13,FPsc,CR,Live,1.95,4.225
185,A185,10,3,5,2,FPsc,CR,Live,2.433333333,4.7
191,A191,10,3,7,3,FPsc,CR,Disrupted,2.25,4.3
198,A198,10,3,6,5,FPsc,CR,Live,1.85,4.325
199,A199,10,3,7,5,FPsc,CR,Disrupted,2.05,4.425
203,A203,11,3,7,6,FPsc,CR,Live,2.416666667,5.05
205,A205,11,3,5,7,FPsc,CR,Disrupted,2.1,4.9
216,A216,11,3,8,9,FPsc,CR,Live,2.65,4.9
220,A220,11,3,8,10,FPsc,CR,Disrupted,2.55,4.975
228,A228,12,3,8,12,FPsc,CR,Disrupted,2.133333333,4.516666667
235,A235,12,3,7,14,FPsc,CR,Disrupted,2.216666667,4.7
236,A236,12,3,8,14,FPsc,CR,Live,2.766666667,5.225
240,A240,12,3,8,15,FPsc,CR,Live,2.916666667,4.7
