"","genes","logFC","logCPM","LR","PValue","FDR","AGI","At_symbol","At_short_description","perc_ID"
"1","BraA06g014700.3C",-1.96534058342351,4.57534131679554,27.7714193760368,1.36528207315225e-07,0.0032613858163461,"AT1G19050","ARR7","response regulator 7",84.579
"2","BraA08g026670.3C",-3.71966627070123,0.65582479183887,21.4257927370737,3.67790127705002e-06,0.0439288528530854,"AT1G23120",NA,"Polyketide cyclase/dehydrase and lipid transport superfamily protein",88.222
"3","BraA07g032370.3C",-2.92628696213034,1.39964514918428,18.0639908791625,2.13603186689449e-05,0.138980924127263,"AT1G66760",NA,"MATE efflux family protein",71.386
"4","BraA01g006090.3C",1.03801643497891,6.07632437952198,17.3730512911144,3.07150208978485e-05,0.138980924127263,"AT4G31850","PGR3",NA,79.035
"5","BraA03g031840.3C",4.04072483163568,-0.01095734793847,17.1332098226852,3.48476237550179e-05,0.138980924127263,"AT3G04720","AtPR4",NA,87.597
"6","BraA04g000310.3C",3.73308310547529,2.9426436813354,16.7826868090637,4.19139758910951e-05,0.138980924127263,"AT3G63110","ATIPT3",NA,84.341
"7","BraA03g019670.3C",0.883132891047951,7.10853110000276,16.5258904288924,4.79902929182874e-05,0.138980924127263,"AT2G37710","LecRK-IV.1","receptor lectin kinase",85.28
"8","BraA04g005050.3C",1.55121647003148,2.7253318922689,16.1956806778515,5.712421730141e-05,0.138980924127263,"AT3G55030","PGPS2",NA,88.559
"9","BraA09g039930.3C",-1.96800616889154,1.62246290895582,16.1029850532008,5.99894049148183e-05,0.138980924127263,"AT1G23220",NA,"Dynein light chain type 1 family protein",85.411
"10","BraA10g033590.3C",2.22777836381889,1.09522323526641,15.8739934861216,6.77026859394814e-05,0.138980924127263,"AT5G01030",NA,"Protein of unknown function (DUF3527)",69.756
"11","BraA05g027600.3C",3.93651437738746,1.84596473876508,15.8372646953789,6.90295480464772e-05,0.138980924127263,"AT3G19710","BCAT4",NA,84.145
"12","BraA10g010650.3C",-1.07874291564685,3.56602767301106,15.8158213396131,6.98162713298377e-05,0.138980924127263,"AT5G52240","AtMAPR5","membrane steroid binding protein 1",86.295
"13","BraA01g006370.3C",1.15638419080648,3.7508923249162,15.6214685495142,7.73711517453907e-05,0.142172467145684,"AT1G13080","CYP71B2","cytochrome P450, family 71, subfamily B, polypeptide 2",77.972
"14","BraA04g013740.3C",0.905747494917409,7.10338754663141,15.4085475048987,8.65957089447893e-05,0.147625664566642,"AT5G41140",NA,"Myosin heavy chain-related protein",77.967
"15","BraA09g059770.3C",-2.54856187789988,1.08737108384407,15.2798801479401,9.26986339793883e-05,0.147625664566642,"AT1G14010",NA,"emp24/gp25L/p24 family/GOLD family protein",83.906
"16","BraA02g000420.3C",2.31044269323328,0.982557903281048,15.1171736059923,0.000101039924070331,0.150852606637004,"AT5G02190","ATASP38","Eukaryotic aspartyl protease family protein",89.606
"17","BraA02g027750.3C",-1.74497597700223,3.49646129288702,14.4911834507138,0.000140817069321286,0.164231362997193,"AT4G12580",NA,NA,80.783
"18","BraA03g038030.3C",1.44989371202189,2.72908466168221,14.4862166570186,0.000141188853036553,0.164231362997193,"AT3G17640",NA,NA,87.416
"19","BraA06g000880.3C",-1.55088574206463,2.31327266243051,14.4382053017782,0.000144834037343889,0.164231362997193,"AT1G54095",NA,"Protein of unknown function (DUF1677)",75.974
"20","BraA03g021020.3C",1.25626271166881,3.51752926589931,14.3872743370228,0.000148804540463376,0.164231362997193,"AT2G39750",NA,NA,84.19
"21","BraA03g064230.3C",0.831009057590283,9.39169537354036,14.3870087137142,0.000148825532805846,0.164231362997193,"AT1G62180","APR2","5'adenylylphosphosulfate reductase 2",84.985
"22","BraA02g022390.3C",-2.7486103774726,4.70177295438929,14.3565665417875,0.00015125125527203,0.164231362997193,"AT1G74590","ATGSTU10","glutathione S-transferase TAU 10",85.265
"23","BraA05g023210.3C",0.912396630535948,5.5707063254502,14.1449092861534,0.000169254476109655,0.167326642109761,"AT1G32440","PKp3","plastidial pyruvate kinase 3",91.461
"24","BraA05g041580.3C",1.43410622345607,1.85168205315323,14.1201474585285,0.000171497048614277,0.167326642109761,"AT3G02980","MCC1",NA,86.629
"25","BraA01g015430.3C",2.03148342472959,3.43419602298329,14.0808699737387,0.000175115792562961,0.167326642109761,"AT4G24670","AtTAR2","tryptophan aminotransferase related 2",84.382
"26","BraA06g038040.3C",-1.55396156072453,4.10908769254915,13.8425296789208,0.000198785424709347,0.182323404009609,"AT3G26820",NA,NA,82.151
"27","BraA05g009760.3C",-2.11518551285241,2.91642708187646,13.7337263978862,0.000210637860434646,0.182323404009609,"AT2G35480",NA,NA,81.154
"28","BraA05g037710.3C",0.850279177791719,5.89869967392168,13.706549165333,0.000213707941739327,0.182323404009609,"AT3G08510","ATPLC2","phospholipase C 2",87.144
"29","BraA06g003880.3C",1.21919904457413,4.45405291900029,13.5198444344293,0.000236053983457421,0.19444336402865,"AT1G49560","HHO6","Homeodomain-like superfamily protein",78.669
"30","BraA02g018610.3C",1.37785197812735,3.50919767503231,13.4092361466815,0.000250388355648046,0.199375901324017,"AT1G68670","HHO2","myb-like transcription factor family protein",72.822
"31","BraA03g025880.3C",-2.22632019370292,1.92336122214022,13.3248072161738,0.000261917836779161,0.201828815644535,"AT2G20980","MCM10","minichromosome maintenance 10",84.003
"32","BraA06g034310.3C",1.86585854822966,2.92132121980824,13.2395272634711,0.000274107030754899,0.204620898458532,"AT5G28150",NA,"Plant protein of unknown function (DUF868)",86.78
"33","BraA03g027580.3C",-1.59399266179616,1.68302745695615,13.1203495542511,0.000292105528561475,0.206820394408916,"AT4G11240","TOPP7",NA,87.307
"34","BraA01g037350.3C",2.06805839521787,6.90089763190866,13.0654802017321,0.000300788079218958,0.206820394408916,"AT3G14310","ATPME3",NA,86.723
"35","BraA01g036970.3C",2.20204230137163,1.84321456996479,13.0471137724717,0.000303752144094523,0.206820394408916,"AT3G14950","TTL2",NA,83.229
"36","BraA03g035240.3C",-1.31841165663677,2.54285768068967,12.9965408050632,0.000312066952024268,0.206820394408916,"AT3G12300","AtBUG22",NA,90.227
"37","BraA03g022970.3C",0.950870500341957,5.21896642176953,12.878135268047,0.000332443317361137,0.206820394408916,"AT2G43710","AtSSI2","Plant stearoyl-acyl-carrier-protein desaturase family protein",89.386
"38","BraA07g028670.3C",0.997961258845635,7.03836703416938,12.8212584223226,0.000342703145583385,0.206820394408916,"AT1G73600","AtPMT3","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein",91.919
"39","BraA07g030000.3C",3.51629569448692,2.47901872202413,12.8031535103681,0.000346035576020555,0.206820394408916,"AT1G70260","RTP1","nodulin MtN21 /EamA-like transporter family protein",89.007
