NAME,tissue_LorD_set,-log10 FDR q-val
leaf.antiquewhite4,leaf_Live,0
leaf.antiquewhite4,leaf_Dead,0
leaf.antiquewhite4,root_Live,0.7587380705076882
leaf.antiquewhite4,root_Dead,0
leaf.black,leaf_Live,0
leaf.black,leaf_Dead,0
leaf.black,root_Live,0
leaf.black,root_Dead,1.5913588539026076
leaf.blue,leaf_Live,0.5255979617486329
leaf.blue,leaf_Dead,0
leaf.blue,root_Live,0.7768086392167739
leaf.blue,root_Dead,0
leaf.brown,leaf_Live,0
leaf.brown,leaf_Dead,0
leaf.brown,root_Live,0
leaf.brown,root_Dead,1.6624674639372445
leaf.brown4,leaf_Live,0
leaf.brown4,leaf_Dead,0
leaf.brown4,root_Live,0.8258871086184693
leaf.brown4,root_Dead,0
leaf.coral2,leaf_Live,0
leaf.coral2,leaf_Dead,0
leaf.coral2,root_Live,0
leaf.coral2,root_Dead,1.585044508580934
leaf.cyan,leaf_Live,0
leaf.cyan,leaf_Dead,0
leaf.cyan,root_Live,0.967593986771135
leaf.cyan,root_Dead,0
leaf.darkolivegreen,leaf_Live,0
leaf.darkolivegreen,leaf_Dead,0
leaf.darkolivegreen,root_Live,0
leaf.darkolivegreen,root_Dead,2.343564023340851
leaf.darkorange2,leaf_Live,0
leaf.darkorange2,leaf_Dead,0
leaf.darkorange2,root_Live,0.7976163185559013
leaf.darkorange2,root_Dead,0
leaf.darkred,leaf_Live,0.5912834206139025
leaf.darkred,leaf_Dead,0
leaf.darkred,root_Live,0.7893559482433657
leaf.darkred,root_Dead,0
leaf.darkseagreen4,leaf_Live,0.6640402526792879
leaf.darkseagreen4,leaf_Dead,0
leaf.darkseagreen4,root_Live,0
leaf.darkseagreen4,root_Dead,0
leaf.darkturquoise,leaf_Live,0.6287149708705175
leaf.darkturquoise,leaf_Dead,0
leaf.darkturquoise,root_Live,0
leaf.darkturquoise,root_Dead,0
leaf.green,leaf_Live,0.6690432313763959
leaf.green,leaf_Dead,0
leaf.green,root_Live,0
leaf.green,root_Dead,0
leaf.greenyellow,leaf_Live,0
leaf.greenyellow,leaf_Dead,0
leaf.greenyellow,root_Live,0
leaf.greenyellow,root_Dead,0.6044811444031205
leaf.honeydew1,leaf_Live,0
leaf.honeydew1,leaf_Dead,0
leaf.honeydew1,root_Live,0
leaf.honeydew1,root_Dead,0.815434419273805
leaf.ivory,leaf_Live,0
leaf.ivory,leaf_Dead,0
leaf.ivory,root_Live,0.8472089908006932
leaf.ivory,root_Dead,0
leaf.lightpink4,leaf_Live,0
leaf.lightpink4,leaf_Dead,0
leaf.lightpink4,root_Live,1.1411919040223626
leaf.lightpink4,root_Dead,0
leaf.lightsteelblue1,leaf_Live,0
leaf.lightsteelblue1,leaf_Dead,0
leaf.lightsteelblue1,root_Live,0.635508665609983
leaf.lightsteelblue1,root_Dead,0
leaf.lightyellow,leaf_Live,0.6254059567248738
leaf.lightyellow,leaf_Dead,0
leaf.lightyellow,root_Live,0
leaf.lightyellow,root_Dead,0
leaf.maroon,leaf_Live,0
leaf.maroon,leaf_Dead,0
leaf.maroon,root_Live,0
leaf.maroon,root_Dead,1.6352821288056023
leaf.navajowhite2,leaf_Live,0
leaf.navajowhite2,leaf_Dead,0
leaf.navajowhite2,root_Live,0.656717635833303
leaf.navajowhite2,root_Dead,0
leaf.paleturquoise,leaf_Live,0
leaf.paleturquoise,leaf_Dead,0
leaf.paleturquoise,root_Live,0.6149129739125553
leaf.paleturquoise,root_Dead,0
leaf.palevioletred3,leaf_Live,0.7220455499789797
leaf.palevioletred3,leaf_Dead,0
leaf.palevioletred3,root_Live,0
leaf.palevioletred3,root_Dead,0
leaf.plum1,leaf_Live,0
leaf.plum1,leaf_Dead,0
leaf.plum1,root_Live,0.9822528540859902
leaf.plum1,root_Dead,0
leaf.purple,leaf_Live,0
leaf.purple,leaf_Dead,0
leaf.purple,root_Live,0.9581641855465536
leaf.purple,root_Dead,0
leaf.royalblue,leaf_Live,0.5524254473934492
leaf.royalblue,leaf_Dead,0
leaf.royalblue,root_Live,0.9065386872742713
leaf.royalblue,root_Dead,0
leaf.saddlebrown,leaf_Live,0
leaf.saddlebrown,leaf_Dead,0
leaf.saddlebrown,root_Live,0.7852337493008068
leaf.saddlebrown,root_Dead,0
leaf.salmon4,leaf_Live,0
leaf.salmon4,leaf_Dead,0
leaf.salmon4,root_Live,0.8033805411689807
leaf.salmon4,root_Dead,0
leaf.skyblue,leaf_Live,0.533862904884864
leaf.skyblue,leaf_Dead,0
leaf.skyblue,root_Live,0
leaf.skyblue,root_Dead,0
leaf.skyblue3,leaf_Live,0
leaf.skyblue3,leaf_Dead,0
leaf.skyblue3,root_Live,0
leaf.skyblue3,root_Dead,1.5515166030074021
leaf.steelblue,leaf_Live,0.6448213454225574
leaf.steelblue,leaf_Dead,0
leaf.steelblue,root_Live,0.825902116819061
leaf.steelblue,root_Dead,0
leaf.tan,leaf_Live,0
leaf.tan,leaf_Dead,0
leaf.tan,root_Live,0
leaf.tan,root_Dead,1.1907969909500689
leaf.thistle1,leaf_Live,0
leaf.thistle1,leaf_Dead,0
leaf.thistle1,root_Live,0
leaf.thistle1,root_Dead,1.5160738573561492
leaf.turquoise,leaf_Live,0
leaf.turquoise,leaf_Dead,0.8868415252981146
leaf.turquoise,root_Live,0
leaf.turquoise,root_Dead,0
leaf.violet,leaf_Live,0.6892281819556036
leaf.violet,leaf_Dead,0
leaf.violet,root_Live,1.0730620932825954
leaf.violet,root_Dead,0
leaf.yellow,leaf_Live,0.5838725459523254
leaf.yellow,leaf_Dead,0
leaf.yellow,root_Live,0
leaf.yellow,root_Dead,0
leaf.yellow4,leaf_Live,0
leaf.yellow4,leaf_Dead,0
leaf.yellow4,root_Live,0
leaf.yellow4,root_Dead,0.6429980778843181
root.blue,leaf_Live,0
root.blue,leaf_Dead,0
root.blue,root_Live,0
root.blue,root_Dead,0.7253844423426739
root.darkolivegreen,leaf_Live,0.581150468001832
root.darkolivegreen,leaf_Dead,0
root.darkolivegreen,root_Live,0
root.darkolivegreen,root_Dead,0
root.darkred,leaf_Live,0.7389997386273897
root.darkred,leaf_Dead,0
root.darkred,root_Live,0
root.darkred,root_Dead,0
root.greenyellow,leaf_Live,0.6305165214906336
root.greenyellow,leaf_Dead,0
root.greenyellow,root_Live,0
root.greenyellow,root_Dead,0
root.ivory,leaf_Live,0
root.ivory,leaf_Dead,0.5690084408977817
root.ivory,root_Live,0
root.ivory,root_Dead,0.632389746361964
root.lightcyan,leaf_Live,0.8133051388111877
root.lightcyan,leaf_Dead,0
root.lightcyan,root_Live,0
root.lightcyan,root_Dead,0
root.lightcyan1,leaf_Live,0
root.lightcyan1,leaf_Dead,0
root.lightcyan1,root_Live,0
root.lightcyan1,root_Dead,1.6431938793556509
root.lightgreen,leaf_Live,0.8947033021424103
root.lightgreen,leaf_Dead,0
root.lightgreen,root_Live,0
root.lightgreen,root_Dead,0
root.lightyellow,leaf_Live,0.8958329915233402
root.lightyellow,leaf_Dead,0
root.lightyellow,root_Live,0
root.lightyellow,root_Dead,0
root.magenta,leaf_Live,0.7034485966372992
root.magenta,leaf_Dead,0
root.magenta,root_Live,0
root.magenta,root_Dead,0
root.mediumpurple3,leaf_Live,0.7485211230806461
root.mediumpurple3,leaf_Dead,0
root.mediumpurple3,root_Live,0
root.mediumpurple3,root_Dead,0
root.purple,leaf_Live,0.6883664445848179
root.purple,leaf_Dead,0
root.purple,root_Live,0
root.purple,root_Dead,0
root.royalblue,leaf_Live,0.6041214690659208
root.royalblue,leaf_Dead,0
root.royalblue,root_Live,0
root.royalblue,root_Dead,0
root.bisque4,leaf_Live,0
root.black,leaf_Live,0
root.brown,leaf_Live,0
root.brown4,leaf_Live,0
root.cyan,leaf_Live,0
root.darkgreen,leaf_Live,0
root.darkgrey,leaf_Live,0
root.darkmagenta,leaf_Live,0
root.darkorange,leaf_Live,0
root.darkorange2,leaf_Live,0
root.darkslateblue,leaf_Live,0
root.darkturquoise,leaf_Live,0
root.floralwhite,leaf_Live,0
root.green,leaf_Live,0
root.grey,leaf_Live,0
root.grey60,leaf_Live,0
root.lightsteelblue1,leaf_Live,0
root.midnightblue,leaf_Live,0
root.orange,leaf_Live,0
root.orangered4,leaf_Live,0
root.paleturquoise,leaf_Live,0
root.pink,leaf_Live,0
root.plum1,leaf_Live,0
root.red,leaf_Live,0
root.saddlebrown,leaf_Live,0
root.salmon,leaf_Live,0
root.sienna3,leaf_Live,0
root.skyblue,leaf_Live,0
root.skyblue3,leaf_Live,0
root.steelblue,leaf_Live,0
root.tan,leaf_Live,0
root.turquoise,leaf_Live,0
root.violet,leaf_Live,0
root.white,leaf_Live,0
root.yellow,leaf_Live,0
root.yellowgreen,leaf_Live,0
leaf.bisque4,leaf_Live,0
leaf.coral1,leaf_Live,0
leaf.darkgreen,leaf_Live,0
leaf.darkgrey,leaf_Live,0
leaf.darkmagenta,leaf_Live,0
leaf.darkorange,leaf_Live,0
leaf.darkslateblue,leaf_Live,0
leaf.floralwhite,leaf_Live,0
leaf.grey,leaf_Live,0
leaf.grey60,leaf_Live,0
leaf.lavenderblush3,leaf_Live,0
leaf.lightcyan,leaf_Live,0
leaf.lightcyan1,leaf_Live,0
leaf.lightgreen,leaf_Live,0
leaf.magenta,leaf_Live,0
leaf.mediumorchid,leaf_Live,0
leaf.mediumpurple3,leaf_Live,0
leaf.midnightblue,leaf_Live,0
leaf.orange,leaf_Live,0
leaf.orangered4,leaf_Live,0
leaf.pink,leaf_Live,0
leaf.plum,leaf_Live,0
leaf.plum2,leaf_Live,0
leaf.red,leaf_Live,0
leaf.salmon,leaf_Live,0
leaf.sienna3,leaf_Live,0
leaf.skyblue1,leaf_Live,0
leaf.skyblue2,leaf_Live,0
leaf.thistle2,leaf_Live,0
leaf.white,leaf_Live,0
leaf.yellowgreen,leaf_Live,0
root.bisque4,leaf_Dead,0
root.black,leaf_Dead,0
root.brown,leaf_Dead,0
root.brown4,leaf_Dead,0
root.cyan,leaf_Dead,0
root.darkgreen,leaf_Dead,0
root.darkgrey,leaf_Dead,0
root.darkmagenta,leaf_Dead,0
root.darkorange,leaf_Dead,0
root.darkorange2,leaf_Dead,0
root.darkslateblue,leaf_Dead,0
root.darkturquoise,leaf_Dead,0
root.floralwhite,leaf_Dead,0
root.green,leaf_Dead,0
root.grey,leaf_Dead,0
root.grey60,leaf_Dead,0
root.lightsteelblue1,leaf_Dead,0
root.midnightblue,leaf_Dead,0
root.orange,leaf_Dead,0
root.orangered4,leaf_Dead,0
root.paleturquoise,leaf_Dead,0
root.pink,leaf_Dead,0
root.plum1,leaf_Dead,0
root.red,leaf_Dead,0
root.saddlebrown,leaf_Dead,0
root.salmon,leaf_Dead,0
root.sienna3,leaf_Dead,0
root.skyblue,leaf_Dead,0
root.skyblue3,leaf_Dead,0
root.steelblue,leaf_Dead,0
root.tan,leaf_Dead,0
root.turquoise,leaf_Dead,0
