exp,type,type2,tissue,categories,report3,NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,X12,LorD,Pct_Var_Explained,Effect
e1and3,resid,exp_gt_block,leaf,leafWGCNAsignedhybrid,gsea_report_for_0_1618782233787.tsv,leaf.darkgrey,LEAF.VOOM5.MODULE.SIGNEDHYBRID.DARKGREY,Details ...,293,0.5740867,1.4307635,0.19642857,0.30844903,0.975,7863,"tags=70%, list=34%, signal=105%",NA,Live,6.8,Increase
e1and3,resid,exp_gt_block,leaf,leafWGCNAsignedhybrid,gsea_report_for_0_1618782233787.tsv,leaf.antiquewhite4,LEAF.VOOM5.MODULE.SIGNEDHYBRID.ANTIQUEWHITE4,NA,85,0.44975188,0.97900677,0.54603857,0.74432945,1,9418,"tags=59%, list=41%, signal=99%",NA,Live,4.5,Decrease
e1and3,resid,exp_gt_block,leaf,leafWGCNAsignedhybrid,gsea_report_for_0_1618782233787.tsv,leaf.coral1,LEAF.VOOM5.MODULE.SIGNEDHYBRID.CORAL1,NA,90,0.21482228,0.5114276,0.8406709,0.9426754,1,18057,"tags=100%, list=79%, signal=465%",NA,Live,4.1,Decrease
e1and3,resid,exp_gt_block,leaf,leafWGCNAsignedhybrid,gsea_report_for_1_1618782233787.tsv,leaf.lightcyan1,LEAF.VOOM5.MODULE.SIGNEDHYBRID.LIGHTCYAN1,Details ...,169,-0.7210344,-1.6279908,0.03807615,0.40938032,0.699,5266,"tags=85%, list=23%, signal=109%",NA,Dead,7.1,Decrease
e1and3,resid,exp_gt_block,leaf,leafWGCNAsignedhybrid,gsea_report_for_1_1618782233787.tsv,leaf.honeydew1,LEAF.VOOM5.MODULE.SIGNEDHYBRID.HONEYDEW1,Details ...,100,-0.5804061,-1.2133605,0.32128513,0.6224209,1,8293,"tags=78%, list=36%, signal=122%",NA,Dead,3.9,Decrease
e1and3,resid,exp_gt_block,leaf,leafWGCNAsignedhybrid,gsea_report_for_1_1618782233787.tsv,leaf.maroon,LEAF.VOOM5.MODULE.SIGNEDHYBRID.MAROON,NA,114,-0.43205088,-0.9263511,0.58870965,0.9004273,1,9337,"tags=60%, list=41%, signal=100%",NA,Dead,3.5,Decrease
e1and3,resid,exp_gt_block,leaf,rootWGCNAsignedhybrid,gsea_report_for_0_1618782208620.tsv,root.darkred,ROOT.VOOM5.MODULE.SIGNEDHYBRID.DARKRED,Details ...,188,0.46726614,1.5498712,0.05894737,0.18238968,0.546,5139,"tags=47%, list=22%, signal=60%",NA,Live,9.6,Increase
e1and3,resid,exp_gt_block,leaf,rootWGCNAsignedhybrid,gsea_report_for_0_1618782208620.tsv,root.orangered4,ROOT.VOOM5.MODULE.SIGNEDHYBRID.ORANGERED4,NA,69,0.19736065,0.7422492,0.80042917,0.810326,1,5644,"tags=30%, list=25%, signal=40%",NA,Live,7.5,Increase
e1and3,resid,exp_gt_block,leaf,rootWGCNAsignedhybrid,gsea_report_for_1_1618782208620.tsv,root.ivory,ROOT.VOOM5.MODULE.SIGNEDHYBRID.IVORY,Details ...,87,-0.5663442,-1.7281845,0.03742204,0.2697687,0.213,6169,"tags=57%, list=27%, signal=78%",NA,Dead,10.3,Decrease
e1and3,resid,exp_gt_block,leaf,rootWGCNAsignedhybrid,gsea_report_for_1_1618782208620.tsv,root.bisque4,ROOT.VOOM5.MODULE.SIGNEDHYBRID.BISQUE4,Details ...,56,-0.2150524,-0.67787695,0.80784315,0.83223,1,6966,"tags=41%, list=30%, signal=59%",NA,Dead,4.1,Decrease
e1and3,resid,exp_gt_block,root,leafWGCNAsignedhybrid,gsea_report_for_0_1618781857952.tsv,leaf.antiquewhite4,LEAF.VOOM5.MODULE.SIGNEDHYBRID.ANTIQUEWHITE4,Details ...,80,0.4370634,1.4766608,0.08686869,0.17428577,0.718,7453,"tags=54%, list=29%, signal=75%",NA,Live,4.5,Decrease
e1and3,resid,exp_gt_block,root,leafWGCNAsignedhybrid,gsea_report_for_0_1618781857952.tsv,leaf.lightcyan1,LEAF.VOOM5.MODULE.SIGNEDHYBRID.LIGHTCYAN1,NA,165,0.23466623,0.74009943,0.71119845,0.8960154,1,7628,"tags=39%, list=30%, signal=56%",NA,Live,7.1,Decrease
e1and3,resid,exp_gt_block,root,leafWGCNAsignedhybrid,gsea_report_for_1_1618781857952.tsv,leaf.maroon,LEAF.VOOM5.MODULE.SIGNEDHYBRID.MAROON,Details ...,110,-0.63613456,-1.8633462,0.003921569,0.023158897,0.061,5668,"tags=65%, list=22%, signal=82%",NA,Dead,3.5,Decrease
e1and3,resid,exp_gt_block,root,leafWGCNAsignedhybrid,gsea_report_for_1_1618781857952.tsv,leaf.honeydew1,LEAF.VOOM5.MODULE.SIGNEDHYBRID.HONEYDEW1,Details ...,99,-0.43463254,-1.5821791,0.0445269,0.15295567,0.505,6398,"tags=48%, list=25%, signal=64%",NA,Dead,3.9,Decrease
e1and3,resid,exp_gt_block,root,leafWGCNAsignedhybrid,gsea_report_for_1_1618781857952.tsv,leaf.coral1,LEAF.VOOM5.MODULE.SIGNEDHYBRID.CORAL1,NA,89,-0.33115658,-0.9411495,0.5267327,0.72071505,1,4237,"tags=30%, list=16%, signal=36%",NA,Dead,4.1,Decrease
e1and3,resid,exp_gt_block,root,leafWGCNAsignedhybrid,gsea_report_for_1_1618781857952.tsv,leaf.darkgrey,LEAF.VOOM5.MODULE.SIGNEDHYBRID.DARKGREY,NA,288,-0.25784516,-0.901309,0.55,0.7328088,1,8876,"tags=41%, list=34%, signal=62%",NA,Dead,6.8,Increase
e1and3,resid,exp_gt_block,root,rootWGCNAsignedhybrid,gsea_report_for_0_1618781808240.tsv,root.darkred,ROOT.VOOM5.MODULE.SIGNEDHYBRID.DARKRED,Details ...,288,0.6424133,1.5816151,0.10183299,0.5222749,0.708,7339,"tags=75%, list=28%, signal=104%",NA,Live,9.6,Increase
e1and3,resid,exp_gt_block,root,rootWGCNAsignedhybrid,gsea_report_for_0_1618781808240.tsv,root.orangered4,ROOT.VOOM5.MODULE.SIGNEDHYBRID.ORANGERED4,Details ...,146,0.50759673,1.264347,0.3104126,0.55206907,0.991,9269,"tags=68%, list=36%, signal=105%",NA,Live,7.5,Increase
e1and3,resid,exp_gt_block,root,rootWGCNAsignedhybrid,gsea_report_for_1_1618781808240.tsv,root.ivory,ROOT.VOOM5.MODULE.SIGNEDHYBRID.IVORY,Details ...,112,-0.7754,-1.7066029,0.023904383,0.23313649,0.372,4645,"tags=86%, list=18%, signal=104%",NA,Dead,10.3,Decrease
e1and3,resid,exp_gt_block,root,rootWGCNAsignedhybrid,gsea_report_for_1_1618781808240.tsv,root.bisque4,ROOT.VOOM5.MODULE.SIGNEDHYBRID.BISQUE4,Details ...,74,-0.62057227,-1.3737191,0.20943396,0.56813264,0.961,7908,"tags=77%, list=31%, signal=111%",NA,Dead,4.1,Decrease
