name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_padjust,Definition,value
leaf.antiquewhite4,GO:0019761,0,1,12,69,glucosinolate biosynthetic process,BP,0,"The chemical reactions and pathways resulting in the formation of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae.",NA
leaf.antiquewhite4,GO:0009625,5.102752657787141e-8,0.9999999992916768,5,84,response to insect,BP,6.977418368485312e-5,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from an insect.",NA
leaf.antiquewhite4,GO:0009098,5.524480101730255e-8,0.9999999996726847,4,30,leucine biosynthetic process,BP,6.977418368485312e-5,"The chemical reactions and pathways resulting in the formation of leucine, 2-amino-4-methylpentanoic acid.",NA
leaf.antiquewhite4,GO:0009086,6.077580562942475e-6,0.9999999550667323,3,26,methionine biosynthetic process,BP,0.00575698818824726,"The chemical reactions and pathways resulting in the formation of methionine (2-amino-4-(methylthio)butanoic acid), a sulfur-containing, essential amino acid found in peptide linkage in proteins.",NA
leaf.bisque4,NA,NA,NA,NA,NA,NA,NA,NA,NA,no enriched GO
leaf.black,NA,NA,NA,NA,NA,NA,NA,NA,NA,no enriched GO
leaf.blue,GO:0006886,1.364171790209611e-6,0.999999476908209,39,428,intracellular protein transport,BP,0.0028581981475328975,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",NA
leaf.blue,GO:0010498,1.5086820520099748e-6,0.9999998165171681,11,52,proteasomal protein catabolic process,BP,0.0028581981475328975,The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome.,NA
leaf.blue,GO:0006465,4.402843874288922e-6,0.9999996343509049,8,31,signal peptide processing,BP,0.005073681070522831,The proteolytic removal of a signal peptide from a protein during or after transport to a specific location in the cell.,NA
leaf.blue,GO:0010499,5.356221768828536e-6,0.9999993380783196,10,49,proteasomal ubiquitin-independent protein catabolic process,BP,0.005073681070522831,The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome but do not involve ubiquitin.,NA
leaf.brown,GO:0006412,4.737983515348598e-246,1,283,715,translation,BP,1.7952219539655837e-242,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",NA
leaf.brown,GO:0042254,1.5441524733550291e-83,1,96,236,ribosome biogenesis,BP,2.925396860771103e-80,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis.",NA
leaf.brown,GO:0002181,2.306472036681941e-36,1,38,83,cytoplasmic translation,BP,2.9130741823292913e-33,The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein.,NA
leaf.brown,GO:0000027,6.931198461426696e-32,1,34,72,ribosomal large subunit assembly,BP,6.565577742586439e-29,"The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit.",NA
leaf.brown,GO:0000028,2.5898952600899615e-21,1,24,61,ribosomal small subunit assembly,BP,1.962622628096173e-18,"The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the small ribosomal subunit.",NA
leaf.brown,GO:0042273,1.2314872833023195e-10,0.9999999999941369,12,32,ribosomal large subunit biogenesis,BP,7.776842194054148e-8,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a large ribosomal subunit; includes transport to the sites of protein synthesis.",NA
leaf.brown,GO:0019941,2.0093088967997044e-9,0.999999999884792,11,35,modification-dependent protein catabolic process,BP,1.0876102014248686e-6,"The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein.",NA
leaf.brown,GO:0006414,4.363014119876346e-9,0.9999999993416688,19,105,translational elongation,BP,2.0664325625264343e-06,The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis.,NA
leaf.brown,GO:0000462,9.11731353382197e-9,0.9999999991685193,13,49,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",BP,3.838388997739049e-6,"Any process involved in the maturation of a precursor Small SubUnit (SSU) ribosomal RNA (rRNA) molecule into a mature SSU-rRNA molecule from the pre-rRNA molecule originally produced as a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, 5.8S rRNA, and the Large Subunit (LSU) in that order from 5' to 3' along the primary transcript.",NA
leaf.brown,GO:1902626,5.986152566953291e-8,0.9999999992050465,6,9,assembly of large subunit precursor of preribosome,BP,2.268153207618602e-5,NA,NA
leaf.brown,GO:0000463,4.931536638372037e-7,0.999999971871436,8,23,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",BP,1.698690211162877e-4,"Any process involved in the maturation of a precursor Large SubUnit (LSU) ribosomal RNA (rRNA) molecule into a mature LSU-rRNA molecule from the pre-rRNA molecule originally produced as a tricistronic rRNA transcript that contains the Small Subunit (SSU) rRNA, 5.8S rRNA, and Large Subunit (LSU) in that order from 5' to 3' along the primary transcript.",NA
leaf.brown,GO:0006364,7.213592408557879e-7,0.9999998258757425,21,160,rRNA processing,BP,2.2776918030021503e-4,Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules.,NA
leaf.brown,GO:0009651,1.0840011462486065e-6,0.9999996316573001,70,1045,response to salt stress,BP,3.1594464177969e-4,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment.",NA
leaf.brown,GO:0000387,1.3417012897341602e-6,0.9999999067401584,8,29,spliceosomal snRNP assembly,BP,3.6312187048590953e-4,"The aggregation, arrangement and bonding together of one or more snRNA and multiple protein components to form a ribonucleoprotein complex that is involved in formation of the spliceosome.",NA
leaf.brown,GO:0080156,2.780624772822811e-6,0.999999639235866,11,52,mitochondrial mRNA modification,BP,7.02385817615042e-4,The covalent alteration within the mitochondrion of one or more nucleotides within an mRNA to produce an mRNA molecule with a sequence that differs from that coded genetically.,NA
leaf.brown,GO:0000470,1.2749887933678832e-5,0.9999990196306778,7,26,maturation of LSU-rRNA,BP,0.003019332836294318,Any process involved in the maturation of a precursor Large SubUnit (LSU) ribosomal RNA (rRNA) molecule into a mature LSU-rRNA molecule.,NA
