name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust,value
leaf.voom5.module_antiquewhite4,minusS_Nishida_2017_root_FC_down,0,1,12,99,0,NA
leaf.voom5.module_antiquewhite4,heat_Kilian_2013_shoot_FC_down,1.0918755795066524e-8,0.9999999987844889,15,1900,2.696623905178091e-7,NA
leaf.voom5.module_antiquewhite4,heat_Kilian_2013_root_FC_down,1.3711646975481818e-8,0.9999999982126567,17,2636,2.696623905178091e-7,NA
leaf.voom5.module_antiquewhite4,coldKilian_2013_root_FC_down,5.849226689517003e-7,0.9999999086125608,15,2739,8.62760936703758e-6,NA
leaf.voom5.module_antiquewhite4,minusMg_Niu_2016_shoot_FC_down,9.798379844908057e-7,0.999999806683895,19,4416,1.1562088216991507e-5,NA
leaf.voom5.module_antiquewhite4,minusN_Nishida_2017_root_FC_down,6.18670900598914e-6,0.9999991227635897,11,1753,6.0835971892226545e-5,NA
leaf.voom5.module_antiquewhite4,coldKilian_2013_shoot_FC_down,1.3038363936672487e-5,0.9999978088405587,12,2179,1.0989478175195382e-4,NA
leaf.voom5.module_antiquewhite4,minusPi_3d_Liu_2016_shoot_FC_up,4.281264794801578e-5,0.9999924748027256,11,2071,3.157432786166164e-4,NA
leaf.voom5.module_antiquewhite4,minusPi_1d_Liu_2016_shoot_FC_up,8.619952572318069e-5,0.9999850005007551,10,1811,5.650857797408512e-4,NA
leaf.voom5.module_antiquewhite4,plusMg_Niu_2016_shoot_FC_up,1.9146904185573025e-4,0.999959951786175,11,2479,0.0011296673469488084,NA
leaf.voom5.module_bisque4,NA,NA,NA,NA,NA,NA,no enriched GO
leaf.voom5.module_black,minusPi_1d_Liu_2016_shoot_FC_down,1.1373109033656254e-5,0.9999960784071791,26,701,6.710134329857189e-4,NA
leaf.voom5.module_black,minusMg_Niu_2016_shoot_FC_up,2.697644106496288e-5,0.9999832126360565,117,4969,0.00079580501141640495,NA
leaf.voom5.module_black,heat_Kilian_2013_root_FC_up,3.9238757807504016e-4,0.999822119861023,29,1021,0.007716955702142457,NA
leaf.voom5.module_black,plusMg_Niu_2016_shoot_FC_up,0.0010492499397993806,0.9993610595396484,60,2479,0.015476436612040864,NA
leaf.voom5.module_black,plusIAA_Nemhauser_2006_seedlings_FC_up,0.004093970702367888,0.9991884976983275,6,115,0.04183834797815068,NA
leaf.voom5.module_black,heat_Kilian_2013_shoot_FC_up,0.004254747252015323,0.997959407933343,22,837,0.04183834797815068,NA
leaf.voom5.module_blue,minusMg_Niu_2016_shoot_FC_down,7.239830829149554e-41,1,395,4416,4.271500189198237e-39,NA
leaf.voom5.module_blue,minusMg_Niu_2016_shoot_FC_up,3.165758569340375e-29,1,373,4969,9.338987779554106e-28,NA
leaf.voom5.module_blue,coldKilian_2013_shoot_FC_down,1.575996361234512e-24,1,206,2179,3.0994595104278737e-23,NA
leaf.voom5.module_blue,minusFe_Kailasam2019_shoot_FC_down,1.1943546771824031e-18,1,143,1543,1.7616731488440447e-17,NA
