name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_padjust,Term,Definition,value
leaf_tissue.root.darkred.Live,GO:0009722,5.064922286860572e-6,1,2,2,detection of cytokinin stimulus,BP,0.009595495272457354,detection of cytokinin stimulus,The series of events in which a cytokinin stimulus is received by a cell and converted into a molecular signal.,NA
leaf_tissue.root.darkred.Live,GO:0071345,5.064922286860572e-6,1,2,2,cellular response to cytokine stimulus,BP,0.009595495272457354,cellular response to cytokine stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus.",NA
leaf_tissue.root.ivory.Dead,GO:0042128,7.527188670718686e-10,0.9999999999922298,6,81,nitrate assimilation,BP,2.85205178733531e-6,nitrate assimilation,"The nitrogen metabolic process that encompasses the uptake of nitrate from the environment and reduction to ammonia, and results in the incorporation of nitrogen derived from nitrate into cellular substances.",NA
leaf_tissue.root.ivory.Dead,GO:0009635,7.534156891710033e-9,0.9999999999747436,4,19,response to herbicide,BP,1.4273460231344656e-5,response to herbicide,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a herbicide stimulus. Herbicides are chemicals used to kill or control the growth of plants.",NA
leaf_tissue.root.ivory.Dead,GO:0009051,1.3575041489828083e-8,0.9999999999459108,4,22,"pentose-phosphate shunt, oxidative branch",BP,1.714527740165287e-5,"pentose-phosphate shunt, oxidative branch","The branch of the pentose-phosphate shunt which involves the oxidation of glucose 6-P and produces ribulose 5-P, reduced NADP+ and carbon dioxide (CO2).",NA
leaf_tissue.root.ivory.Dead,GO:0006809,9.376894293789917e-8,0.9999999998748786,3,7,nitric oxide biosynthetic process,BP,8.8822631197924993e-05,nitric oxide biosynthetic process,"The chemical reactions and pathways resulting in the formation of nitric oxide, nitrogen monoxide (NO), a colorless gas only slightly soluble in water.",NA
leaf_tissue.root.ivory.Dead,GO:0055114,2.0501949515712685e-7,0.9999999751450142,13,1923,oxidation-reduction process,BP,1.5536377343007072e-4,oxidation-reduction process,"A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.",NA
leaf_tissue.root.ivory.Dead,GO:0019521,1.374869541307355e-5,0.9999999843388356,2,5,D-gluconate metabolic process,BP,0.008682301153355948,D-gluconate metabolic process,"The chemical reactions and pathways involving D-gluconate, the anion of D-gluconic acid, the aldonic acid derived from glucose.",NA
leaf_tissue.root.ivory.Dead,GO:0046686,2.2551435252784902e-5,0.9999979267207562,7,753,response to cadmium ion,BP,0.012206769738971715,response to cadmium ion,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cadmium (Cd) ion stimulus.",NA
leaf_tissue.root.ivory.Dead,GO:0010167,2.870686437591815e-5,0.9999996271367346,3,53,response to nitrate,BP,0.013596288640044234,response to nitrate,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrate stimulus.",NA
