name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust,value
leaf_tissue.root.darkred.Live,minusN_Peng_2007_whole_FC_up,1.965165539414097e-15,1,16,483,1.1790993236484583e-13,NA
leaf_tissue.root.darkred.Live,plusMg_Niu_2016_shoot_FC_up,1.9539656178632647e-13,1,26,2172,5.861896853589794e-12,NA
leaf_tissue.root.darkred.Live,minusN_Nishida_2017_root_FC_up,9.671913689108053e-13,1,24,1913,1.9343827378216105e-11,NA
leaf_tissue.root.darkred.Live,minusMg_Niu_2016_shoot_FC_up,2.03211868195713e-12,1,34,4481,3.0481780229356945e-11,NA
leaf_tissue.root.darkred.Live,minusPi_1d_Liu_2016_shoot_FC_up,4.052816701544285e-12,1,22,1622,4.863380041853142e-11,NA
leaf_tissue.root.darkred.Live,minusPi_3d_Liu_2016_shoot_FC_up,4.957104832037522e-12,1,23,1861,4.957104832037522e-11,NA
leaf_tissue.root.darkred.Live,minusPi_3d_Liu_2016_root_FC_up,3.6167180960373045e-9,0.999999999470989,19,1837,3.1000440823176894e-8,NA
leaf_tissue.root.darkred.Live,minusPi_1d_Liu_2016_root_FC_up,2.552642909560381e-8,0.9999999975452045,12,739,1.9144821821702856e-7,NA
leaf_tissue.root.darkred.Live,coldKilian_2013_shoot_FC_up,1.5333663195025594e-6,0.9999996880324888,17,2108,1.0222442130017063e-5,NA
leaf_tissue.root.darkred.Live,coldKilian_2013_root_FC_up,4.512664622033636e-5,0.9999909164279239,12,1434,2.6567523755813033e-4,NA
leaf_tissue.root.darkred.Live,minusK_Nishida_2017_root_FC_up,4.8707126885657234e-5,0.9999917686927254,10,991,2.6567523755813033e-4,NA
leaf_tissue.root.darkred.Live,minusFe_Kailasam2019_shoot_FC_up,3.328914972016822e-4,0.9999427968359121,8,821,0.001664457486008411,NA
leaf_tissue.root.darkred.Live,plusMg_Niu_2016_root_FC_up,6.878895152095928e-4,0.99990501562215,6,524,0.003174874685582736,NA
leaf_tissue.root.darkred.Live,minusFe_Kailasam2019_root_FC_up,0.0015360270939959422,0.9996655294760044,8,1052,0.006582973259982609,NA
leaf_tissue.root.darkred.Live,minusFe_Kailasam2019_shoot_FC_down,0.010114233845536374,0.996986219616394,8,1478,0.03797252218750246,NA
leaf_tissue.root.darkred.Live,heat_Kilian_2013_shoot_FC_down,0.010126005916667322,0.9965172299866989,10,1900,0.03797252218750246,NA
leaf_tissue.root.ivory.Dead,minusN_Nishida_2017_root_FC_down,0,1,34,1404,0,NA
leaf_tissue.root.ivory.Dead,heat_Kilian_2013_root_FC_down,6.849265343508927e-13,1,21,2636,2.054779603052678e-11,NA
leaf_tissue.root.ivory.Dead,coldKilian_2013_root_FC_down,4.828821296246127e-10,0.999999999957847,18,2739,9.657642592492254e-9,NA
leaf_tissue.root.ivory.Dead,minusFe_Kailasam2019_root_FC_down,4.796982992950639e-8,0.9999999949097421,13,1720,7.195474489425959e-7,NA
leaf_tissue.root.ivory.Dead,minusFe_Kailasam2019_shoot_FC_down,7.33100501450269e-8,0.9999999927060491,12,1478,7.725273993803574e-7,NA
leaf_tissue.root.ivory.Dead,minusN_Peng_2007_whole_FC_down,7.725273993803574e-8,0.9999999970423818,7,314,7.725273993803574e-7,NA
leaf_tissue.root.ivory.Dead,plusN_Wang2003_root_FC_down,1.058490060435665e-7,0.9999999998352269,3,9,9.072771946591414e-7,NA
leaf_tissue.root.ivory.Dead,plusMg_Niu_2016_root_FC_down,3.0449495840309414e-6,0.9999997953824566,7,571,2.102713161199846e-5,NA
leaf_tissue.root.ivory.Dead,minusMg_Niu_2016_shoot_FC_down,3.1540697417997688e-6,0.9999993804529405,17,4092,2.102713161199846e-5,NA
leaf_tissue.root.ivory.Dead,heat_Kilian_2013_shoot_FC_down,1.5991896115669428e-5,0.9999975028448699,11,1900,9.595137669401657e-5,NA
leaf_tissue.root.ivory.Dead,minusPi_3d_Liu_2016_root_FC_down,8.332978635428609e-4,0.9999090796258313,5,617,0.00454526107387015,NA
leaf_tissue.root.ivory.Dead,plusAl_Ligaba-OSena_2017_shoot_FC_up,0.006978166468423178,0.9997290979667417,2,99,0.03489083234211589,NA
leaf_tissue.root.ivory.Dead,minusPi_1d_Liu_2016_root_FC_up,0.009222159955260883,0.9986287746406948,4,739,0.040902036031524924,NA
leaf_tissue.root.ivory.Dead,minusMn_Rodriguez-Celma_2016_root_FC_up,0.009543808407355817,0.9990423882150229,3,371,0.040902036031524924,NA
root_tissue.leaf.antiquewhite4.Live,NA,NA,NA,NA,NA,NA,no enriched GO
root_tissue.leaf.maroon.Dead,minusPi_3d_Liu_2016_shoot_FC_down,0,1,23,954,0,NA
root_tissue.leaf.maroon.Dead,minusMg_Niu_2016_shoot_FC_up,2.4862856860560086e-8,0.9999999950807211,24,4481,7.458857058168026e-7,NA
root_tissue.leaf.maroon.Dead,heat_Kilian_2013_shoot_FC_up,4.3317293767631835e-5,0.999994545897587,8,837,8.663458753526366e-4,NA
