name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_padjust,Term,Definition
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,GO:0042742,4.745388730004107e-39,1,103,726,defense response to bacterium,BP,1.798027789798556e-35,defense response to bacterium,Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism.
leaf.voom5.module.signedhybrid_bisque4,GO:0006468,5.520782119216389e-35,1,153,1484,protein phosphorylation,BP,1.0459121724855449e-31,protein phosphorylation,The process of introducing a phosphate group on to a protein.
leaf.voom5.module.signedhybrid_bisque4,GO:0010200,6.341093081298869e-30,1,55,286,response to chitin,BP,8.008800561680471e-27,response to chitin,"A process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chitin stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0050832,6.925328559383794e-28,1,66,469,defense response to fungus,BP,6.560017477876298e-25,defense response to fungus,Reactions triggered in response to the presence of a fungus that act to protect the cell or organism.
leaf.voom5.module.signedhybrid_bisque4,GO:0006952,2.179932707734406e-25,1,109,1165,defense response,BP,1.6519530059211329e-22,defense response,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
leaf.voom5.module.signedhybrid_bisque4,GO:0009816,3.744620010649879e-15,1,24,97,"defense response to bacterium, incompatible interaction",BP,2.3647275367253986e-12,"defense response to bacterium, incompatible interaction",A response of an organism to a bacterium that prevents the occurrence or spread of disease.
leaf.voom5.module.signedhybrid_bisque4,GO:0009751,9.477007285740803e-15,1,41,347,response to salicylic acid,BP,5.129768657953129e-12,response to salicylic acid,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a salicylic acid stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0009617,8.697885364110367e-14,1,34,241,response to bacterium,BP,4.1195359555767726e-11,response to bacterium,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."
leaf.voom5.module.signedhybrid_bisque4,GO:0009627,1.198078287768323e-13,1,22,104,systemic acquired resistance,BP,5.04390959150464e-11,systemic acquired resistance,The salicylic acid mediated response to a pathogen which confers broad spectrum resistance.
