name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust,value
leaf.voom5.module.signedhybrid_antiquewhite4,coldKilian_2013_root_FC_down,1.378086108341513e-4,0.9999335355724094,41,3632,0.007992899428380777,NA
leaf.voom5.module.signedhybrid_bisque4,plusMg_Niu_2016_shoot_FC_up,3.5625849646251807e-134,1,385,3281,2.0662992794826048e-132,NA
leaf.voom5.module.signedhybrid_bisque4,minusMg_Niu_2016_shoot_FC_up,1.2719868144201901e-129,1,523,6519,3.6887617618185513e-128,NA
leaf.voom5.module.signedhybrid_bisque4,minusPi_3d_Liu_2016_shoot_FC_up,4.398145159652725e-95,1,306,2784,8.503080641995268e-94,NA
leaf.voom5.module.signedhybrid_bisque4,minusPi_1d_Liu_2016_shoot_FC_up,4.809369155281771e-74,1,258,2419,6.973585275158567e-73,NA
leaf.voom5.module.signedhybrid_bisque4,minusK_Nishida_2017_root_FC_up,1.021376308746446e-66,1,190,1525,1.1847965181458775e-65,NA
leaf.voom5.module.signedhybrid_bisque4,coldKilian_2013_root_FC_up,1.546116726580235e-61,1,214,2073,1.494579502360894e-60,NA
leaf.voom5.module.signedhybrid_bisque4,heat_Kilian_2013_root_FC_down,7.860206423019381e-46,1,267,3584,6.512742464787488e-45,NA
leaf.voom5.module.signedhybrid_bisque4,plusMg_Niu_2016_root_FC_down,3.5579642414122487e-38,1,102,825,2.5795240750238805e-37,NA
leaf.voom5.module.signedhybrid_bisque4,minusFe_Kailasam2019_root_FC_up,4.082420833305951e-30,1,143,1786,2.6308934259082797e-29,NA
leaf.voom5.module.signedhybrid_bisque4,minusPi_3d_Liu_2016_root_FC_up,1.85132850971263e-29,1,188,2846,1.0737705356333253e-28,NA
leaf.voom5.module.signedhybrid_bisque4,coldKilian_2013_shoot_FC_up,1.452178127240688e-28,1,197,3013,7.656939216359991e-28,NA
leaf.voom5.module.signedhybrid_bisque4,minusMg_Niu_2016_root_FC_up,1.8400762817694485e-14,1,69,852,8.893702028552334e-14,NA
leaf.voom5.module.signedhybrid_bisque4,heat_Kilian_2013_shoot_FC_down,2.1139164687292534e-14,1,156,2756,9.43131962971513e-14,NA
leaf.voom5.module.signedhybrid_bisque4,minusMn_Rodriguez-Celma_2016_root_FC_up,8.74117091324993e-9,1,41,527,3.621342235489257e-8,NA
leaf.voom5.module.signedhybrid_bisque4,plusIAA_Nemhauser_2006_seedlings_FC_up,2.904956894707306e-5,0.9999925294452866,16,193,1.123249999286825e-4,NA
leaf.voom5.module.signedhybrid_bisque4,plusAl_Ligaba-OSena_2017_shoot_FC_up,9.323208567112544e-5,0.9999711345637687,18,218,3.3796631055782976e-4,NA
leaf.voom5.module.signedhybrid_bisque4,minusCa_Nishida_2017_root_FC_up,1.1804488979358648e-4,0.99996576217789,16,190,4.0274138870753033e-4,NA
leaf.voom5.module.signedhybrid_bisque4,minusPi_1d_Liu_2016_root_FC_down,2.3486364537797348e-4,0.9999066435933203,24,364,7.567828573290257e-4,NA
leaf.voom5.module.signedhybrid_bisque4,plusAl_Ligaba-OSena_2017_root_FC_up,2.533689199265207e-4,0.9999330831900307,13,132,7.734419660914843e-4,NA
leaf.voom5.module.signedhybrid_bisque4,minusPi_1d_Liu_2016_root_FC_up,0.003807255469641992,0.9976589832362699,48,1207,0.011041040861961776,NA
leaf.voom5.module.signedhybrid_bisque4,minusN_Nishida_2017_root_FC_up,0.004147855511694622,0.9970266108961385,99,2560,0.01145598188944229,NA
leaf.voom5.module.signedhybrid_brown,minusPi_3d_Liu_2016_shoot_FC_down,8.40513930033492e-210,1,309,1515,4.874980794194253e-208,NA
leaf.voom5.module.signedhybrid_brown,minusMg_Niu_2016_shoot_FC_up,7.889326175748746e-154,1,492,6519,2.2879045909671363e-152,NA
leaf.voom5.module.signedhybrid_brown,coldKilian_2013_shoot_FC_up,5.59029624043112e-8,1,110,3013,1.0807906064833497e-6,NA
leaf.voom5.module.signedhybrid_brown,heat_Kilian_2013_shoot_FC_up,1.843786697730065e-4,0.9999010120339593,50,1266,0.002673490711708594,NA
leaf.voom5.module.signedhybrid_brown4,heat_Kilian_2013_shoot_FC_down,5.127688701576925e-4,0.9997958799834895,23,2756,0.02974059446914616,NA
leaf.voom5.module.signedhybrid_coral1,minusPi_3d_Liu_2016_shoot_FC_down,7.969156459876157e-53,1,117,1515,4.622110746728171e-51,NA
leaf.voom5.module.signedhybrid_coral1,minusMg_Niu_2016_shoot_FC_up,1.1442694110500706e-47,1,242,6519,3.3183812920452047e-46,NA
leaf.voom5.module.signedhybrid_coral1,coldKilian_2013_shoot_FC_up,2.6751263204532175e-35,1,142,3013,5.171910886209554e-34,NA
leaf.voom5.module.signedhybrid_coral1,heat_Kilian_2013_shoot_FC_up,4.161134744942163e-15,1,55,1266,6.033645380166137e-14,NA
leaf.voom5.module.signedhybrid_coral2,minusMg_Niu_2016_shoot_FC_up,1.6493694347752038e-16,1,211,6519,9.566342721696181e-15,NA
leaf.voom5.module.signedhybrid_coral2,coldKilian_2013_root_FC_down,3.047998744228899e-4,0.9998024960255502,95,3632,0.00721082010447658,NA
leaf.voom5.module.signedhybrid_coral2,coldKilian_2013_shoot_FC_up,4.1753618452876145e-4,0.9997372762199507,79,3013,0.00721082010447658,NA
leaf.voom5.module.signedhybrid_coral2,plusMg_Niu_2016_root_FC_down,4.972979382397642e-4,0.9997647099435221,31,825,0.00721082010447658,NA
leaf.voom5.module.signedhybrid_cyan,minusMg_Niu_2016_shoot_FC_down,3.0253924213409214e-121,1,637,5491,1.7547276043777343e-119,NA
leaf.voom5.module.signedhybrid_cyan,coldKilian_2013_shoot_FC_down,1.9985843278683624e-34,1,291,3215,5.795894550818251e-33,NA
leaf.voom5.module.signedhybrid_cyan,plusMg_Niu_2016_shoot_FC_down,1.1407776266898523e-30,1,197,1863,2.205503411600381e-29,NA
leaf.voom5.module.signedhybrid_cyan,heat_Kilian_2013_shoot_FC_down,1.5913518454568265e-18,1,238,2756,2.3074601759123986e-17,NA
leaf.voom5.module.signedhybrid_cyan,coldKilian_2013_root_FC_down,4.382580260109243e-10,1,212,3632,5.083793101726722e-9,NA
leaf.voom5.module.signedhybrid_cyan,minusMn_Rodriguez-Celma_2016_root_FC_down,8.190771580856321e-7,0.9999997228685485,70,1115,7.917745861494444e-6,NA
leaf.voom5.module.signedhybrid_cyan,minusPi_1d_Liu_2016_shoot_FC_up,6.503737235533533e-6,0.999995885902347,157,2419,5.388810852299214e-5,NA
leaf.voom5.module.signedhybrid_cyan,coldKilian_2013_shoot_FC_up,5.039084148788707e-4,0.999633665451427,158,3013,0.0036533360078718127,NA
leaf.voom5.module.signedhybrid_cyan,minusFe_Kailasam2019_root_FC_down,0.0012398798945535074,0.9991007774760727,133,2770,0.007990337098233715,NA
leaf.voom5.module.signedhybrid_cyan,minusPi_1d_Liu_2016_root_FC_up,0.0015732474193133165,0.9990228227714665,59,1207,0.009124835032017236,NA
leaf.voom5.module.signedhybrid_cyan,minusPi_1d_Liu_2016_shoot_FC_down,0.004639335859648878,0.9970205991953419,55,1049,0.024461952714512264,NA
leaf.voom5.module.signedhybrid_cyan,heat_Kilian_2013_root_FC_down,0.005514375757220516,0.9956209606207002,196,3584,0.026652816159899156,NA
leaf.voom5.module.signedhybrid_cyan,minusPi_3d_Liu_2016_root_FC_down,0.006539010485492167,0.9957888680880894,52,839,0.027578390982123845,NA
leaf.voom5.module.signedhybrid_cyan,minusMg_Niu_2016_root_FC_down,0.006656852995685065,0.9963531666250146,29,455,0.027578390982123845,NA
leaf.voom5.module.signedhybrid_cyan,plusAl_Ligaba-OSena_2017_root_FC_down,0.012386066347086336,0.9974763210445765,5,43,0.0478927898754005,NA
leaf.voom5.module.signedhybrid_darkgrey,minusMg_Niu_2016_shoot_FC_up,5.053550116611396e-143,1,1059,6519,2.93105906763461e-141,NA
leaf.voom5.module.signedhybrid_darkgrey,minusN_Peng_2007_whole_FC_up,7.300636698164437e-76,1,206,627,2.1171846424676867e-74,NA
leaf.voom5.module.signedhybrid_darkgrey,plusMg_Niu_2016_shoot_FC_up,6.924663490404121e-66,1,540,3281,1.3387682748114634e-64,NA
leaf.voom5.module.signedhybrid_darkgrey,minusPi_3d_Liu_2016_shoot_FC_up,6.374963019480312e-41,1,421,2784,9.243696378246452e-40,NA
leaf.voom5.module.signedhybrid_darkgrey,coldKilian_2013_shoot_FC_up,2.298629189925228e-27,1,399,3013,2.6664098603132646e-26,NA
leaf.voom5.module.signedhybrid_darkgrey,heat_Kilian_2013_root_FC_up,2.89193381236464e-25,1,228,1471,2.6959761203443316e-24,NA
leaf.voom5.module.signedhybrid_darkgrey,heat_Kilian_2013_shoot_FC_up,3.253764283174193e-25,1,204,1266,2.6959761203443316e-24,NA
leaf.voom5.module.signedhybrid_darkgrey,coldKilian_2013_root_FC_up,1.19842101261901e-23,1,291,2073,8.688552341487823e-23,NA
leaf.voom5.module.signedhybrid_darkgrey,minusN_Nishida_2017_root_FC_up,3.631570798603553e-17,1,319,2560,2.3403456257667343e-16,NA
leaf.voom5.module.signedhybrid_darkgrey,minusPi_1d_Liu_2016_shoot_FC_up,4.0660011832955735e-14,1,293,2419,2.3582806863114324e-13,NA
leaf.voom5.module.signedhybrid_darkgrey,minusK_Nishida_2017_root_FC_up,2.06867834293042e-10,1,187,1525,1.0907576717269486e-9,NA
leaf.voom5.module.signedhybrid_darkgrey,minusMn_Rodriguez-Celma_2016_root_FC_up,1.7293655904784057e-5,0.9999908338602836,69,527,8.35860035397896e-5,NA
leaf.voom5.module.signedhybrid_darkgrey,coldKilian_2013_root_FC_down,3.500842272584139e-5,0.9999731327365338,344,3632,1.5619142446913852e-4,NA
leaf.voom5.module.signedhybrid_darkgrey,minusMg_Nishida_2017_root_FC_up,3.849271884106142e-5,1,4,4,1.5946983519868303e-4,NA
leaf.voom5.module.signedhybrid_darkgrey,coldKilian_2013_shoot_FC_down,0.0029522629272912505,0.9975855444373676,294,3215,0.011415416652192836,NA
