name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_shoot_FC_up,4.332989083610766e-5,0.999974295865824,85,2044,0.0015598760700998757
leaf.voom5.module.signedhybrid_bisque4,NA,minusP_root_FC_up,0.002028910500258126,0.9998215006085014,4,18,0.03652038900464626
leaf.voom5.module.signedhybrid_brown,NA,minusMg_shoot_FC_up,9.58462310233756e-46,1,161,2044,3.450464316841522e-44
leaf.voom5.module.signedhybrid_brown,NA,minusPi_shoot_FC_down,4.286576852700375e-22,1,42,289,7.715838334860675e-21
leaf.voom5.module.signedhybrid_brown,NA,cold_shoot_FC_up,2.8232441610041457e-6,0.9999992090204273,22,317,3.387892993204975e-5
leaf.voom5.module.signedhybrid_brown,NA,plusMg_shoot_FC_down,0.0024093492988581087,0.9991706844196396,13,247,0.02168414368972298
leaf.voom5.module.signedhybrid_brown4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_coral1,NA,minusMg_shoot_FC_up,1.6089475492814773e-16,1,81,2044,5.792211177413318e-15
leaf.voom5.module.signedhybrid_coral1,NA,cold_shoot_FC_up,5.607659037381188e-8,0.999999989035946,20,317,1.009378626728614e-6
leaf.voom5.module.signedhybrid_coral1,NA,minusPi_shoot_FC_down,2.6674106048556783e-7,0.9999999466617501,18,289,3.200892725826814e-6
leaf.voom5.module.signedhybrid_coral2,NA,minusMg_shoot_FC_up,1.3295414764791904e-31,1,126,2044,4.7863493153250854e-30
leaf.voom5.module.signedhybrid_coral2,NA,cold_shoot_FC_up,2.0472299913699684e-6,0.9999994786565394,20,317,3.6850139844659434e-5
leaf.voom5.module.signedhybrid_coral2,NA,cold_root_FC_down,1.812011438471954e-5,0.9999935804327555,26,565,2.1744137261663448e-4
leaf.voom5.module.signedhybrid_cyan,NA,minusMg_shoot_FC_down,2.8383377462222165e-23,1,128,1024,1.021801588639998e-21
leaf.voom5.module.signedhybrid_darkgrey,NA,minusMg_shoot_FC_up,3.4442391989417753e-50,1,354,2044,1.2399261116190391e-48
leaf.voom5.module.signedhybrid_darkgrey,NA,cold_root_FC_down,2.3439589528002358e-7,1,78,565,4.219126115040425e-6
leaf.voom5.module.signedhybrid_darkgrey,NA,plusMg_shoot_FC_up,8.833138327055351e-6,0.9999960929496119,47,304,1.0599765992466421e-4
leaf.voom5.module.signedhybrid_darkgrey,NA,minusN_whole_FC_up,1.4925124014000254e-4,0.9999652817413655,13,54,0.0013432611612600228
leaf.voom5.module.signedhybrid_darkgrey,NA,minusPi_shoot_FC_up,0.0030268683770839667,0.9984045355500568,32,247,0.021793452315004562
leaf.voom5.module.signedhybrid_darkmagenta,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkorange,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkorange2,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkseagreen4,NA,cold_root_FC_up,7.219476260410403e-5,0.9999971015038074,4,95,0.002599011453747745
leaf.voom5.module.signedhybrid_grey,NA,minusMg_shoot_FC_up,4.4117257932412473e-4,0.9997015634079796,107,2044,0.008947872296484246
leaf.voom5.module.signedhybrid_grey,NA,cold_root_FC_down,4.97104016471347e-4,0.9997438259608168,39,565,0.008947872296484246
leaf.voom5.module.signedhybrid_honeydew1,NA,minusMg_shoot_FC_up,1.2824624292988232e-5,0.9999962409635612,21,2044,4.6168647454757636e-4
leaf.voom5.module.signedhybrid_lavenderblush3,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_lightcyan1,NA,minusMg_shoot_FC_down,1.0005456115209222e-44,1,218,1024,3.60196420147532e-43
leaf.voom5.module.signedhybrid_lightcyan1,NA,minusN_whole_FC_down,2.453858258894456e-6,0.9999998077455857,9,20,4.416944866010021e-5
