name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_black,NA,minusMg_shoot_FC_up,1.367021826949293e-31,1,81,1489,5.1946829424073136e-30
leaf.voom5.module.signedhybrid_black,NA,cold_shoot_FC_up,3.36890961061622e-5,0.9999937605555383,11,222,6.400928260170819e-4
leaf.voom5.module.signedhybrid_black,NA,cold_root_FC_down,3.422365637978683e-4,0.9998890492936613,16,523,0.0043349964747729985
leaf.voom5.module.signedhybrid_black,NA,heat_root_FC_down,0.002855740839062051,0.9991544291988139,10,392,0.023190713572662804
leaf.voom5.module.signedhybrid_black,NA,minusMg_shoot_FC_down,0.0030914131511302293,0.9987578048848273,16,813,0.023190713572662804
leaf.voom5.module.signedhybrid_black,NA,plusMg_shoot_FC_up,0.0036616916167362323,0.9991651003419002,7,215,0.023190713572662804
leaf.voom5.module.signedhybrid_blue,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_brown,NA,minusMg_shoot_FC_up,5.960853747306028e-66,1,160,1489,2.2651244239762908e-64
leaf.voom5.module.signedhybrid_brown,NA,minusPi_shoot_FC_down,9.355263752123922e-26,1,40,215,1.7775001129035453e-24
leaf.voom5.module.signedhybrid_brown,NA,cold_shoot_FC_up,1.60539498560526e-9,1,22,222,2.033500315099996e-8
leaf.voom5.module.signedhybrid_brown,NA,plusMg_shoot_FC_down,1.1411292549750929e-4,0.9999738563757575,12,167,0.0010840727922263383
leaf.voom5.module.signedhybrid_brown4,NA,heat_shoot_FC_down,7.368156420261314e-4,0.9998966553862669,6,177,0.027998994396992993
leaf.voom5.module.signedhybrid_coral1,NA,minusMg_shoot_FC_up,7.515128414806751e-5,0.9999840019225337,12,1489,0.0028557487976265655
leaf.voom5.module.signedhybrid_coral2,NA,minusMg_shoot_FC_up,4.6454256166109944e-5,0.9999922900451043,10,1489,0.0017652617343121779
leaf.voom5.module.signedhybrid_cyan,NA,minusMg_shoot_FC_down,7.657576489589542e-7,0.999999747762888,31,813,2.909879066044026e-5
leaf.voom5.module.signedhybrid_darkgreen,NA,minusMg_shoot_FC_up,6.71421434402406e-11,1,37,1489,2.5514014507291425e-9
leaf.voom5.module.signedhybrid_darkgreen,NA,cold_shoot_FC_up,1.4288283063241459e-7,0.9999999848836602,12,222,2.714773782015877e-6
leaf.voom5.module.signedhybrid_darkgreen,NA,minusPi_shoot_FC_down,1.6879054119420318e-4,0.9999732581812115,8,215,0.0021380135217932404
leaf.voom5.module.signedhybrid_darkgrey,NA,heat_shoot_FC_down,0.001353167802731039,0.999829167518093,5,177,0.039608309829096695
leaf.voom5.module.signedhybrid_darkgrey,NA,minusMg_shoot_FC_up,0.0020846478857419314,0.9991270663550882,19,1489,0.039608309829096695
leaf.voom5.module.signedhybrid_darkmagenta,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkolivegreen,NA,minusMg_shoot_FC_up,1.5599865655085072e-15,1,35,1489,5.927948948932327e-14
leaf.voom5.module.signedhybrid_darkolivegreen,NA,cold_shoot_FC_up,8.138126558371686e-8,1,10,222,1.5462440460906203e-6
leaf.voom5.module.signedhybrid_darkorange,NA,cold_shoot_FC_down,5.146292486318711e-4,0.9999171642562705,7,199,0.017311210597510687
leaf.voom5.module.signedhybrid_darkorange,NA,minusMg_shoot_FC_down,0.001083922837996574,0.9996258352062285,15,813,0.017311210597510687
leaf.voom5.module.signedhybrid_darkorange,NA,plusMg_shoot_FC_down,0.001366674520856107,0.9997818116747464,6,167,0.017311210597510687
leaf.voom5.module.signedhybrid_darkorange,NA,minusN_root_FC_up,0.0034364398883990344,0.9992271166660901,7,282,0.032646178939790826
leaf.voom5.module.signedhybrid_darkorange2,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkred,NA,minusMg_shoot_FC_up,5.988337977915104e-5,0.9999773934494256,26,1489,0.0022755684316077395
leaf.voom5.module.signedhybrid_darkseagreen4,NA,cold_root_FC_up,5.185469729009799e-5,0.9999980966786228,4,83,0.0019704784970237237
leaf.voom5.module.signedhybrid_darkslateblue,NA,minusMg_shoot_FC_up,7.536584665020526e-4,0.9997763364685069,13,1489,0.014393661206992125
leaf.voom5.module.signedhybrid_darkslateblue,NA,cold_shoot_FC_up,7.575611161574802e-4,0.9999167329996795,5,222,0.014393661206992125
leaf.voom5.module.signedhybrid_darkslateblue,NA,heat_shoot_FC_up,0.002408479616878378,0.9998513850359068,3,84,0.030507408480459453
leaf.voom5.module.signedhybrid_darkturquoise,NA,minusPi_shoot_FC_up,3.1045619468521264e-5,0.9999961822367509,8,149,0.001179733539803808
leaf.voom5.module.signedhybrid_darkturquoise,NA,minusMg_shoot_FC_up,6.204770309206342e-4,0.9997476209013738,22,1489,0.01178906358749205
leaf.voom5.module.signedhybrid_floralwhite,NA,minusMg_shoot_FC_up,7.515632211199121e-5,0.999979237181472,16,1489,0.002855940240255666
leaf.voom5.module.signedhybrid_green,NA,minusMg_shoot_FC_up,1.332279549130435e-9,1,60,1489,5.062662286695653e-8
leaf.voom5.module.signedhybrid_greenyellow,NA,minusMg_shoot_FC_up,1.6905162349973115e-27,1,72,1489,6.423961692989784e-26
leaf.voom5.module.signedhybrid_greenyellow,NA,plusMg_shoot_FC_up,6.608548121889791e-7,0.9999999110337929,12,215,1.2556241431590602e-5
leaf.voom5.module.signedhybrid_greenyellow,NA,cold_root_FC_down,1.5325179583316676e-5,0.9999958324702792,18,523,1.9411894138867788e-4
leaf.voom5.module.signedhybrid_grey,NA,minusMg_shoot_FC_up,3.221188755043383e-10,1,110,1489,1.2240517269164856e-8
leaf.voom5.module.signedhybrid_grey,NA,cold_root_FC_down,4.760267473301894e-4,0.9997578141619925,38,523,0.009044508199273597
leaf.voom5.module.signedhybrid_grey60,NA,minusMg_shoot_FC_down,4.267496521196954e-7,0.9999998795229946,26,813,1.6216486780548425e-5
leaf.voom5.module.signedhybrid_honeydew1,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_ivory,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_lavenderblush3,NA,minusMg_shoot_FC_down,9.95925039771136e-4,0.9998224493136096,7,813,0.03784515151130317
leaf.voom5.module.signedhybrid_lavenderblush3,NA,minusPi_shoot_FC_up,0.0022569327201824394,0.9998631084294267,3,149,0.04288172168346635
leaf.voom5.module.signedhybrid_lightcyan,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_lightcyan1,NA,minusMg_shoot_FC_down,2.051157340194598e-5,0.9999951814906556,15,813,5.038897094703341e-4
leaf.voom5.module.signedhybrid_lightcyan1,NA,minusPi_shoot_FC_down,2.652051102475443e-5,0.9999973816763632,7,215,5.038897094703341e-4
leaf.voom5.module.signedhybrid_lightcyan1,NA,minusN_whole_FC_down,0.0023625671998334977,0.9999499788087417,2,18,0.02992585119789097
leaf.voom5.module.signedhybrid_lightgreen,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_lightpink4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_lightsteelblue1,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_lightyellow,NA,minusMg_shoot_FC_up,2.753749267128777e-25,1,57,1489,1.0464247215089352e-23
leaf.voom5.module.signedhybrid_lightyellow,NA,plusMg_shoot_FC_up,5.660830999212388e-4,0.9999070869766465,7,215,0.010755578898503537
