name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,NA,plusAl_Ligaba-OSena_2017_shoot_FC_up,7.09673409163456e-7,0.9999999830181666,5,48,4.116105773148045e-5
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_Niu_2016_shoot_FC_up,8.688688374475801e-6,0.999998240539035,14,1064,2.519719628597982e-4
leaf.voom5.module.signedhybrid_bisque4,NA,minusFe_Kailasam2019_shoot_FC_up,9.62928492755478e-5,0.9999907519834543,6,232,0.0018616617526605907
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_Niu_2016_root_FC_down,0.0015555731094245558,0.9997983818438758,5,309,0.02255581008665606
leaf.voom5.module.signedhybrid_black,NA,minusMg_Niu_2016_shoot_FC_up,3.5058469808418436e-35,1,130,3432,2.0333912488882692e-33
leaf.voom5.module.signedhybrid_black,NA,coldKilian_2013_root_FC_down,6.53862638096049e-14,1,55,1558,1.8962016504785422e-12
leaf.voom5.module.signedhybrid_black,NA,plusMg_Niu_2016_root_FC_down,1.2773615410415869e-8,0.9999999980036174,20,309,2.4695656460137345e-7
leaf.voom5.module.signedhybrid_black,NA,coldKilian_2013_shoot_FC_up,1.1715706580525914e-6,0.9999996360193143,27,940,1.6987774541762577e-5
leaf.voom5.module.signedhybrid_black,NA,plusMg_Niu_2016_shoot_FC_up,3.16674917959793e-6,0.9999989354190317,28,1064,3.673429048333599e-5
leaf.voom5.module.signedhybrid_black,NA,coldKilian_2013_shoot_FC_down,9.15855949071396e-6,0.9999968047700417,27,1052,8.853274174356829e-5
leaf.voom5.module.signedhybrid_black,NA,minusMg_Niu_2016_root_FC_down,2.3405542952339844e-5,0.999995847509208,11,199,1.939316416051016e-4
