name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_root_FC_down,1.355466701917571e-23,1,23,367,6.099600158629069e-22
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_shoot_FC_up,3.347051426472299e-12,1,23,1325,7.530865709562673e-11
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_shoot_FC_up,5.2800323381628906e-12,1,23,1333,7.920048507244336e-11
leaf.voom5.module.signedhybrid_bisque4,NA,cold_root_FC_up,4.674862072110747e-9,0.9999999993205918,18,1117,5.25921983112459e-8
leaf.voom5.module.signedhybrid_bisque4,NA,minusFe_root_FC_up,1.2875903357086374e-8,0.9999999985101905,14,682,1.1588313021377737e-7
leaf.voom5.module.signedhybrid_bisque4,NA,heat_root_FC_down,6.227865640385194e-7,0.9999998848668203,16,1189,4.670899230288895e-6
leaf.voom5.module.signedhybrid_bisque4,NA,cold_shoot_FC_up,1.797953487331232e-6,0.9999996835254064,14,1028,1.155827241855792e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_root_FC_up,4.133468014199084e-6,0.9999991113125082,16,1453,2.3250757579869845e-5
leaf.voom5.module.signedhybrid_bisque4,NA,plusAl_shoot_FC_up,1.126059722878471e-5,0.9999995057655041,5,100,5.630298614392355e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_root_FC_up,1.9664733609885052e-5,0.9999973388145742,9,513,8.849130124448273e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusK_root_FC_up,1.1961686801922615e-4,0.999977035593908,10,787,4.893417328059251e-4
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_shoot_FC_up,6.346132713071388e-4,0.9998151489839646,13,1523,0.0023797997674017703
leaf.voom5.module.signedhybrid_bisque4,NA,minusCa_root_FC_up,0.00727420924656353,0.9993287796167819,3,133,0.025179955084258375
leaf.voom5.module.signedhybrid_black,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_blue,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_brown,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_brown4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_coral1,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_coral2,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_cyan,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkgreen,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkgrey,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkmagenta,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkolivegreen,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkorange,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkorange2,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_darkred,NA,minusPi_shoot_FC_up,2.1180920063853664e-16,1,45,1523,9.531414028734149e-15
leaf.voom5.module.signedhybrid_darkred,NA,plusMg_shoot_FC_up,8.401960687144136e-11,1,33,1333,1.8904411546074306e-9
leaf.voom5.module.signedhybrid_darkred,NA,minusMg_shoot_FC_up,4.694846797672539e-10,1,31,1325,7.0422701965088085e-9
leaf.voom5.module.signedhybrid_darkred,NA,cold_root_FC_up,1.464310665032254e-8,0.9999999965662051,27,1117,1.6473494981612858e-7
leaf.voom5.module.signedhybrid_darkred,NA,heat_root_FC_down,5.8900633135633175e-6,0.9999981645941967,24,1189,5.3010569822069855e-5
leaf.voom5.module.signedhybrid_darkred,NA,heat_shoot_FC_down,1.0506178692698016e-4,0.9999657157694432,19,921,7.879634019523512e-4
leaf.voom5.module.signedhybrid_darkred,NA,minusK_root_FC_up,1.321739249217093e-4,0.9999608657547815,16,787,8.496895173538455e-4
leaf.voom5.module.signedhybrid_darkred,NA,cold_shoot_FC_up,1.9831024086052309e-4,0.9999341336027922,18,1028,0.0011154951048404423
leaf.voom5.module.signedhybrid_darkred,NA,plusMg_root_FC_down,0.003965455283111043,0.9989687176094317,8,367,0.019827276415555213
leaf.voom5.module.signedhybrid_darkred,NA,minusPi_root_FC_up,0.0049749597558604985,0.9977942922413597,18,1453,0.02039110189996416
leaf.voom5.module.signedhybrid_darkred,NA,minusFe_root_FC_up,0.004984491575546795,0.9983048540039604,11,682,0.02039110189996416
leaf.voom5.module.signedhybrid_darkseagreen4,NA,minusPi_shoot_FC_up,7.0789397181106884e-09,0.9999999989528948,18,1523,3.18552287314981e-7
leaf.voom5.module.signedhybrid_darkseagreen4,NA,plusMg_shoot_FC_up,2.0151031496199756e-7,0.9999999687862948,15,1333,4.533982086644945e-6
leaf.voom5.module.signedhybrid_darkseagreen4,NA,cold_shoot_FC_up,3.714033797435367e-7,0.9999999486446906,13,1028,5.571050696153051e-6
