name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_Niu_2016_root_FC_down,4.3633198822274364e-20,1,24,629,2.4870923328696385e-18
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_Niu_2016_shoot_FC_up,1.777854421127373e-14,1,34,2456,5.066885100213013e-13
leaf.voom5.module.signedhybrid_bisque4,NA,heat_Kilian_2013_root_FC_down,4.7070852625434046e-11,1,30,2494,7.861540614974738e-10
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_Niu_2016_shoot_FC_up,5.516870606999816e-11,1,32,3001,7.861540614974738e-10
leaf.voom5.module.signedhybrid_bisque4,NA,coldKilian_2013_shoot_FC_up,5.2962264488456894e-8,0.9999999884388517,23,2134,5.724656124649942e-7
leaf.voom5.module.signedhybrid_bisque4,NA,minusFe_Kailasam2019_root_FC_up,6.898164968456702e-8,0.9999999884878352,17,1203,5.724656124649942e-7
leaf.voom5.module.signedhybrid_bisque4,NA,coldKilian_2013_root_FC_up,7.030279451324491e-8,0.9999999855649531,21,1809,5.724656124649942e-7
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_3d_Liu_2016_root_FC_up,2.3732629255515936e-7,0.9999999433809201,23,2377,1.6909498344555105e-6
leaf.voom5.module.signedhybrid_bisque4,NA,plusAl_Ligaba-OSena_2017_shoot_FC_up,1.7114198811307855e-6,0.9999998905281294,7,187,1.0838992580494974e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_3d_Liu_2016_shoot_FC_up,1.4926411276118287e-5,0.9999956458403734,21,2467,7.838390659976847e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_Niu_2016_root_FC_up,1.512671881749918e-5,0.9999974738573618,11,749,7.838390659976847e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusK_Nishida_2017_root_FC_up,3.7291559183106075e-5,0.99999135687426,14,1310,1.7713490611975384e-4
leaf.voom5.module.signedhybrid_bisque4,NA,heat_Kilian_2013_shoot_FC_down,1.4147500401795837e-4,0.9999572439025768,17,1994,6.203134791556637e-4
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_1d_Liu_2016_root_FC_down,0.0035020659532185683,0.999452827031797,5,338,0.014258411380961313
leaf.voom5.module.signedhybrid_bisque4,NA,minusP_Nishida_2017_root_FC_up,0.013010676200353486,0.9972127568819619,5,439,0.04867742669286022
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_1d_Liu_2016_shoot_FC_up,0.013663839071680063,0.994280333390166,13,2140,0.04867742669286022
leaf.voom5.module.signedhybrid_bisque4,NA,minusCa_Nishida_2017_root_FC_up,0.014770101113444784,0.9982282560344012,3,175,0.0495232802039031
leaf.voom5.module.signedhybrid_black,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_blue,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_brown,NA,minusPi_3d_Liu_2016_shoot_FC_down,2.2997316850145107e-35,1,91,867,1.310847060458271e-33
leaf.voom5.module.signedhybrid_brown,NA,minusMg_Niu_2016_shoot_FC_up,4.021306199303313e-8,1,111,3001,1.1460722668014443e-6
leaf.voom5.module.signedhybrid_brown4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_coral1,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_coral2,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_cyan,NA,minusMg_Niu_2016_shoot_FC_down,6.890626899057925e-5,0.9999631322537097,59,3320,0.003927657332463017
leaf.voom5.module.signedhybrid_darkgreen,NA,minusPi_3d_Liu_2016_shoot_FC_down,4.44065028230852e-19,1,37,867,2.5311706609158564e-17
leaf.voom5.module.signedhybrid_darkgreen,NA,coldKilian_2013_shoot_FC_up,1.0305785555351884e-15,1,51,2134,2.937148883275287e-14
leaf.voom5.module.signedhybrid_darkgreen,NA,minusMg_Niu_2016_shoot_FC_up,1.2888559470120778e-8,1,47,3001,2.4488262993229477e-7
