name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_Niu_2016_shoot_FC_up,5.713252820030503e-10,0.9999999999132694,24,1679,2.1542392423215983e-8
leaf.voom5.module.signedhybrid_bisque4,NA,plusAl_Ligaba-OSena_2017_shoot_FC_up,7.428411180419304e-10,0.9999999999793853,8,87,2.1542392423215983e-8
leaf.voom5.module.signedhybrid_bisque4,NA,minusFe_Kailasam2019_shoot_FC_up,9.312353703377752e-5,0.9999865851236774,8,451,0.001800388382653032
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_Niu_2016_shoot_FC_up,2.9173368858501135e-4,0.9998828585658914,26,4195,0.004058007528281286
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_Niu_2016_root_FC_down,3.498282351966626e-4,0.9999474606925016,7,468,0.004058007528281286
leaf.voom5.module.signedhybrid_bisque4,NA,minusK_Nishida_2017_root_FC_up,6.382037774440121e-4,0.9998622006415748,9,733,0.006169303181958783
leaf.voom5.module.signedhybrid_bisque4,NA,heat_Kilian_2013_shoot_FC_down,8.255228941832622e-4,0.9997526092126512,13,1389,0.006840046837518459
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_1d_Liu_2016_shoot_FC_down,0.0036882097983481315,0.9992833380919408,6,485,0.026739521038023954
leaf.voom5.module.signedhybrid_bisque4,NA,coldKilian_2013_shoot_FC_up,0.007396790998051583,0.9973889774226328,11,1481,0.0476682086541102
leaf.voom5.module.signedhybrid_black,NA,minusMg_Niu_2016_shoot_FC_up,2.6068359101625696e-34,1,143,4195,1.5119648278942905e-32
leaf.voom5.module.signedhybrid_black,NA,coldKilian_2013_root_FC_down,2.692792219727619e-10,1,59,2201,7.809097437210095e-9
leaf.voom5.module.signedhybrid_black,NA,coldKilian_2013_shoot_FC_up,3.0636430742930283e-9,1,42,1481,5.923043276966521e-8
leaf.voom5.module.signedhybrid_black,NA,plusMg_Niu_2016_root_FC_down,2.032368195968381e-8,0.9999999955704213,24,468,2.9469338841541525e-7
leaf.voom5.module.signedhybrid_black,NA,plusMg_Niu_2016_shoot_FC_up,8.09788863019199e-8,0.9999999781492293,42,1679,9.393550811022708e-7
leaf.voom5.module.signedhybrid_black,NA,coldKilian_2013_shoot_FC_down,1.0934275323663947e-4,0.9999513195489649,33,1647,0.0010569799479541815
leaf.voom5.module.signedhybrid_black,NA,minusMg_Niu_2016_root_FC_down,1.3038400974445515e-4,0.9999671552378581,13,330,0.0010803246521683427
leaf.voom5.module.signedhybrid_black,NA,coldKilian_2013_root_FC_up,0.0012123319272981888,0.9995260454996135,18,774,0.008789406472911869
leaf.voom5.module.signedhybrid_black,NA,heat_Kilian_2013_shoot_FC_down,0.0034539110401795602,0.9983703873033837,22,1389,0.02159873909229129
leaf.voom5.module.signedhybrid_black,NA,heat_Kilian_2013_shoot_FC_up,0.0037239205331536713,0.9984775715495261,16,646,0.02159873909229129
leaf.voom5.module.signedhybrid_black,NA,minusPi_1d_Liu_2016_shoot_FC_down,0.004299485650457298,0.9984069245678789,13,485,0.02267001524786575
leaf.voom5.module.signedhybrid_black,NA,heat_Kilian_2013_root_FC_up,0.005282749300180628,0.9976931744165868,17,736,0.025533288284206368
leaf.voom5.module.signedhybrid_black,NA,minusN_Peng_2007_whole_FC_up,0.0064031842564853565,0.9980303646441048,9,268,0.028568052836626976
leaf.voom5.module.signedhybrid_black,NA,heat_Kilian_2013_root_FC_down,0.0102694070087322,0.9941647957050924,29,1964,0.042544686179033404
leaf.voom5.module.signedhybrid_blue,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_brown,NA,minusPi_3d_Liu_2016_shoot_FC_down,2.521253226230826e-283,1,306,944,1.4623268712138792e-281
leaf.voom5.module.signedhybrid_brown,NA,minusMg_Niu_2016_shoot_FC_up,5.236464138390334e-258,1,500,4195,1.518574600133197e-256
leaf.voom5.module.signedhybrid_brown,NA,coldKilian_2013_shoot_FC_up,1.188686821324694e-23,1,97,1481,2.298127854561075e-22
leaf.voom5.module.signedhybrid_brown,NA,heat_Kilian_2013_root_FC_down,4.610612729788954e-11,1,82,1964,6.685388458193984e-10
leaf.voom5.module.signedhybrid_brown,NA,heat_Kilian_2013_shoot_FC_up,3.6434761542685473e-10,1,42,646,4.226432338951515e-9
leaf.voom5.module.signedhybrid_brown,NA,plusMg_Niu_2016_shoot_FC_down,9.849271624253558e-9,1,58,1307,9.520962570111771e-8
leaf.voom5.module.signedhybrid_brown,NA,plusMg_Niu_2016_root_FC_down,6.998864346260624e-4,0.9997043479273368,23,468,0.0057990590297588036
