name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_root_FC_down,1.0381637362549252e-23,1,29,825,4.775553186772656e-22
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_shoot_FC_up,3.77450069887514e-15,1,40,3281,8.681351607412823e-14
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_root_FC_up,4.070682755266352e-9,0.9999999990482198,30,3188,6.241713558075075e-8
leaf.voom5.module.signedhybrid_bisque4,NA,heat_root_FC_down,6.0028449988130226e-9,0.9999999984775554,33,3584,6.903271748634976e-8
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_shoot_FC_up,1.0547605286193341e-8,0.9999999967686758,44,6519,9.703796863297872e-8
leaf.voom5.module.signedhybrid_bisque4,NA,plusAl_shoot_FC_up,3.620176445840087e-7,0.9999999760754509,8,218,2.7754686084774005e-6
leaf.voom5.module.signedhybrid_bisque4,NA,cold_root_FC_up,7.173434140301963e-7,0.9999998292733472,21,2073,4.713971006484147e-6
leaf.voom5.module.signedhybrid_bisque4,NA,minusFe_root_FC_up,1.200184678730828e-6,0.9999997273251375,19,1826,6.9010619027022606e-6
leaf.voom5.module.signedhybrid_bisque4,NA,minusK_root_FC_up,2.8846817935928723e-6,0.9999993642381264,17,1525,1.4743929167252456e-5
leaf.voom5.module.signedhybrid_bisque4,NA,cold_shoot_FC_up,6.229818655677613e-6,0.9999981321522566,24,3013,2.865716581611702e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_root_FC_up,5.153733139559665e-5,0.9999901336387907,11,854,2.155197494724951e-4
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_shoot_FC_up,8.09290656308868e-5,0.9999713336657703,24,3401,3.102280849183994e-4
leaf.voom5.module.signedhybrid_bisque4,NA,heat_shoot_FC_down,0.002141783405818758,0.9991471728714538,18,2756,0.007578618205204835
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_root_FC_down,0.010704804484116714,0.9978135783061655,5,455,0.03517292901924063
leaf.voom5.module.signedhybrid_black,NA,minusMg_shoot_FC_up,1.87016589794283e-11,1,141,6519,8.602763130537019e-10
leaf.voom5.module.signedhybrid_black,NA,cold_root_FC_down,2.1919651482622045e-4,0.9998707367900297,69,3632,0.0050415198410030705
leaf.voom5.module.signedhybrid_black,NA,cold_shoot_FC_up,7.734417744532997e-4,0.999544644198602,56,3013,0.011859440541617262
