name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_Niu_2016_root_FC_down,1.1764635795263925e-22,1,28,813,6.7058424033004375e-21
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_Niu_2016_shoot_FC_up,1.084360744272051e-14,1,39,3212,3.090428121175345e-13
leaf.voom5.module.signedhybrid_bisque4,NA,heat_Kilian_2013_root_FC_down,1.6368014392494073e-8,0.9999999957121481,32,3535,3.109922734573874e-7
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_Niu_2016_shoot_FC_up,2.3876895781367676e-08,0.9999999925091989,43,6444,3.402457648844894e-7
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_3d_Liu_2016_root_FC_up,2.543280507276723e-7,0.9999999351648574,25,2781,2.899339778295464e-6
leaf.voom5.module.signedhybrid_bisque4,NA,coldKilian_2013_root_FC_up,1.663195917355339e-6,0.9999995971885537,20,1995,1.580036121487572e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusFe_Kailasam2019_root_FC_up,2.5307368901156687e-6,0.9999994200824411,18,1744,2.0607428962370444e-5
leaf.voom5.module.signedhybrid_bisque4,NA,plusAl_Ligaba-OSena_2017_shoot_FC_up,3.794254955651063e-6,0.9999997252247164,7,210,2.7034066559013823e-5
leaf.voom5.module.signedhybrid_bisque4,NA,coldKilian_2013_shoot_FC_up,4.624639016775867e-6,0.9999986389010795,24,2955,2.9289380439580487e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusK_Nishida_2017_root_FC_up,7.895327207385706e-6,0.9999982106372974,16,1471,4.500336508209853e-5
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_Niu_2016_root_FC_up,3.372479376419508e-5,0.9999938444520844,11,813,1.7475574950537447e-4
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_3d_Liu_2016_shoot_FC_up,5.696375338156367e-5,0.9999817198329498,21,2709,2.705778285624274e-4
leaf.voom5.module.signedhybrid_bisque4,NA,heat_Kilian_2013_shoot_FC_down,0.0019151704959002559,0.9992453723444529,18,2725,0.008397286020485738
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_1d_Liu_2016_root_FC_down,0.00375984677315481,0.9994027393646038,5,339,0.015307947576416011
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_1d_Liu_2016_root_FC_up,0.004615008793100166,0.9986667049805379,9,1152,0.01753703341378063
leaf.voom5.module.signedhybrid_black,NA,minusMg_Niu_2016_shoot_FC_up,7.779550967375895e-12,1,141,6444,4.43434405140426e-10
leaf.voom5.module.signedhybrid_black,NA,coldKilian_2013_root_FC_down,1.7689954851619191e-4,0.9998964926442208,69,3604,0.005041637132711469
leaf.voom5.module.signedhybrid_black,NA,coldKilian_2013_shoot_FC_up,4.4835949897270154e-4,0.9997422918158537,56,2955,0.00851883048048133
leaf.voom5.module.signedhybrid_black,NA,plusMg_Niu_2016_root_FC_down,0.001286205057482823,0.9994417285288111,22,813,0.01832842206913023
leaf.voom5.module.signedhybrid_black,NA,plusMg_Niu_2016_shoot_FC_up,0.0040167823546565775,0.9974654099180555,54,3212,0.04579131884308499
leaf.voom5.module.signedhybrid_blue,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_brown,NA,minusPi_3d_Liu_2016_shoot_FC_down,2.07002861642169e-211,1,309,1496,1.1799163113603633e-209
leaf.voom5.module.signedhybrid_brown,NA,minusMg_Niu_2016_shoot_FC_up,1.612303574685589e-154,1,490,6444,4.595065187853929e-153
leaf.voom5.module.signedhybrid_brown,NA,coldKilian_2013_shoot_FC_up,1.9225462100992615e-8,1,110,2955,3.652837799188597e-7
leaf.voom5.module.signedhybrid_brown,NA,heat_Kilian_2013_shoot_FC_up,3.081075292922739e-4,0.9998329883489503,48,1231,0.004390532292414903
leaf.voom5.module.signedhybrid_brown4,NA,heat_Kilian_2013_shoot_FC_down,4.659338711341889e-4,0.999815854972495,23,2725,0.026558230654648768
leaf.voom5.module.signedhybrid_coral1,NA,minusMg_Niu_2016_shoot_FC_up,1.3974908865428917e-4,0.9999487161667551,26,6444,0.007965698053294482
leaf.voom5.module.signedhybrid_coral2,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_cyan,NA,minusMg_Niu_2016_shoot_FC_down,4.019281241034828e-14,1,122,5467,2.2909903073898517e-12
leaf.voom5.module.signedhybrid_cyan,NA,plusMg_Niu_2016_shoot_FC_down,5.495634369490135e-4,0.9997243816106147,36,1852,0.015662557953046885
leaf.voom5.module.signedhybrid_darkgreen,NA,minusPi_3d_Liu_2016_shoot_FC_down,1.1398929686734092e-40,1,70,1496,6.497389921438433e-39
leaf.voom5.module.signedhybrid_darkgreen,NA,coldKilian_2013_shoot_FC_up,4.113614128466647e-40,1,96,2955,1.1723800266129944e-38
leaf.voom5.module.signedhybrid_darkgreen,NA,minusMg_Niu_2016_shoot_FC_up,2.1401295055168313e-38,1,134,6444,4.066246060481979e-37
leaf.voom5.module.signedhybrid_darkgreen,NA,heat_Kilian_2013_shoot_FC_up,7.258549827334708e-14,1,34,1231,1.034343350395196e-12
leaf.voom5.module.signedhybrid_darkgrey,NA,minusMg_Niu_2016_shoot_FC_up,2.4608577390677753e-9,1,79,6444,1.402688911268632e-7
leaf.voom5.module.signedhybrid_darkgrey,NA,coldKilian_2013_shoot_FC_up,9.83132166948495e-9,1,46,2955,2.801926675803211e-7
leaf.voom5.module.signedhybrid_darkgrey,NA,minusN_Peng_2007_whole_FC_up,3.117653779154831e-8,0.9999999944180404,19,597,5.923542180394178e-7
leaf.voom5.module.signedhybrid_darkgrey,NA,plusMg_Niu_2016_shoot_FC_up,1.0885116740972521e-4,0.9999495012301285,38,3212,0.0015511291355885842
leaf.voom5.module.signedhybrid_darkgrey,NA,coldKilian_2013_root_FC_down,1.4664047333934368e-4,0.9999283721430704,42,3604,0.001671701396068518
leaf.voom5.module.signedhybrid_darkgrey,NA,minusP_Nishida_2017_root_FC_up,9.683770317402311e-4,0.9997532877879856,10,509,0.009199581801532195
leaf.voom5.module.signedhybrid_darkgrey,NA,coldKilian_2013_root_FC_up,0.001928944421242596,0.999109154479769,24,1995,0.01570711885868971
leaf.voom5.module.signedhybrid_darkmagenta,NA,plusMg_Niu_2016_shoot_FC_down,2.3578852183041347e-6,0.9999992953087932,25,1852,1.3439945744333568e-4
leaf.voom5.module.signedhybrid_darkmagenta,NA,coldKilian_2013_shoot_FC_down,2.028670605133976e-4,0.9999128402559255,30,3184,0.0057817112246318315
leaf.voom5.module.signedhybrid_darkmagenta,NA,coldKilian_2013_root_FC_down,9.325966578873861e-4,0.9995587666077644,30,3604,0.012855285542892676
