name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,over_represented_padjust
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_shoot_FC_up,2.3398089886683207e-20,1,40,2172,1.0997102246741108e-18
leaf.voom5.module.signedhybrid_bisque4,NA,plusMg_root_FC_down,1.014158862291527e-19,1,23,571,2.3832733263850885e-18
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_shoot_FC_up,3.867229622385522e-13,1,44,4481,6.058659741737318e-12
leaf.voom5.module.signedhybrid_bisque4,NA,minusFe_shoot_FC_up,1.7902745442130237e-11,1,19,838,2.103572589450303e-10
leaf.voom5.module.signedhybrid_bisque4,NA,plusAl_shoot_FC_up,2.011348122499093e-9,0.9999999999363088,8,99,1.8906672351491475e-8
leaf.voom5.module.signedhybrid_bisque4,NA,cold_shoot_FC_up,3.802360872482421e-8,0.9999999915672808,24,2108,2.9785160167778964e-7
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_root_FC_up,2.0733676020134508e-7,0.9999999526428527,22,2039,1.3921182470661742e-6
leaf.voom5.module.signedhybrid_bisque4,NA,minusPi_shoot_FC_up,2.7246804165973405e-7,0.9999999323433914,24,2256,1.6007497447509375e-6
leaf.voom5.module.signedhybrid_bisque4,NA,heat_root_FC_down,1.1628747335557922e-6,0.9999996767000744,25,2636,6.072790275235804e-6
leaf.voom5.module.signedhybrid_bisque4,NA,minusFe_root_FC_up,3.205857833627777e-5,0.999993143824839,13,1074,1.5067531818050553e-4
leaf.voom5.module.signedhybrid_bisque4,NA,cold_root_FC_up,4.7750122652195903e-05,0.999988019643023,15,1434,2.0402325133210975e-4
leaf.voom5.module.signedhybrid_bisque4,NA,heat_shoot_FC_down,6.249060742043351e-5,0.9999816811485854,18,1900,2.4475487906336455e-4
leaf.voom5.module.signedhybrid_bisque4,NA,minusK_root_FC_up,3.4842758211562903e-4,0.9999167558663783,11,991,0.001259699719956505
leaf.voom5.module.signedhybrid_bisque4,NA,minusMg_root_FC_up,5.701926756630496e-4,0.9998922631914451,8,590,0.0019142182682973807
leaf.voom5.module.signedhybrid_bisque4,NA,minusFe_shoot_FC_down,0.0149357089006984,0.9944680233432494,10,1482,0.046798554555521656
leaf.voom5.module.signedhybrid_black,NA,minusMg_shoot_FC_up,3.8328097255091726e-30,1,141,4481,1.8014205709893112e-28
leaf.voom5.module.signedhybrid_black,NA,cold_shoot_FC_up,1.7006941580447933e-10,1,56,2108,3.996631271405265e-9
leaf.voom5.module.signedhybrid_black,NA,plusMg_shoot_FC_up,1.7591653181656266e-9,1,54,2172,2.1305247998689075e-8
leaf.voom5.module.signedhybrid_black,NA,cold_root_FC_down,1.8132125956331127e-9,1,66,2739,2.1305247998689075e-8
leaf.voom5.module.signedhybrid_black,NA,plusMg_root_FC_down,3.000749810610754e-5,0.9999907212960871,20,571,2.820704821974109e-4
leaf.voom5.module.signedhybrid_black,NA,cold_root_FC_up,1.2611151181646458e-4,0.9999449936430903,31,1434,8.995286655113779e-4
leaf.voom5.module.signedhybrid_black,NA,cold_shoot_FC_down,1.339723544378648e-4,0.9999347375852914,40,2179,8.995286655113779e-4
leaf.voom5.module.signedhybrid_black,NA,heat_root_FC_down,3.8933740609667285e-4,0.9997947554353593,43,2636,0.002287357260817953
leaf.voom5.module.signedhybrid_black,NA,heat_shoot_FC_up,0.002101775865010068,0.9990908175080491,20,837,0.010975940628385911
leaf.voom5.module.signedhybrid_black,NA,heat_root_FC_up,0.009013417564005768,0.9954652549870534,21,1021,0.04236306255082711
leaf.voom5.module.signedhybrid_black,NA,minusPi_root_FC_up,0.011609680703818643,0.9929855525155818,35,2039,0.04960499937086147
leaf.voom5.module.signedhybrid_blue,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_brown,NA,minusPi_shoot_FC_down,1.2003297936578524e-225,1,301,1299,5.641550030191906e-224
leaf.voom5.module.signedhybrid_brown,NA,minusMg_shoot_FC_up,2.5582869055269143e-224,1,481,4481,6.011974227988249e-223
leaf.voom5.module.signedhybrid_brown,NA,cold_shoot_FC_up,1.5242318682426314e-16,1,105,2108,2.3879632602467893e-15
leaf.voom5.module.signedhybrid_brown,NA,heat_shoot_FC_up,5.548138969600781e-10,1,49,837,6.519063289280918e-9
leaf.voom5.module.signedhybrid_brown,NA,heat_root_FC_down,1.2114365210692107e-7,1,90,2636,1.1387503298050582e-6
leaf.voom5.module.signedhybrid_brown,NA,plusMg_shoot_FC_down,0.0014592487160344904,0.9991733861469514,43,1318,0.011430781608936841
leaf.voom5.module.signedhybrid_brown4,NA,heat_shoot_FC_down,7.405499333412817e-5,0.9999750017244073,22,1900,0.003480584686704024
leaf.voom5.module.signedhybrid_brown4,NA,heat_root_FC_down,0.0010137299048402835,0.9995831028983819,22,2636,0.023822652763746663
leaf.voom5.module.signedhybrid_coral1,NA,minusMg_shoot_FC_up,4.726512707167329e-6,0.9999986317999965,25,4481,0.00022214609723686444
leaf.voom5.module.signedhybrid_coral1,NA,cold_shoot_FC_up,1.9337842559333693e-4,0.9999486003581067,14,2108,0.004544393001443418
leaf.voom5.module.signedhybrid_coral2,no enriched GO,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_cyan,NA,minusMg_shoot_FC_down,2.6274378409217244e-18,1,120,4092,1.2348957852332105e-16
leaf.voom5.module.signedhybrid_cyan,NA,plusMg_shoot_FC_down,1.2789276587411952e-5,0.9999947340320647,36,1318,3.005479998041809e-4
leaf.voom5.module.signedhybrid_cyan,NA,heat_shoot_FC_down,0.001289859925636182,0.999268164548499,46,1900,0.02020780550163352
leaf.voom5.module.signedhybrid_cyan,NA,cold_shoot_FC_down,0.002993422703053894,0.9982649811951395,42,2179,0.03517271676088326
leaf.voom5.module.signedhybrid_darkgreen,NA,minusMg_shoot_FC_up,7.454711749785957e-48,1,131,4481,3.5037145223994e-46
leaf.voom5.module.signedhybrid_darkgreen,NA,cold_shoot_FC_up,2.3681699055392857e-46,1,94,2108,5.5651992780173213e-45
leaf.voom5.module.signedhybrid_darkgreen,NA,minusPi_shoot_FC_down,9.588458774427892e-43,1,71,1299,1.5021918746603697e-41
leaf.voom5.module.signedhybrid_darkgreen,NA,heat_shoot_FC_up,4.009786933260461e-16,1,33,837,4.7114996465810415e-15
leaf.voom5.module.signedhybrid_darkgrey,NA,minusMg_shoot_FC_up,1.0993188286419722e-19,1,81,4481,5.166798494617269e-18
