value,root_tissue.root.ivory.Dead,n
coldKilian_2013_root_FC_down,0,5
coldKilian_2013_root_FC_down,1,31
coldKilian_2013_root_FC_up,0,1
coldKilian_2013_shoot_FC_down,1,13
coldKilian_2013_shoot_FC_up,1,7
heat_Kilian_2013_root_FC_down,0,6
heat_Kilian_2013_root_FC_down,1,32
heat_Kilian_2013_root_FC_up,1,3
heat_Kilian_2013_shoot_FC_down,0,2
heat_Kilian_2013_shoot_FC_down,1,15
heat_Kilian_2013_shoot_FC_up,0,1
minusCa_Nishida_2017_root_FC_up,1,1
minusFe_Kailasam2019_root_FC_down,0,5
minusFe_Kailasam2019_root_FC_down,1,25
minusFe_Kailasam2019_root_FC_up,0,4
minusFe_Kailasam2019_root_FC_up,1,9
minusFe_Kailasam2019_shoot_FC_down,0,3
minusFe_Kailasam2019_shoot_FC_down,1,16
minusFe_Kailasam2019_shoot_FC_up,0,3
minusFe_Kailasam2019_shoot_FC_up,1,5
minusFe_Kim2019_root_FC_down,1,2
minusFe_Kim2019_root_FC_up,1,1
minusFe_Kim2019_shoot_FC_down,1,1
minusFe_Kim2019_shoot_FC_up,1,1
minusK_Nishida_2017_root_FC_down,0,1
minusK_Nishida_2017_root_FC_down,1,5
minusK_Nishida_2017_root_FC_up,1,4
minusMg_Niu_2016_root_FC_down,0,1
minusMg_Niu_2016_root_FC_down,1,10
minusMg_Niu_2016_root_FC_up,0,1
minusMg_Niu_2016_root_FC_up,1,6
minusMg_Niu_2016_shoot_FC_down,0,4
minusMg_Niu_2016_shoot_FC_down,1,26
minusMg_Niu_2016_shoot_FC_up,0,3
minusMg_Niu_2016_shoot_FC_up,1,13
minusMn_Rodriguez-Celma_2016_root_FC_down,0,1
minusMn_Rodriguez-Celma_2016_root_FC_down,1,10
minusMn_Rodriguez-Celma_2016_root_FC_up,1,6
minusN_Nishida_2017_root_FC_down,0,8
minusN_Nishida_2017_root_FC_down,1,66
minusN_Nishida_2017_root_FC_up,0,1
minusN_Nishida_2017_root_FC_up,1,6
minusN_Peng_2007_whole_FC_down,1,8
minusN_Peng_2007_whole_FC_up,1,1
minusP_Nishida_2017_root_FC_down,0,3
minusP_Nishida_2017_root_FC_down,1,16
minusP_Nishida_2017_root_FC_up,0,2
minusP_Nishida_2017_root_FC_up,1,5
minusPi_1d_Liu_2016_root_FC_down,1,2
minusPi_1d_Liu_2016_root_FC_up,0,1
minusPi_1d_Liu_2016_root_FC_up,1,9
minusPi_1d_Liu_2016_shoot_FC_down,0,1
minusPi_1d_Liu_2016_shoot_FC_down,1,3
minusPi_1d_Liu_2016_shoot_FC_up,1,14
minusPi_3d_Liu_2016_root_FC_down,0,4
minusPi_3d_Liu_2016_root_FC_down,1,15
minusPi_3d_Liu_2016_root_FC_up,0,2
minusPi_3d_Liu_2016_root_FC_up,1,7
minusPi_3d_Liu_2016_shoot_FC_down,0,1
minusPi_3d_Liu_2016_shoot_FC_down,1,1
minusPi_3d_Liu_2016_shoot_FC_up,1,11
minusS_Aarabi2016_root_FC_down,0,1
minusS_Aarabi2016_root_FC_down,1,8
minusS_Aarabi2016_root_FC_up,1,4
minusS_Nishida_2017_root_FC_down,0,1
minusS_Nishida_2017_root_FC_down,1,1
minusS_Nishida_2017_root_FC_up,1,7
plusAl_Ligaba-OSena_2017_root_FC_up,1,2
plusAl_Ligaba-OSena_2017_shoot_FC_up,0,1
plusAl_Ligaba-OSena_2017_shoot_FC_up,1,3
plusMg_Niu_2016_root_FC_down,0,3
plusMg_Niu_2016_root_FC_down,1,20
plusMg_Niu_2016_root_FC_up,0,1
plusMg_Niu_2016_root_FC_up,1,4
plusMg_Niu_2016_shoot_FC_down,0,2
plusMg_Niu_2016_shoot_FC_down,1,11
plusMg_Niu_2016_shoot_FC_up,0,1
plusMg_Niu_2016_shoot_FC_up,1,9
plusN_Wang2003_root_FC_down,0,3
plusN_Wang2003_root_FC_down,1,16
