module,term,estimate,p.value,fdr
leaf.lightcyan1,trtlive,-0.17907795598063134,1.3957511036366126e-4,0.004326828421273499
leaf.darkgrey,trtlive,0.15341379873351252,0.0015095518872993699,0.018086411560615107
leaf.palevioletred3,trtlive,0.15158752043142454,0.0017502978929627522,0.018086411560615107
leaf.darkseagreen4,trtlive,0.14402404332205446,0.003146033658465528,0.02422266012612537
leaf.plum2,trtlive,-0.14108831218471432,0.003906880665504092,0.02422266012612537
leaf.mediumorchid,trtlive,-0.12309381939390864,0.013042844870957039,0.06738803183327803
leaf.darkorange,trtlive,-0.12028598777672907,0.015468231107701536,0.0685021663341068
leaf.cyan,trtlive,-0.10768531695923032,0.03154447986798796,0.12223485948845335
leaf.bisque4,trtlive,0.10414630295572518,0.037971278586110636,0.13078995957438108
leaf.lightsteelblue1,trtlive,0.09741143729282707,0.05314206071187788,0.16474038820682144
leaf.plum1,trtlive,0.09483164675338072,0.060105658189584917,0.16938867307973932
leaf.honeydew1,trtlive,-0.0862399600995062,0.0886528803703487,0.22901994095673414
leaf.navajowhite2,trtlive,0.08211671833417467,0.1056300389926038,0.2421250048896246
leaf.brown,trtlive,-0.08128264849746969,0.10934677640176595,0.2421250048896246
leaf.orange,trtlive,0.06799507850524857,0.1827203316804867,0.36620664948013937
leaf.skyblue1,trtlive,-0.06557748747775627,0.1991520182008366,0.36620664948013937
leaf.darkmagenta,trtlive,-0.0653396160546781,0.20082300132781836,0.36620664948013937
leaf.coral1,trtlive,-0.0557682407083233,0.27634967072722794,0.4759355440302259
leaf.maroon,trtlive,-0.041664148520380265,0.4177095293042795,0.6644148628603866
leaf.yellow4,trtlive,0.0397724613945739,0.4393426112861958,0.6644148628603866
leaf.orangered4,trtlive,-0.03885204349133913,0.4500874877441329,0.6644148628603866
leaf.thistle2,trtlive,-0.03499225604343235,0.49666584647718637,0.6795988276478633
leaf.brown4,trtlive,0.03438445725772466,0.5042184850290599,0.6795988276478633
leaf.darkorange2,trtlive,-0.030609622375542277,0.5523931798633408,0.6855772079962051
leaf.mediumpurple3,trtlive,0.0305719352534012,0.55288484515823,0.6855772079962051
leaf.grey,trtlive,-0.02833243830934114,0.582464750779517,0.694477202852501
leaf.lightgreen,trtlive,-0.02216373377575826,0.6673792378542934,0.7578505136651525
leaf.antiquewhite4,trtlive,0.02095803606080325,0.6845101413749765,0.7578505136651525
leaf.coral2,trtlive,-0.01436953035313617,0.7806890087350917,0.834529630027167
leaf.lavenderblush3,trtlive,-0.011897213515952718,0.8177183702289066,0.8448763200306566
leaf.thistle1,trtlive,0.01010080490351394,0.8448763200306566,0.8448763200306566
