genes,trt,mean.value,root.voom5.module,query_id
BraA01g001790.3C,dead,-0.037523161759240725,paleturquoise,BRARA.A00171-MONOMER
BraA01g001790.3C,live,0.037523161759240586,paleturquoise,BRARA.A00171-MONOMER
BraA01g003720.3C,dead,0.01774264050811001,red,MONOMER4K-128
BraA01g003720.3C,live,-0.01774264050810999,red,MONOMER4K-128
BraA01g004150.3C,dead,0.33258314904674774,plum1,BRARA.A00407-MONOMER
BraA01g004150.3C,live,-0.3325831490467477,plum1,BRARA.A00407-MONOMER
BraA01g004950.3C,dead,-0.4620281708137751,lightyellow,BRARA.A00487-MONOMER
BraA01g004950.3C,live,0.4620281708137752,lightyellow,BRARA.A00487-MONOMER
BraA01g005880.3C,dead,0.013091648017804408,red,BRARA.A00575-MONOMER
BraA01g005880.3C,live,-0.01309164801780439,red,BRARA.A00575-MONOMER
BraA01g006810.3C,dead,-0.04490478878410539,red,BRARA.A00663-MONOMER
BraA01g006810.3C,live,0.04490478878410538,red,BRARA.A00663-MONOMER
BraA01g008020.3C,dead,0.005043637456402259,midnightblue,BRARA.A00771-MONOMER
BraA01g008020.3C,live,-0.0050436374564022494,midnightblue,BRARA.A00771-MONOMER
BraA01g010270.3C,dead,-0.03194707194470772,red,BRARA.A00983-MONOMER
BraA01g010270.3C,live,0.03194707194470773,red,BRARA.A00983-MONOMER
BraA01g010650.3C,dead,1.4110496656340852e-4,red,BRARA.A01027-MONOMER
BraA01g010650.3C,live,-1.4110496656338927e-4,red,BRARA.A01027-MONOMER
BraA01g010990.3C,dead,0.6815005351838461,plum1,BRARA.A01064-MONOMER
BraA01g010990.3C,live,-0.681500535183846,plum1,BRARA.A01064-MONOMER
BraA01g011030.3C,dead,-0.18547711475843126,red,BRARA.A01067-MONOMER
BraA01g011030.3C,live,0.18547711475843143,red,BRARA.A01067-MONOMER
BraA01g011040.3C,dead,-0.029233175523694133,red,BRARA.A01068-MONOMER
BraA01g011040.3C,live,0.02923317552369414,red,BRARA.A01068-MONOMER
BraA01g012700.3C,dead,0.196933188791652,yellowgreen,BRARA.A01222-MONOMER
BraA01g012700.3C,live,-0.19693318879165198,yellowgreen,BRARA.A01222-MONOMER
BraA01g014710.3C,dead,-0.044955332055564096,red,BRARA.A01404-MONOMER
BraA01g014710.3C,live,0.044955332055564116,red,BRARA.A01404-MONOMER
BraA01g015820.3C,dead,0.19720947237865485,lightyellow,BRARA.A01511-MONOMER
BraA01g015820.3C,live,-0.19720947237865488,lightyellow,BRARA.A01511-MONOMER
BraA01g016530.3C,dead,0.047939401202482614,paleturquoise,BRARA.A01575-MONOMER
BraA01g016530.3C,live,-0.04793940120248267,paleturquoise,BRARA.A01575-MONOMER
BraA01g019500.3C,dead,0.009484876256801058,red,BRARA.A01839-MONOMER
BraA01g019500.3C,live,-0.009484876256801056,red,BRARA.A01839-MONOMER
BraA01g020200.3C,dead,0.0026594010988620917,red,BRARA.A01898-MONOMER
BraA01g020200.3C,live,-0.0026594010988620674,red,BRARA.A01898-MONOMER
BraA01g021150.3C,dead,0.19479684238588355,plum1,BRARA.A01977-MONOMER
BraA01g021150.3C,live,-0.19479684238588363,plum1,BRARA.A01977-MONOMER
BraA01g022530.3C,dead,0.09732388252380439,midnightblue,BRARA.A02100-MONOMER
BraA01g022530.3C,live,-0.09732388252380442,midnightblue,BRARA.A02100-MONOMER
BraA01g022910.3C,dead,-0.0011549359375971203,midnightblue,BRARA.A02124-MONOMER
BraA01g022910.3C,live,0.0011549359375971138,midnightblue,BRARA.A02124-MONOMER
BraA01g023090.3C,dead,-0.10258064725076728,paleturquoise,BRARA.A02138-MONOMER
BraA01g023090.3C,live,0.10258064725076727,paleturquoise,BRARA.A02138-MONOMER
BraA01g029350.3C,dead,0.0021009421247193847,red,BRARA.A02551-MONOMER
BraA01g029350.3C,live,-0.0021009421247193986,red,BRARA.A02551-MONOMER
BraA01g029670.3C,dead,0.36274892624010296,plum1,BRARA.A02571-MONOMER
BraA01g029670.3C,live,-0.36274892624010285,plum1,BRARA.A02571-MONOMER
BraA01g030550.3C,dead,-0.011724356154882723,midnightblue,BRARA.A02643-MONOMER
BraA01g030550.3C,live,0.011724356154882778,midnightblue,BRARA.A02643-MONOMER
