module,term,estimate,p.value,fdr
root.bisque4,trtlive,-0.1870527051975704,5.830299621520468e-5,0.0014575749053801171
root.ivory,trtlive,-0.17985327120205535,1.286162939876017e-4,0.0016077036748450213
root.blue,trtlive,-0.15160067839439814,0.001748448842911704,0.014570407024264202
root.lightsteelblue1,trtlive,-0.13576560058026824,0.005700767339673492,0.03121462686173608
root.brown,trtlive,-0.13444547582956037,0.006242925372347216,0.03121462686173608
root.floralwhite,trtlive,0.13084862103028128,0.007951677661404725,0.033131990255853026
root.turquoise,trtlive,0.12254052908278329,0.013493398024802301,0.04819070723143679
root.darkred,trtlive,0.11878565552693902,0.01691339630480868,0.05285436345252712
root.darkgrey,trtlive,-0.11643240096388946,0.019408389030570596,0.05391219175158499
root.darkslateblue,trtlive,0.0984692496726168,0.05048071502208457,0.12620178755521144
root.darkmagenta,trtlive,0.0876417179381132,0.08338955006987066,0.1895217047042515
root.plum1,trtlive,-0.08316648220231206,0.10108980195806531,0.21060375407930276
root.orangered4,trtlive,0.06373051577736047,0.2123846435870358,0.4084320068981458
root.grey,trtlive,-0.061254173185305474,0.23106529332919334,0.41261659523070243
root.orange,trtlive,-0.05282436231057839,0.30289392041494934,0.5048232006915823
root.darkorange2,trtlive,-0.026701036311191247,0.6044487903085725,0.9184490064715303
root.cyan,trtlive,0.022822298748221694,0.6580912773953502,0.9184490064715303
root.paleturquoise,trtlive,0.0225955698127829,0.6612832846595018,0.9184490064715303
root.green,trtlive,0.016936658314572497,0.742739543472861,0.9772888729906066
root.magenta,trtlive,0.008113624283371125,0.8751246113671176,0.9815687398904552
root.darkgreen,trtlive,-0.005311366138555586,0.9180693195141398,0.9815687398904552
root.skyblue,trtlive,0.0043946617808474685,0.9321738139976712,0.9815687398904552
root.greenyellow,trtlive,-0.004202007486525844,0.935140755676765,0.9815687398904552
root.black,trtlive,0.0012922766499534669,0.9800341882642485,0.9815687398904552
root.grey60,trtlive,-0.001192935934187149,0.9815687398904552,0.9815687398904552
