module,term,microbe.estimate,microbe.fdr,leaf_length_pct_var,leaf_length_effect,top15GOterms
leaf.lightcyan1,trtlive,-0.17907795598063136,0.0043268284212734905,7.1,Decrease,"photosynthesis; response to cytokinin; chloroplast organization; response to cold; photosynthesis, light harvesting in photosystem I; chlorophyll biosynthetic process; reductive pentose-phosphate cycle; protein-chromophore linkage; peptidyl-cysteine S-nitrosylation; photosynthetic electron transport in photosystem I; photosynthetic electron transport chain; plastid translation; response to light stimulus; oxidation-reduction process; protein import into chloroplast stroma"
leaf.darkgrey,trtlive,0.15341379873351252,0.018086411560615055,6.8,Increase,ubiquitin-dependent protein catabolic process; intracellular protein transport; proteasome-mediated ubiquitin-dependent protein catabolic process; Rab protein signal transduction; protein ubiquitination; proteasomal protein catabolic process; proteasomal ubiquitin-independent protein catabolic process; protein transport; vesicle-mediated transport; vesicle fusion; biological_process; response to heat; cellular response to heat; autophagy; response to salt stress
leaf.palevioletred3,trtlive,0.15158752043142457,0.018086411560615055,NA,NA,"RNA splicing; biological_process; mRNA splicing, via spliceosome; positive regulation of calcium ion transport; alternative mRNA splicing, via spliceosome; mRNA cis splicing, via spliceosome; Notch signaling pathway; regulation of double-strand break repair"
leaf.darkseagreen4,trtlive,0.14402404332205446,0.02422266012612542,NA,NA,cell death; peptidyl-serine phosphorylation; regulation of salicylic acid metabolic process; immune response; plant-type hypersensitive response; intracellular signal transduction; protein autophosphorylation; abscisic acid-activated signaling pathway; protein phosphorylation; brassinosteroid mediated signaling pathway; defense response; protein autoubiquitination; response to abscisic acid; anther dehiscence; defense response by callose deposition
leaf.plum2,trtlive,-0.14108831218471427,0.02422266012612542,NA,NA,positive regulation of catalytic activity; glycerol ether metabolic process; regulation of carbohydrate metabolic process; photosystem II oxygen evolving complex assembly; response to light intensity; cell redox homeostasis; pyridoxine biosynthetic process; cytochrome b6f complex assembly
leaf.mediumorchid,trtlive,-0.12309381939390862,0.06738803183327814,NA,NA,no enriched GO
leaf.darkorange,trtlive,-0.12028598777672907,0.0685021663341068,NA,NA,no enriched GO
leaf.cyan,trtlive,-0.10768531695923034,0.12223485948845321,NA,NA,"circadian rhythm; starch catabolic process; regulation of transcription, DNA-templated; response to light stimulus; cellulose biosynthetic process; response to blue light; transmembrane receptor protein tyrosine kinase signaling pathway; cell wall organization"
leaf.bisque4,trtlive,0.10414630295572519,0.13078995957438086,NA,NA,"defense response to bacterium; protein phosphorylation; response to chitin; defense response to fungus; defense response; defense response to bacterium, incompatible interaction; response to salicylic acid; response to bacterium; systemic acquired resistance; protein autophosphorylation; response to salt stress; response to oxidative stress; response to molecule of bacterial origin; induced systemic resistance; camalexin biosynthetic process"
leaf.lightsteelblue1,trtlive,0.09741143729282706,0.1647403882068215,NA,NA,ureide catabolic process; abscisic acid-activated signaling pathway; response to osmotic stress; transmembrane transport; allantoin catabolic process; purine nucleobase catabolic process; response to abscisic acid; proteolysis
leaf.plum1,trtlive,0.09483164675338072,0.16938867307973932,NA,NA,"regulation of transcription, DNA-templated; flower development; ubiquitin-dependent protein catabolic process; response to virus; mRNA splicing, via spliceosome; glucosinolate metabolic process; negative regulation of transcription, DNA-templated; vegetative to reproductive phase transition of meristem; histone H3-K4 demethylation; mRNA processing; negative regulation of transcription by RNA polymerase II; protein ubiquitination; cell differentiation; regulation of viral process; positive regulation of transcription by RNA polymerase II"
leaf.honeydew1,trtlive,-0.0862399600995062,0.22901994095673414,3.9,Decrease,RNA modification; 'de novo' UMP biosynthetic process
leaf.navajowhite2,trtlive,0.08211671833417467,0.2421250048896246,NA,NA,no enriched GO
leaf.brown,trtlive,-0.08128264849746969,0.2421250048896246,NA,NA,"translation; ribosome biogenesis; cytoplasmic translation; ribosomal large subunit assembly; ribosomal small subunit assembly; rRNA processing; translational elongation; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); ribosomal large subunit biogenesis; maturation of LSU-rRNA; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); response to cytokinin; RNA modification; mitochondrial mRNA modification; assembly of large subunit precursor of preribosome"
leaf.orange,trtlive,0.06799507850524858,0.36620664948013937,NA,NA,no enriched GO
leaf.skyblue1,trtlive,-0.06557748747775624,0.36620664948013937,NA,NA,glucosinolate biosynthetic process; leucine biosynthetic process; response to insect; methionine biosynthetic process
leaf.darkmagenta,trtlive,-0.06533961605467808,0.36620664948013937,NA,NA,no enriched GO
leaf.coral1,trtlive,-0.055768240708323286,0.47593554403022603,4.1,Decrease,rRNA processing; RNA modification; translation; ribosome biogenesis; cytidine to uridine editing; ribosomal small subunit biogenesis; translational initiation; mitochondrial mRNA modification; embryo development ending in seed dormancy; protein folding; mitochondrion organization; tRNA processing; ribosomal large subunit biogenesis; embryo sac development; translational elongation
leaf.maroon,trtlive,-0.04166414852038027,0.6644148628603866,3.5,Decrease,translation; RNA modification; karyogamy; mitochondrial mRNA modification; ribosomal small subunit assembly; ribosomal large subunit assembly; maturation of LSU-rRNA; rRNA processing
leaf.yellow4,trtlive,0.039772461394573876,0.6644148628603866,NA,NA,"photosynthetic electron transport in photosystem II; photosynthesis, light reaction; protein-chromophore linkage; DNA-templated transcription, elongation; oxidative phosphorylation; electron transport coupled proton transport; malonyl-CoA biosynthetic process; mitochondrial electron transport, cytochrome c to oxygen; respiratory electron transport chain"
leaf.orangered4,trtlive,-0.03885204349133913,0.6644148628603866,NA,NA,no enriched GO
leaf.thistle2,trtlive,-0.034992256043432333,0.6795988276478636,NA,NA,cellular response to phosphate starvation; sucrose biosynthetic process; positive regulation of cellular response to phosphate starvation; nectar secretion; glycolipid biosynthetic process; dephosphorylation
leaf.brown4,trtlive,0.03438445725772466,0.6795988276478636,NA,NA,"intracellular protein transport; retrograde vesicle-mediated transport, Golgi to ER; ER to Golgi vesicle-mediated transport; vesicle-mediated transport; intra-Golgi vesicle-mediated transport"
leaf.darkorange2,trtlive,-0.030609622375542277,0.6855772079962048,NA,NA,no enriched GO
leaf.mediumpurple3,trtlive,0.030571935253401215,0.6855772079962048,NA,NA,response to water deprivation; phospholipid biosynthetic process; oxidation-reduction process; response to antibiotic; response to abscisic acid; photosystem II repair; response to red light; response to ozone; response to osmotic stress; chloroplast organization
leaf.grey,trtlive,-0.028332438309341137,0.6944772028525011,NA,NA,biological_process
leaf.lightgreen,trtlive,-0.022163733775758275,0.7578505136651525,NA,NA,no enriched GO
leaf.antiquewhite4,trtlive,0.02095803606080325,0.7578505136651525,4.5,Decrease,no enriched GO
leaf.coral2,trtlive,-0.014369530353136175,0.834529630027167,NA,NA,"photorespiration; mitochondrial electron transport, NADH to ubiquinone; vesicle-mediated transport; intracellular protein transport; protein folding; translational initiation; response to brefeldin A; regulation of auxin metabolic process; N-terminal protein myristoylation; ATP synthesis coupled proton transport; biological_process; protein import into peroxisome matrix; protein monoubiquitination"
leaf.lavenderblush3,trtlive,-0.011897213515952729,0.8448763200306566,NA,NA,no enriched GO
leaf.thistle1,trtlive,0.010100804903513942,0.8448763200306566,NA,NA,tryptophan biosynthetic process; response to wounding; indoleacetic acid biosynthetic process; lignin biosynthetic process; response to jasmonic acid; regulation of jasmonic acid mediated signaling pathway; regulation of defense response; regulation of glucosinolate biosynthetic process; hydrogen sulfide biosynthetic process; defense response by callose deposition in cell wall; glucosinolate biosynthetic process; male gamete generation; cysteine biosynthetic process; defense response to bacterium; sulfate assimilation
