Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,tissue,treatment
SRR5044977,RNA-Seq,51,381354948,PRJNA354456,SAMN06049035,Plant,250451652,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367814,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1-A1-R,SRP093743,root,seven-day plants grown in fresh nutrient solution without 20 µM AlCl3 for 24 h
SRR5044978,RNA-Seq,51,405519105,PRJNA354456,SAMN06049035,Plant,265662110,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367853,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1-A1-R,SRP093743,root,seven-day plants grown in fresh nutrient solution without 20 µM AlCl3 for 24 h
SRR5044979,RNA-Seq,51,315110028,PRJNA354456,SAMN06049035,Plant,206366819,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367906,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1-A1-R,SRP093743,root,seven-day plants grown in fresh nutrient solution without 20 µM AlCl3 for 24 h
SRR5044980,RNA-Seq,51,325870875,PRJNA354456,SAMN06049036,Plant,215829050,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367910,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1-A1-S,SRP093743,shoot,seven-day plants grown in fresh nutrient solution without 20 µM AlCl3 for 24 h
SRR5044981,RNA-Seq,51,303004668,PRJNA354456,SAMN06049036,Plant,198399372,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367911,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1-A1-S,SRP093743,shoot,seven-day plants grown in fresh nutrient solution without 20 µM AlCl3 for 24 h
SRR5044982,RNA-Seq,51,376755870,PRJNA354456,SAMN06049036,Plant,248052586,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367912,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1-A1-S,SRP093743,shoot,seven-day plants grown in fresh nutrient solution without 20 µM AlCl3 for 24 h
SRR5044983,RNA-Seq,51,567337413,PRJNA354456,SAMN06049037,Plant,372064776,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367913,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1plusA1-R,SRP093743,root,seven-day plants grown in fresh nutrient solution with 20 µM AlCl3 for 24 h
SRR5044984,RNA-Seq,51,398806026,PRJNA354456,SAMN06049037,Plant,261286912,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367914,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1plusA1-R,SRP093743,root,seven-day plants grown in fresh nutrient solution with 20 µM AlCl3 for 24 h
SRR5044985,RNA-Seq,51,522182676,PRJNA354456,SAMN06049037,Plant,342164032,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367915,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1plusA1-R,SRP093743,root,seven-day plants grown in fresh nutrient solution with 20 µM AlCl3 for 24 h
SRR5044986,RNA-Seq,51,389296719,PRJNA354456,SAMN06049038,Plant,255607725,CORNELL UNIVERSITY,public,cbl1 mutant,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",eight-day plants,SRX2367916,uncalculated,uncalculated,not collected,Illumina HiSeq 2500,,SINGLE,RANDOM,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-12-21T00:00:00Z,Cbl1plusA1-S,SRP093743,shoot,seven-day plants grown in fresh nutrient solution with 20 µM AlCl3 for 24 h
