locus,gt,Fe-,Fe+,FC
AT1G01010,uri,278.4735931657357,222.28730132969918,1.2527642897274656
AT1G01010,WT,244.07403764115986,165.7613586121303,1.472442309140791
AT1G01080,uri,111.03531269548327,81.60946760694343,1.3605690117997566
AT1G01080,WT,80.55934452229378,120.3382610486679,0.6694408230621972
AT1G01170,uri,1062.353359197837,446.0285705870064,2.381805626934844
AT1G01170,WT,355.26864369871873,564.9439488698877,0.6288564456870406
AT1G01190,uri,366.3180196396411,1102.9218173917486,0.33213416750239877
AT1G01190,WT,550.5556758789,773.3336267939699,0.7119251727890763
AT1G01240,uri,1098.5573297723122,1115.6090306754613,0.9847153434274147
AT1G01240,WT,1024.0350502730093,1537.6806256419109,0.6659608199495405
AT1G01340,uri,754.0096973915804,537.0001703548394,1.4041144472884344
AT1G01340,WT,773.5326209417485,560.3585881510398,1.3804243163187666
AT1G01430,uri,883.1526877548376,735.1724861633907,1.201286370717849
AT1G01430,WT,847.9506575639605,928.1693606151168,0.9135732050043176
AT1G01550,uri,4802.072308026263,3532.265515362913,1.3594879227341683
AT1G01550,WT,4326.717407703607,3725.9429349443585,1.1612409216267883
AT1G01570,uri,78.50426644905333,106.27584172811542,0.7386840242572731
AT1G01570,WT,181.46060621106312,112.80407560676234,1.6086351954484257
AT1G01600,uri,89.4577414675033,274.7540909382908,0.3255920272633732
AT1G01600,WT,216.0419108092212,167.0259286515883,1.293463311674674
AT1G01610,uri,318.9639553944167,512.690924203533,0.6221369256534592
AT1G01610,WT,580.4354620172116,422.98036953733623,1.3722515365242665
AT1G01790,uri,238.86204165878698,318.72280055221165,0.7494350615799692
AT1G01790,WT,442.9362945296183,325.11062033174164,1.3624171799667688
AT1G01800,uri,2853.5922805593445,1945.4763818396304,1.466783306750301
AT1G01800,WT,2297.2359932721074,1800.3351895167575,1.2760046055027825
AT1G01920,uri,168.81821040683613,212.14693861925392,0.7957607661254963
AT1G01920,WT,219.03829506451493,239.6307199557625,0.9140660058316018
AT1G02110,uri,129.46113056511876,243.58704256417212,0.5314779029389984
AT1G02110,WT,209.51030735904982,274.1142223190165,0.7643175373630191
AT1G02150,uri,473.0163675713934,377.0839865542488,1.2544058735926815
AT1G02150,WT,339.0809320277624,432.63623040384874,0.7837552849220321
AT1G02300,uri,316.7514932943536,215.29132063893508,1.471269219559377
AT1G02300,WT,207.58621439264346,274.6988642542914,0.7556864676385371
