Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,Sample Name,sample_name,SRA Study,tissue_type
DRR070501,RNA-Seq,180,3624796080,PRJDB5141,SAMD00060395,2753250202,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064451,Illumina HiSeq 2000,Ctrl_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060395,Ctrl_1,DRP003686,root
DRR070502,RNA-Seq,180,3550511160,PRJDB5141,SAMD00060396,2701125280,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064452,Illumina HiSeq 2000,N_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060396,N_1,DRP003686,root
DRR070503,RNA-Seq,180,3445791660,PRJDB5141,SAMD00060397,2616338422,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064453,Illumina HiSeq 2000,K_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060397,K_1,DRP003686,root
DRR070504,RNA-Seq,180,3990842100,PRJDB5141,SAMD00060398,3014861815,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064454,Illumina HiSeq 2000,Ca_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060398,Ca_1,DRP003686,root
DRR070505,RNA-Seq,180,3830223240,PRJDB5141,SAMD00060399,2917209584,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064455,Illumina HiSeq 2000,Mg_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060399,Mg_1,DRP003686,root
DRR070506,RNA-Seq,180,3542988960,PRJDB5141,SAMD00060400,2698349311,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064456,Illumina HiSeq 2000,P_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060400,P_1,DRP003686,root
DRR070507,RNA-Seq,180,3895244280,PRJDB5141,SAMD00060401,2958900411,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064457,Illumina HiSeq 2000,S_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060401,S_1,DRP003686,root
DRR070508,RNA-Seq,180,3820615740,PRJDB5141,SAMD00060402,2878008098,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064458,Illumina HiSeq 2000,B_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060402,B_1,DRP003686,root
DRR070509,RNA-Seq,180,3518461800,PRJDB5141,SAMD00060403,2675230157,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064459,Illumina HiSeq 2000,Fe_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060403,Fe_1,DRP003686,root
DRR070510,RNA-Seq,180,4254948360,PRJDB5141,SAMD00060404,3235892455,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064460,Illumina HiSeq 2000,Mn_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060404,Mn_1,DRP003686,root
DRR070511,RNA-Seq,180,3511429560,PRJDB5141,SAMD00060405,2668595273,CHUO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Col-0,DRX064461,Illumina HiSeq 2000,Zn_1,PAIRED,PolyA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-06-19T00:00:00Z,biological replicate 1,SAMD00060405,Zn_1,DRP003686,root
