Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,plant,Platform,ReleaseDate,Sample Name,source_name,SRA Study,time,tissue,treatment
SRR2932408,RNA-Seq,202,1505381164,PRJNA301684,SAMN04254270,841181255,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425888,GSM1936676,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Col-0,ILLUMINA,2016-03-29T00:00:00Z,GSM1936676,plant seedlings,SRP065994,10 day,shoot,Pi sufficiency
SRR2932409,RNA-Seq,202,985123296,PRJNA301684,SAMN04254270,388040301,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425888,GSM1936676,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Col-0,ILLUMINA,2016-03-29T00:00:00Z,GSM1936676,plant seedlings,SRP065994,10 day,shoot,Pi sufficiency
SRR2932410,RNA-Seq,202,1937031126,PRJNA301684,SAMN04254271,1081561302,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425889,GSM1936677,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,35S:PHT5;1-GFP#04,ILLUMINA,2016-03-29T00:00:00Z,GSM1936677,plant seedlings,SRP065994,10 day,shoot,Pi sufficiency
SRR2932411,RNA-Seq,202,1288473362,PRJNA301684,SAMN04254271,507203608,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425889,GSM1936677,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,35S:PHT5;1-GFP#04,ILLUMINA,2016-03-29T00:00:00Z,GSM1936677,plant seedlings,SRP065994,10 day,shoot,Pi sufficiency
SRR2932412,RNA-Seq,202,2169395766,PRJNA301684,SAMN04254272,1211584131,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425890,GSM1936678,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,35S:PHT5;1-GFP#12,ILLUMINA,2016-03-29T00:00:00Z,GSM1936678,plant seedlings,SRP065994,10 day,shoot,Pi sufficiency
SRR2932413,RNA-Seq,202,1369790280,PRJNA301684,SAMN04254272,539013387,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425890,GSM1936678,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,35S:PHT5;1-GFP#12,ILLUMINA,2016-03-29T00:00:00Z,GSM1936678,plant seedlings,SRP065994,10 day,shoot,Pi sufficiency
SRR2932414,RNA-Seq,202,1752852576,PRJNA301684,SAMN04254273,978072852,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425891,GSM1936679,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Col-0,ILLUMINA,2016-03-29T00:00:00Z,GSM1936679,plant seedlings,SRP065994,1 day,shoot,Pi starvation
SRR2932415,RNA-Seq,202,1109588626,PRJNA301684,SAMN04254273,436692318,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425891,GSM1936679,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,Col-0,ILLUMINA,2016-03-29T00:00:00Z,GSM1936679,plant seedlings,SRP065994,1 day,shoot,Pi starvation
SRR2932416,RNA-Seq,202,2089511432,PRJNA301684,SAMN04254274,1162942917,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425892,GSM1936680,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,35S:PHT5;1-GFP#04,ILLUMINA,2016-03-29T00:00:00Z,GSM1936680,plant seedlings,SRP065994,1 day,shoot,Pi starvation
SRR2932417,RNA-Seq,202,1300863436,PRJNA301684,SAMN04254274,510656321,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1425892,GSM1936680,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,35S:PHT5;1-GFP#04,ILLUMINA,2016-03-29T00:00:00Z,GSM1936680,plant seedlings,SRP065994,1 day,shoot,Pi starvation
