metabolite,PC,loading,PropVar_met_per_mg,beta,organ,transformation,metabolite_effect_on_leaf
fructose-6-phosphate,root_PC5,0.16192824393122213,0.1214101170816347,0.10966035428387896,root,normalized,increase
glucose-6-phosphate,root_PC5,0.16138621476786374,0.1214101170816347,0.10966035428387896,root,normalized,increase
hexose-6-phosphate,root_PC5,0.14793183623464862,0.1214101170816347,0.10966035428387896,root,normalized,increase
glycerol-alpha-phosphate,root_PC5,0.11739925275938387,0.1214101170816347,0.10966035428387896,root,normalized,increase
adenosine,root_PC5,0.11665347426690566,0.1214101170816347,0.10966035428387896,root,normalized,increase
glucose-1-phosphate,root_PC5,0.11566834680318162,0.1214101170816347,0.10966035428387896,root,normalized,increase
glycyl tyrosine,root_PC5,0.11195959469891635,0.1214101170816347,0.10966035428387896,root,normalized,increase
lyxose,root_PC5,0.1041443201348052,0.1214101170816347,0.10966035428387896,root,normalized,increase
inulotriose,root_PC5,0.10357942322411724,0.1214101170816347,0.10966035428387896,root,normalized,increase
sucrose,root_PC5,0.09347874558423,0.1214101170816347,0.10966035428387896,root,normalized,increase
methyl O-D-galactopyranoside,root_PC5,0.09237672165233013,0.1214101170816347,0.10966035428387896,root,normalized,increase
maleic acid,root_PC5,0.09186446444311457,0.1214101170816347,0.10966035428387896,root,normalized,increase
alpha-ketoglutarate,root_PC5,0.0906611427265428,0.1214101170816347,0.10966035428387896,root,normalized,increase
lactulose,root_PC5,-0.08817697109971744,0.1214101170816347,0.10966035428387896,root,normalized,decrease
xylose,root_PC5,0.07897520127078364,0.1214101170816347,0.10966035428387896,root,normalized,increase
uracil,root_PC5,-0.07667541561517913,0.1214101170816347,0.10966035428387896,root,normalized,decrease
thymine,root_PC5,-0.07507235468139614,0.1214101170816347,0.10966035428387896,root,normalized,decrease
maltotriose,root_PC5,0.07500567391193709,0.1214101170816347,0.10966035428387896,root,normalized,increase
alpha-aminoadipic acid,root_PC5,0.0715640639678871,0.1214101170816347,0.10966035428387896,root,normalized,increase
