metabolite,PC,loading,PropVar_met_amt,beta,organ,transformation,metabolite_effect_on_leaf
putrescine,root_PC3,-0.1178162252519843,0.23965386133927966,0.20707339550526815,root,raw,decrease
xanthine,root_PC3,-0.10070136666879045,0.23965386133927966,0.20707339550526815,root,raw,decrease
cyanoalanine,root_PC3,-0.10066192225710088,0.23965386133927966,0.20707339550526815,root,raw,decrease
lysine,root_PC3,-0.0976051241833615,0.23965386133927966,0.20707339550526815,root,raw,decrease
cyano-l-alanine,root_PC3,-0.09651223576945431,0.23965386133927966,0.20707339550526815,root,raw,decrease
pseudo uridine,root_PC3,-0.09585420612183253,0.23965386133927966,0.20707339550526815,root,raw,decrease
allantoic acid,root_PC3,-0.08825257849214835,0.23965386133927966,0.20707339550526815,root,raw,decrease
galactinol,root_PC3,0.08703786948950878,0.23965386133927966,0.20707339550526815,root,raw,increase
gluconic acid,root_PC3,-0.08682878492134742,0.23965386133927966,0.20707339550526815,root,raw,decrease
ornithine,root_PC3,0.08451657913868532,0.23965386133927966,0.20707339550526815,root,raw,increase
tyrosine,root_PC3,-0.0840016046210073,0.23965386133927966,0.20707339550526815,root,raw,decrease
xylonic acid isomer,root_PC3,0.08362409525727486,0.23965386133927966,0.20707339550526815,root,raw,increase
N-acetylornithine,root_PC3,-0.0827428492534079,0.23965386133927966,0.20707339550526815,root,raw,decrease
raffinose,root_PC3,0.08181315903539443,0.23965386133927966,0.20707339550526815,root,raw,increase
asparagine,root_PC3,-0.07909674596957766,0.23965386133927966,0.20707339550526815,root,raw,decrease
isoleucine,root_PC3,-0.07773144050611575,0.23965386133927966,0.20707339550526815,root,raw,decrease
guanine,root_PC3,-0.07698326715624194,0.23965386133927966,0.20707339550526815,root,raw,decrease
beta-gentiobiose,root_PC3,-0.0768564059540765,0.23965386133927966,0.20707339550526815,root,raw,decrease
valine,root_PC3,-0.07671430659892868,0.23965386133927966,0.20707339550526815,root,raw,decrease
1-kestose,root_PC3,0.07667114655914321,0.23965386133927966,0.20707339550526815,root,raw,increase
methionine,root_PC3,-0.0758546944706351,0.23965386133927966,0.20707339550526815,root,raw,decrease
isocitric acid,root_PC3,0.07474940702682528,0.23965386133927966,0.20707339550526815,root,raw,increase
isohexonic acid,root_PC3,0.07462016095306352,0.23965386133927966,0.20707339550526815,root,raw,increase
alanine,root_PC3,-0.07402713602185106,0.23965386133927966,0.20707339550526815,root,raw,decrease
sucrose,root_PC3,0.07234409948484828,0.23965386133927966,0.20707339550526815,root,raw,increase
threonic acid,root_PC3,-0.0685029075704605,0.23965386133927966,0.20707339550526815,root,raw,decrease
homocystine,root_PC3,-0.06794137215771462,0.23965386133927966,0.20707339550526815,root,raw,decrease
leucine,root_PC3,-0.06791688688692864,0.23965386133927966,0.20707339550526815,root,raw,decrease
tryptophan,root_PC3,-0.06722226620873459,0.23965386133927966,0.20707339550526815,root,raw,decrease
dehydroascorbic acid,root_PC3,0.06665641023555179,0.23965386133927966,0.20707339550526815,root,raw,increase
5-aminovaleric acid,root_PC3,-0.06547149991542316,0.23965386133927966,0.20707339550526815,root,raw,decrease
lyxitol,root_PC3,-0.06481584706434648,0.23965386133927966,0.20707339550526815,root,raw,decrease
mucic acid,root_PC3,0.06333630069426896,0.23965386133927966,0.20707339550526815,root,raw,increase
xylulose NIST,root_PC3,-0.06263844300218872,0.23965386133927966,0.20707339550526815,root,raw,decrease
phenylethylamine,root_PC3,-0.06209533481055102,0.23965386133927966,0.20707339550526815,root,raw,decrease
fructose-6-phosphate,root_PC3,0.061602733815315676,0.23965386133927966,0.20707339550526815,root,raw,increase
glucose-6-phosphate,root_PC3,0.061590766842261634,0.23965386133927966,0.20707339550526815,root,raw,increase
malic acid,root_PC3,0.06061029461580278,0.23965386133927966,0.20707339550526815,root,raw,increase
proline,root_PC3,-0.060446652491974937,0.23965386133927966,0.20707339550526815,root,raw,decrease
aconitic acid,root_PC3,0.059753007245086066,0.23965386133927966,0.20707339550526815,root,raw,increase
ribose,root_PC3,-0.05857383860444221,0.23965386133927966,0.20707339550526815,root,raw,decrease
inositol-4-monophosphate,root_PC3,0.055844978109281115,0.23965386133927966,0.20707339550526815,root,raw,increase
alpha-aminoadipic acid,root_PC3,-0.05580153531144167,0.23965386133927966,0.20707339550526815,root,raw,decrease
citric acid,root_PC3,0.05501250060889518,0.23965386133927966,0.20707339550526815,root,raw,increase
quinic acid,root_PC3,0.05333478748408659,0.23965386133927966,0.20707339550526815,root,raw,increase
butyrolactam NIST,root_PC3,0.05313716564479319,0.23965386133927966,0.20707339550526815,root,raw,increase
phosphate,root_PC3,0.0520806074752376,0.23965386133927966,0.20707339550526815,root,raw,increase
gluconic acid lactone,root_PC3,-0.05197033760066086,0.23965386133927966,0.20707339550526815,root,raw,decrease
hexose-6-phosphate,root_PC3,0.05170051701988426,0.23965386133927966,0.20707339550526815,root,raw,increase
glycerol,root_PC3,-0.051685797746439575,0.23965386133927966,0.20707339550526815,root,raw,decrease
uracil,root_PC3,-0.051293324906497566,0.23965386133927966,0.20707339550526815,root,raw,decrease
ethanolamine,root_PC3,-0.05035237899922784,0.23965386133927966,0.20707339550526815,root,raw,decrease
methyl O-D-galactopyranoside,leaf_PC2,0.08970638595219266,0.23965386133927966,0.004741141305349067,leaf,raw,increase
isoleucine,leaf_PC2,-0.087062717400342507,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
lysine,leaf_PC2,-0.08621075096057342,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
phenylalanine,leaf_PC2,-0.08382007489227117,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
homoserine,leaf_PC2,-0.08341167865608802,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
tyrosine,leaf_PC2,-0.08245247827346629,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
glutamine,leaf_PC2,-0.081341481257109,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
glycine,leaf_PC2,-0.08123338965199353,0.23965386133927966,0.004741141305349067,leaf,raw,decrease
