metabolite,p.value.trt,p.value.leaf,tissue,FDR.trt,FDR.leaf,sig.both
met_amt_leaf_xylulose NIST,0.46585854034687146,0.18804374397541884,leaf,0.7808676485814227,0.5425524416339954,FALSE
met_amt_leaf_xylose,0.7823974227596255,0.1688079803140649,leaf,0.9248244147880265,0.5035627887334818,FALSE
met_amt_leaf_xylonic acid isomer,0.0609004356017132,0.03657622076582509,leaf,0.6450505478764212,0.1950731774177338,FALSE
met_amt_leaf_xylonic acid,0.18924322241372185,0.23687870135221809,leaf,0.6989610196755311,0.5633871815944647,FALSE
met_amt_leaf_xanthine,0.8953426964653535,0.6812367000997699,leaf,0.9435946980712708,0.8653333083694629,FALSE
met_amt_leaf_vanillic acid,0.16325515495786583,0.4975319456383175,leaf,0.6989610196755311,0.8320680907117086,FALSE
met_amt_leaf_valine,0.0774221217778755,0.0013677293608501725,leaf,0.6450505478764212,0.07322161371682658,FALSE
met_amt_leaf_uridine,0.6834318506244559,0.24658039241305288,leaf,0.874006291454849,0.5710282771670698,FALSE
met_amt_leaf_urea,0.26297180304828877,0.5591069745566013,leaf,0.7328368016830991,0.8320680907117086,FALSE
met_amt_leaf_uracil,0.4797850035526038,0.01280471369257476,leaf,0.7966241568420591,0.14085185061832237,FALSE
met_amt_leaf_UDP-N-acetylglucosamine,0.6625610875013725,0.20483810580912373,leaf,0.874006291454849,0.5447836655573859,FALSE
met_amt_leaf_tyrosine,0.6235576874005528,0.020957711217503065,leaf,0.874006291454849,0.16105874996540012,FALSE
met_amt_leaf_tryptophan,0.38690312933004034,0.027803471115563496,leaf,0.7504234000284308,0.17617878090617015,FALSE
met_amt_leaf_tocopherol alpha-,0.6359083741098395,0.10526406384454264,leaf,0.874006291454849,0.33082991493999114,FALSE
met_amt_leaf_thymine,0.8733080485561384,0.6974313803615564,leaf,0.9435946980712708,0.8705526449903115,FALSE
met_amt_leaf_threonine,0.10467830916909253,0.012524996441094262,leaf,0.6807040230922236,0.14085185061832237,FALSE
met_amt_leaf_threonic acid,0.7829479420648633,0.024417001544557136,leaf,0.9248244147880265,0.17617878090617015,FALSE
met_amt_leaf_tagatose,0.10829382185558102,0.07505815356291354,leaf,0.6807040230922236,0.2733667320785291,FALSE
met_amt_leaf_sucrose,0.6636223433011297,0.5707576419822249,leaf,0.874006291454849,0.8320680907117086,FALSE
met_amt_leaf_succinic acid,0.62136719808077,0.5872401343165743,leaf,0.874006291454849,0.8320680907117086,FALSE
met_amt_leaf_stigmasterol,0.3464879536334454,0.7651670842540595,leaf,0.7504234000284308,0.8977960455247632,FALSE
met_amt_leaf_stearic acid,0.10721032604464459,0.7710551261038215,leaf,0.6807040230922236,0.8987132595647191,FALSE
met_amt_leaf_spermidine,0.7590126760782003,0.8355385733121328,leaf,0.9087498706786616,0.9248728861819834,FALSE
met_amt_leaf_sinapinic acid,0.3498458610627938,0.04923232074773353,leaf,0.7504234000284308,0.21133874272197808,FALSE
met_amt_leaf_shikimic acid,0.37696811707437783,0.2010028737879834,leaf,0.7504234000284308,0.5447836655573859,FALSE
met_amt_leaf_serine,0.48593634566229504,0.6883333134757091,leaf,0.7992971666968591,0.8653333083694629,FALSE
met_amt_leaf_saccharic acid,0.39742495325272253,0.3988814483905889,leaf,0.7504234000284308,0.771463021063117,FALSE
met_amt_leaf_ribose,0.5496323125528998,9.81494887778832e-4,leaf,0.8485551492044768,0.07322161371682658,FALSE
met_amt_leaf_ribonic acid,0.8621186186532791,0.030824713045518985,leaf,0.9424402290868145,0.17617878090617015,FALSE
met_amt_leaf_ribitol,0.5283235961244626,0.44270752357472576,leaf,0.8303236849853386,0.8320680907117086,FALSE
met_amt_leaf_raffinose,0.394206793991023,0.5937059111232377,leaf,0.7504234000284308,0.8320680907117086,FALSE
met_amt_leaf_quinic acid,0.08796143834678471,0.7269184832722813,leaf,0.6450505478764212,0.8762852949035719,FALSE
met_amt_leaf_pyruvic acid,0.7324984383379083,0.20431647070649542,leaf,0.8952758690796657,0.5447836655573859,FALSE
met_amt_leaf_pyrrole-2-carboxylic acid,0.19122165989890355,0.0033282551689466622,leaf,0.6989610196755311,0.07322161371682658,FALSE
met_amt_leaf_putrescine,0.4630278424872841,0.21434595473332102,leaf,0.7808676485814227,0.5447836655573859,FALSE
met_amt_leaf_pseudo uridine,0.384403241329494,0.004842261545856068,leaf,0.7504234000284308,0.09469311467451867,FALSE
"met_amt_leaf_propane-1,3-diol NIST",0.36579553828896605,0.584932992817782,leaf,0.7504234000284308,0.8320680907117086,FALSE
met_amt_leaf_proline,0.06826698061528573,0.4957378989003427,leaf,0.6450505478764212,0.8320680907117086,FALSE
met_amt_leaf_phytol,0.4593502620946506,0.8343441200289201,leaf,0.7808676485814227,0.9248728861819834,FALSE
met_amt_leaf_phosphate,0.6718286967092404,0.7249423789740728,leaf,0.874006291454849,0.8762852949035719,FALSE
met_amt_leaf_phenylpyruvate,0.6317917178254866,0.5194426978109238,leaf,0.874006291454849,0.8320680907117086,FALSE
