metabolite,tissue,estimate_trt_trtlive,estimate_leaf_value_scale,p.value_trt_trtlive,p.value_leaf_value_scale,FDR_trt_trtlive,FDR_leaf_value_scale
ribose,leaf,-1257.9166666666586,-0.5261229790799375,0.9383868596840395,9.814948877788301e-4,0.9994467102546782,0.07322161371682673
adenine,leaf,8571.83333333332,-0.5191826057567644,0.29760125623780126,0.0011761330295148602,0.9238408329976535,0.07322161371682673
valine,leaf,-97675.24999999997,-0.5132783066632512,0.07446586135955256,0.0013677293608501725,0.7774428207455996,0.07322161371682673
leucine,leaf,-17307.916666666675,-0.5000075736677008,0.5895897360961226,0.0019015694508858587,0.9405884020102145,0.07322161371682673
melibiose,leaf,-29.58333333333337,-0.4874933570663319,0.7660022789140758,0.002564109622986081,0.9405884020102145,0.07322161371682673
ferulic acid,leaf,644.3333333333347,0.47970588288536387,0.3336675359459106,0.0030712279598905977,0.9238408329976535,0.07322161371682673
isoleucine,leaf,-74252.08333333326,-0.4763797995088826,0.07878309631573928,0.0033131276681095372,0.7774428207455996,0.07322161371682673
pyrrole-2-carboxylic acid,leaf,-124.00000000000843,-0.47617889559378057,0.9775326106600923,0.003328255168946669,0.9994467102546782,0.07322161371682673
pseudo uridine,leaf,-115.83333333333309,-0.4592212073969898,0.7642024769346561,0.004842261545856056,0.9405884020102145,0.09469311467451844
pseudo uridine,root,-3480.816666666666,-0.6021804091830618,0.010411367034913074,6.663872567665847e-5,0.08725717134022386,0.011728415719091891
cyano-l-alanine,root,-26041.099999999988,-0.5062650215782105,0.002224835058434769,0.0012714092419638544,0.030120843868039947,0.09357485910138867
guanine,root,-1608.5500000000045,-0.4831211651989388,0.6684213331685561,0.0022812308569277527,0.8177028121722638,0.09357485910138867
cyanoalanine,root,-25090.249999999985,-0.48072789151588685,5.552205330755337e-4,0.0024176640192708474,0.015797295098622523,0.09357485910138867
shikimic acid,root,4051.8499999999976,0.4767788191705018,0.07077760786473952,0.0026583766790167235,0.27080128226509037,0.09357485910138867
ornithine,root,17267.5,0.33946930119190305,7.849586318744703e-4,0.03894169466382575,0.015797295098622523,0.36072306635964907
ribose,root,-113456.46666666669,-0.33216657810204137,0.00219595586707446,0.04364970998138756,0.030120843868039947,0.3810097284328995
uracil,root,-35609.53333333332,-0.32212273751210274,0.005452193077359886,0.05086238223303368,0.059974123850958745,0.3810097284328995
threonic acid,root,-186654.03333333333,-0.2883577264314261,3.0155231149621415e-4,0.0823020267959182,0.015797295098622523,0.517327025574343
citric acid,root,977539.9000000003,0.2805031073288825,4.345796577467978e-4,0.091415047787664655,0.015797295098622523,0.5547947727803096
aconitic acid,root,3786.699999999999,0.265231959490431,0.0020394743786510423,0.11132226121465366,0.030120843868039947,0.5617796625240642
isocitric acid,root,15436.000000000004,0.2629168099119902,5.111403698913808e-4,0.11460484946214763,0.015797295098622523,0.5617796625240642
xylulose NIST,root,-4229.4,-0.25623550787241334,0.006715283054657709,0.1244852661274915,0.06566054542331982,0.5617796625240642
erythronic acid,root,-698.9666666666664,0.20467829884401864,0.004071135402434836,0.22286215163189324,0.04776798872190208,0.7155000912536077
glycine,root,-70120.9,-0.1880913888799498,0.005945573151643034,0.26350232230703424,0.061554169099363176,0.7246313863443442
3-hydroxy-3-methylglutaric acid,root,-644.4666666666665,-0.1706301272944821,0.011250771972306272,0.3112503825242446,0.09000617577845017,0.7780582377546384
2-ketoglucose dimethylacetal NIST,root,-41348.6,-0.16056971179163887,6.940494758604599e-4,0.3410823696825692,0.015797295098622523,0.7898749613701603
citramalic acid,root,-2281.233333333334,-0.11301248976917015,5.168231631069001e-4,0.5043303855385586,0.015797295098622523,0.869825125736269
glycerol-3-galactoside,root,-11364.11666666667,0.08682542182949356,0.003387880021853657,0.608474897137633,0.04259049170330312,0.869825125736269
hydroxycarbamate NIST,root,-2818.0999999999995,-0.05498503530497726,0.007590609086220593,0.7459327924015946,0.07031301048288549,0.8853334064232802
erythronic acid lactone,root,-1949.0333333333338,0.051940158094795144,0.002131522053631196,0.7595758202836097,0.030120843868039947,0.8853334064232802
pentitol,root,-484.766666666667,0.03025398845121719,0.0099516405927883,0.858585386136449,0.08725717134022386,0.9332225860607619
4-aminobutyric acid,root,119302.49999999994,0.029867305594676055,6.463139804898262e-4,0.8603750122888247,0.015797295098622523,0.9332225860607619
aminomalonate,root,-3697.3666666666672,-0.010518074563463875,8.078162266341063e-4,0.9506178591436931,0.015797295098622523,0.9727252512168023
