metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_per_mg_leaf_xylulose NIST,339.7438262635804,65.39701407981022,81.8578117832435,-102.9421322921178,0.4589727722363528,0.2590118584694838,0.4102691669792189,1.0309830393533015e-16,0.21887864428129428,0.19965250849111082,leaf,0.9281005133196085,0.3506815257287124,0.7475641764156707,0.5760465818759919,FALSE
met_per_mg_leaf_xylose,363.4460208633314,18.64265239229927,144.4977948848149,-115.84368704839535,0.7802328288616929,0.011787200306123471,0.22532997837118493,2.2017499875147946e-16,0.14691088851246267,0.39254568639725784,leaf,0.9373690576422247,0.038417541738476495,0.5977085734955636,0.7676448978435264,FALSE
met_per_mg_leaf_xylonic acid isomer,73.08591950262402,-1.0963009032076345,-3.1310085885272736,-23.85388916897601,0.9092684307229685,0.6905125276146026,0.08671535082648175,1.8534235533284513e-16,0.2611058592357111,0.12400760562822266,leaf,0.9941416445800659,0.7740777379628666,0.5833595832619678,0.42794781550131744,FALSE
met_per_mg_leaf_xylonic acid,32.77357723876724,6.8217653552681226,20.073741738566028,-12.577102279655927,0.29654535898277096,5.719509502909929e-4,0.17610263606601143,1.1237647111478055e-16,0.15720084822805364,0.3598617330023276,leaf,0.9281005133196085,0.003247205395200476,0.5977085734955636,0.7489722501497674,FALSE
met_per_mg_leaf_xanthine,3.002714850572378,0.7170678078051012,0.589270253592233,-2.252579220062388,0.27114793058915937,0.26811917256859763,0.018273541706970597,1.595634587041172e-16,6.051676707430562e-4,0.9972051306630372,leaf,0.9281005133196085,0.3548043185870164,0.5833595832619678,0.9972051306630372,FALSE
met_per_mg_leaf_vanillic acid,6.8526670897647435,-1.1715751868190944,-0.18640635455456847,-1.0862601424022074,0.47701007206973667,0.8893646221065572,0.6402967150906694,1.6497926825220313e-16,-0.15640989190457816,0.36231445935919826,leaf,0.9281005133196085,0.9153694356184447,0.9006055937722675,0.7489722501497674,FALSE
met_per_mg_leaf_valine,5091.193912866475,-839.3922448876393,-2852.2444434763224,-28.32445431070812,0.2888173347991393,8.716521568342094e-5,0.9796271629756417,2.7779083193197185e-16,-0.4726886715241201,0.0036008098143146226,leaf,0.9281005133196085,6.462080427100229e-4,0.9948518747216186,0.1456845971615751,FALSE
met_per_mg_leaf_uridine,31.12899108004864,18.377186703574782,3.3015178694342824,-23.76393639580582,0.21820585494235586,0.7840497789210495,0.25929024150686875,1.7331671851252245e-16,-0.2257043183445715,0.18564005072362608,leaf,0.9281005133196085,0.8213854826791948,0.6036531831638293,0.5537737106331897,FALSE
met_per_mg_leaf_urea,125.93794769696409,-12.646227780839972,0.6311817841694646,-31.122983933403574,0.6189691642251058,0.9757010083785418,0.3886676174167564,1.4096007207549799e-16,-0.15849469796643295,0.3558710860687916,leaf,0.9281005133196085,0.9812764427121335,0.7355430179069798,0.7489722501497674,FALSE
met_per_mg_leaf_uracil,79.15887427042672,47.491994371491415,-27.880752543093266,-63.87740344818327,0.07913278656529095,0.20155070830595154,0.09420669256150269,1.0920603818919536e-16,-0.39130355490456614,0.018278230663734733,leaf,0.9281005133196085,0.28153114810990054,0.5833595832619678,0.22875438327663908,FALSE
