metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_per_mg_leaf_xylulose NIST,328.190802410602,76.95003793278856,30.938147773902603,-52.02246828277683,0.40995219504694247,0.7386054478304335,0.6917086460827746,0.08808717346176755,0.0804081841082339,0.7040833264144838,leaf,0.9517619613757811,0.8715828347871051,0.8695765836469166,0.9159978330983041,FALSE
met_per_mg_leaf_xylose,363.50062660324807,18.588046652382662,116.71267029679443,-88.05856246037499,0.7985545508424214,0.12003448922086803,0.3965422705347419,0.08808717346176755,0.12321362352333698,0.5596648754765046,leaf,0.9880920613432262,0.27269271716270693,0.7859319261461023,0.8789189982242088,FALSE
met_per_mg_leaf_xylonic acid isomer,72.21381033417659,-0.2241917347601756,-8.52062722329742,-18.464270534205863,0.9844868991305498,0.4629982687544911,0.2650800912581614,0.08808717346176759,0.15399835179753193,0.4649441999793672,leaf,0.9925128482489209,0.6679319286950036,0.7619770634454012,0.8417495348688726,FALSE
met_per_mg_leaf_xylonic acid,34.4357001009792,5.159642493056161,12.644205650134747,-5.147566191224637,0.45912780571822387,0.07916518571010064,0.6002326918890613,0.08808717346176756,0.1559792748471675,0.4591484112088994,leaf,0.9748726482473615,0.21591501956881584,0.8457885565513656,0.8417495348688726,FALSE
met_per_mg_leaf_xanthine,3.135698127967817,0.5840845304096635,0.5628401488692122,-2.2261491153393687,0.45974107843483525,0.47600896317879327,0.05569817693301293,0.08808717346176755,-0.004994593540445147,0.9812092924342888,leaf,0.9748726482473615,0.6702206201557409,0.7133000929778728,0.995761726330706,FALSE
met_per_mg_leaf_vanillic acid,6.341785918683061,-0.6606940157374105,-0.5701230581184593,-0.7025434388383156,0.6962393591542055,0.7360785076828731,0.7689186459288946,0.08808717346176752,-0.20419177973156044,0.33027338476480395,leaf,0.9880920613432262,0.8715828347871051,0.9269156279690783,0.7933100227793964,FALSE
met_per_mg_leaf_valine,5533.51895456945,-1281.7172865906127,-4139.243661099021,1258.6747633119912,0.18888310027151786,2.8083434642192786e-4,0.3561567600430784,0.08808717346176752,-0.7498071612915346,1.4856452993713498e-5,leaf,0.8654999291057169,0.004493349542750846,0.7859319261461023,0.0026147357268935757,FALSE
met_per_mg_leaf_uridine,42.539547665734865,6.966630117888585,-6.562912516661236,-13.899506009710283,0.727662767496063,0.7428262796481009,0.6237529221399432,0.08808717346176756,-0.2549240665955598,0.22126317089473546,leaf,0.9880920613432262,0.8715828347871051,0.8559407819867526,0.7211540384717303,FALSE
met_per_mg_leaf_urea,119.06681294820588,-5.77509303208169,13.01367471822448,-43.505476867458626,0.8474837253039961,0.6653280806887522,0.3117105647590679,0.08808717346176755,0.0547456994666109,0.796127612201985,leaf,0.9880920613432262,0.8364124442944313,0.7859319261461023,0.9167172084887183,FALSE
met_per_mg_leaf_uracil,79.46765962473822,47.183209017179934,-34.932449260792815,-56.82570673048368,0.16680315705043997,0.3007809342192228,0.23596050240037797,0.08808717346176755,-0.4020790206053293,0.047284092070376135,leaf,0.8654999291057169,0.4802454732588458,0.7619770634454012,0.43800001075716843,FALSE
met_per_mg_leaf_UDP-N-acetylglucosamine,2.854996606334302,0.36786331587661086,1.8036699806808358,-1.58220704778525,0.5700667666101824,0.010314467882179336,0.09434519560015987,0.08808717346176752,0.139790092961189,0.5076001365487971,leaf,0.9880920613432262,0.047772272296409554,0.7133000929778728,0.8590156156979644,FALSE
met_per_mg_leaf_tyrosine,1197.3562160976842,-5.328730919155769,-672.9361179482894,81.20642794160891,0.9812817003082044,0.0070732094066532376,0.8005621740668216,0.08808717346176752,-0.497242760010723,0.011715965482832111,leaf,0.9925128482489209,0.033972892505120623,0.9277025617179511,0.2265044911796926,FALSE
met_per_mg_leaf_tryptophan,228.75754704330254,59.5568199427882,-75.94632390521222,-62.77322791860632,0.38710154495349314,0.2728739383668467,0.5174248844188911,0.08808717346176759,-0.4336586757680243,0.031011975318144147,leaf,0.9455529069045595,0.4446834551163428,0.8110580475557024,0.3411317284995856,FALSE
met_per_mg_leaf_tocopherol alpha-,20.136217500162445,4.496363573935336,7.875793635148181,-9.773270964471802,0.367456490215364,0.12193816904731332,0.1717960565438467,0.08808717346176756,0.23115948353593285,0.268878071682335,leaf,0.9419643421488405,0.27269271716270693,0.7133000929778728,0.7664287846077723,FALSE
met_per_mg_leaf_thymine,3.273369884691617,0.23110713068213173,-0.019778127878689843,-0.8929186315781608,0.8214293588039072,0.9845790863193653,0.5391692702500976,0.08808717346176755,-0.1125457086419953,0.5943924964842128,leaf,0.9880920613432262,0.9902052525269046,0.8110580475557024,0.9018368912174263,FALSE
met_per_mg_leaf_threonine,778.254055998769,-137.02643030381205,-485.59560226840404,101.08259041830459,0.3601280835162749,0.0034221607844715776,0.6304659364073296,0.08808717346176749,-0.6217614201196863,9.175166911126192e-4,leaf,0.9419643421488405,0.020768975795413713,0.8559407819867526,0.05382764587860699,FALSE
met_per_mg_leaf_threonic acid,157.91824926374295,34.745351221296595,228.3321964387128,-85.34660824014861,0.6048934189968245,0.0025052638380067137,0.3720940013036097,0.08808717346176756,-0.2610632987472348,0.2099413861003006,leaf,0.9880920613432262,0.018371934812049233,0.7859319261461023,0.7105708452625559,FALSE
met_per_mg_leaf_tagatose,29.219820319916426,7.346782107455807,5.223339420149776,-6.787534244700448,0.16166447886338572,0.3138337341981323,0.35375760863396044,0.0880871734617675,0.15462539783579995,0.46310550712554666,leaf,0.8654999291057169,0.49316729659706504,0.7859319261461023,0.8417495348688726,FALSE
met_per_mg_leaf_sucrose,250.24327411289465,-83.7961047989065,3557.7598035601663,22.760670958072367,0.9730270472569991,0.16155891747539278,0.9948184401625921,0.08808717346176755,-0.031989018948088865,0.8800635575307669,leaf,0.9925128482489209,0.31668834187872713,0.9999570401200822,0.9430614103419596,FALSE
met_per_mg_leaf_succinic acid,414.71554948997846,71.67162150382792,-192.03674383448868,-70.38869820640042,0.3098443453711328,0.011256021668863171,0.4776801292443803,0.08808717346176755,-0.09738241268719168,0.6452605903929209,leaf,0.9419643421488405,0.048318532041949226,0.7992479365643992,0.9159978330983041,FALSE
met_per_mg_leaf_stigmasterol,3.9587836067982214,-0.12234225428555773,0.06378627893245672,-0.986928315658653,0.8798310488024209,0.9371598147029585,0.39277059905455325,0.08808717346176755,0.0015879613096006556,0.9940252950267545,leaf,0.9880920613432262,0.9873713925515384,0.7859319261461023,0.995761726330706,FALSE
met_per_mg_leaf_stearic acid,2970.393265974368,-463.1602576196978,-511.0887347545641,-164.64065449011423,0.37602544257397263,0.32967881887457773,0.822281816068184,0.08808717346176752,0.2052944079454889,0.32760983480903294,leaf,0.9454353984717027,0.5134820541763334,0.9277025617179511,0.7933100227793964,FALSE
met_per_mg_leaf_spermidine,11.480244251220212,-3.839633989499912,-6.697487478806549,4.79546677891512,0.33378935348954286,0.0994652222063555,0.39212362495042885,0.08808717346176755,-0.15236057408902354,0.46976442242976046,leaf,0.9419643421488405,0.2500839872616938,0.7859319261461023,0.8417495348688726,FALSE
met_per_mg_leaf_sinapinic acid,71.57230646879188,26.583387971084655,-21.989796418124985,-25.38349445265935,0.21412555083197224,0.3011645853485823,0.39657863833274654,0.08808717346176757,0.2200028319228389,0.293327439928531,leaf,0.8654999291057169,0.4802454732588458,0.7859319261461023,0.7664287846077723,FALSE
met_per_mg_leaf_shikimic acid,240.28267880903024,13.475661130361495,-83.48532912534826,-55.221439638437495,0.7327272602846149,0.0443727917975054,0.3276191286611566,0.08808717346176757,-0.2143514883528895,0.30622436819994275,leaf,0.9880920613432262,0.14462243252520277,0.7859319261461023,0.7664287846077723,FALSE
met_per_mg_leaf_serine,3304.842294585361,1295.148589937414,-1729.5212715147147,-1129.8924375509898,0.2565977922543566,0.13455266445410874,0.4795953175594424,0.08808717346176755,0.06841924522135594,0.7466700859184334,leaf,0.9032242287353351,0.28879596273077,0.7992479365643992,0.9159978330983041,FALSE
