Compound_id	PC	loading
methyl-β-D-galactoside	leaf_PC2	0.08970638595219266
L-isoleucine	leaf_PC2	-0.087062717400342507
L-lysine	leaf_PC2	-0.08621075096057342
L-phenylalanine	leaf_PC2	-0.08382007489227117
L-homoserine	leaf_PC2	-0.08341167865608802
L-tyrosine	leaf_PC2	-0.08245247827346629
L-glutamine	leaf_PC2	-0.081341481257109
glycine	leaf_PC2	-0.08123338965199353
L-valine	leaf_PC2	-0.07793503712925334
monodehydroascorbate radical	leaf_PC2	0.07757996951941107
putrescine	leaf_PC2	-0.07755996659265843
α-D-ribofuranose	leaf_PC2	-0.0764185225955964
isocitrate	leaf_PC2	0.07626420802102216
guanine	leaf_PC2	-0.07408887965061613
gentiobiose	leaf_PC2	-0.07371905886259097
citrate	leaf_PC2	0.07323350764586974
L-alanine	leaf_PC2	-0.0730301019550536
adenine	leaf_PC2	-0.07238878912630575
L-methionine	leaf_PC2	-0.07224958980979683
L-asparagine	leaf_PC2	-0.0699697397951133
0	leaf_PC2	-0.06972995550436654
L-aspartate	leaf_PC2	-0.06880555912872882
sinapate	leaf_PC2	0.0668905437297091
β-D-fructofuranose 6-phosphate	leaf_PC2	0.06684169347691223
α-D-glucose 6-phosphate	leaf_PC2	0.06659010638511272
uracil	leaf_PC2	-0.06623407226165452
L-ornithine	leaf_PC2	0.06525570259437993
N-acetyl-L-ornithine	leaf_PC2	-0.06523897789622717
L-threonine	leaf_PC2	-0.06364510151758514
2-phenylethylamine	leaf_PC2	-0.0631745018790001
NA	leaf_PC2	-0.06316435311598928
L-tryptophan	leaf_PC2	-0.06290263995627243
3-cyano-L-alanine	leaf_PC2	-0.06287506214794077
raffinose	leaf_PC2	0.0615061842927755
0	leaf_PC2	0.06083205618322951
L-methionine-(R)-S-oxide	leaf_PC2	-0.060403805594992914
nicotinamide	leaf_PC2	-0.06037456465494486
0	leaf_PC2	0.059702994727525445
3-cyano-L-alanine	leaf_PC2	-0.05963223698056788
sucrose	leaf_PC2	0.05800957601365476
0	leaf_PC2	-0.05799243031618607
0	leaf_PC2	0.05781809953981527
β-alanine	leaf_PC2	-0.0569217743773735
sn-glycerol 3-phosphate	leaf_PC2	0.05597402960077632
L-leucine	leaf_PC2	-0.05542872957587917
0	leaf_PC2	0.05470565959844424
0	leaf_PC2	-0.05413756505362264
(R)-glycerate	leaf_PC2	0.05355284761819964
phytol	leaf_PC2	0.05240417861501718
0	leaf_PC2	-0.052091117593692136
shikimate	leaf_PC2	-0.05168827562148289
fumarate	leaf_PC2	-0.05111741571268996
glycerol	leaf_PC2	-0.050895500664234976
0	leaf_PC2	-0.050405197204011286
