metabolite,beta,p.value.trt,p.value.leaf,FDR.trt,FDR.leaf
met_amt_root_pseudo uridine,-0.07980959405216467,0.04528161535343453,2.5810864986225423e-5,0.09056323070686906,5.1621729972450846e-5
met_amt_root_guanine,-0.05805454662051325,0.9920634780696953,1.957598109522646e-4,0.9954177943017288,3.915196219045292e-4
met_amt_root_shikimic acid,0.04843536998848837,0.0014932726341604168,0.006639075581892781,0.0029865452683208336,0.013278151163785562
met_amt_root_galactinol,0.042137770204893864,0.7723822483400219,0.0029270627621842734,0.8673119711610997,0.005854125524368547
met_amt_leaf_ribonic acid,-0.037900949984884726,0.8621186186532789,0.030824713045518985,0.9201156977198739,0.06164942609103797
met_amt_root_alpha-ketoglutarate,0.03440668608075605,0.45468781847885176,0.012604769378158928,0.6651325920844265,0.025209538756317856
met_amt_leaf_ferulic acid,0.03347209744817068,0.5910142212447747,0.0030712279598906003,0.7560335892545065,0.006142455919781201
met_amt_leaf_adenine,-0.0334093283747293,0.644469389000472,0.0011761330295148602,0.7896963036449638,0.0023522660590297203
met_amt_leaf_melibiose,-0.032743461757466986,0.5466786358552587,0.002564109622986078,0.7273729095780623,0.005128219245972156
met_amt_leaf_pseudo uridine,-0.029736646493440662,0.3844032413294941,0.004842261545856047,0.6142104022690353,0.009684523091712093
met_amt_leaf_asparagine,-0.02938607689936642,0.45146615862435047,0.019609071620742873,0.6628710068225302,0.039218143241485745
met_amt_leaf_pentitol,-0.02713256724265787,0.0688980262063122,0.04697443757803384,0.1377960524126244,0.09394887515606767
met_amt_leaf_alpha-ketoglutarate,0.02617168933186348,0.1355185711692886,0.0719569858811038,0.2710371423385772,0.1439139717622076
met_amt_leaf_n-acetyl-d-hexosamine,0.025457663695519946,0.2922190510598594,0.03210275753616047,0.5408991584458852,0.06420551507232095
met_amt_leaf_valine,-0.025181683654286486,0.0774221217778755,0.0013677293608501725,0.154844243555751,0.002735458721700345
met_amt_leaf_xylonic acid isomer,0.024249719068362735,0.06090043560171324,0.03657622076582514,0.12180087120342648,0.07315244153165028
met_amt_root_gluconic acid,-0.02143790247004207,0.03489402563518242,0.014862624761812403,0.06978805127036485,0.029725249523624805
met_amt_leaf_dehydroascorbic acid,0.021301694705501653,0.10441474980204729,0.007444971105847784,0.20882949960409458,0.014889942211695569
met_amt_leaf_glyceric acid,0.020164510432767256,0.14715000423241634,0.02706313271502801,0.2943000084648327,0.05412626543005602
met_amt_leaf_hypoxanthine,-0.01989894532321935,0.9924338247226747,0.030885721461709852,0.9956316210702858,0.061771442923419705
met_amt_leaf_ribose,-0.019584391480356435,0.5496323125528997,9.814948877788312e-4,0.7293059565612463,0.0019629897755576624
met_amt_leaf_pyrrole-2-carboxylic acid,-0.014917579376054868,0.19122165989890322,0.003328255168946669,0.38244331979780644,0.006656510337893338
met_amt_leaf_threonic acid,-0.01441330786012894,0.7829479420648628,0.024417001544557143,0.873583778190756,0.048834003089114286
met_amt_leaf_isoleucine,-0.014314390800249535,0.07202646927231285,0.00331312766810955,0.1440529385446257,0.0066262553362191
met_amt_root_melezitose,-0.014236007657094794,0.005984374454009956,0.08548582328929556,0.011968748908019912,0.17097164657859112
met_amt_root_cyano-l-alanine,-0.012753124469244643,7.507148001122859e-4,0.00723504289334314,0.0015014296002245717,0.01447008578668628
"met_amt_leaf_3,4-dihydroxycinnamic acid",0.01249303828287045,0.42817046045429086,0.015546440354118257,0.6463235636524824,0.031092880708236514
met_amt_leaf_leucine,-0.009819834788344596,0.5149709700089711,0.0019015694508858587,0.7063863986525187,0.0038031389017717174
met_amt_root_ornithine,0.005918865925084106,0.004802443967804464,0.08105494424442575,0.009604887935608928,0.1621098884888515
met_amt_leaf_xylose,0.005905791050766536,0.782397422759626,0.1688079803140651,0.8732574052830036,0.3376159606281302
met_amt_leaf_phenylalanine,-0.005538769303396709,0.9140363828207737,0.015122150304197538,0.9503017767425173,0.030244300608395076
met_amt_leaf_homoserine,-0.004098318410556446,0.08568897419821589,0.010722290986472892,0.17137794839643178,0.021444581972945784
met_amt_leaf_guanine,-0.0032618262927699526,0.44177896665972016,0.005789370446975295,0.656032161315131,0.01157874089395059
met_amt_leaf_3-hydroxypropionic acid,0.0022024835943829516,0.7974697196170719,0.10293288591558403,0.8821771572119983,0.20586577183116805
met_amt_root_leucine,-0.0021722663236108503,0.8628792896766286,0.009841377731755245,0.9205594819793997,0.01968275546351049
"met_amt_leaf_2,5-dihydroxypyrazine NIST",-0.0018204987314400832,0.4333682458009541,0.047076590245831725,0.6500461335725854,0.09415318049166345
met_amt_leaf_aminomalonate,-0.001570449581691674,0.23984551585957578,0.06843970377882776,0.47969103171915156,0.1368794075576555
met_amt_leaf_gluconic acid lactone,-0.0012046411261649786,0.36127447171207916,0.013623523437190501,0.5966202032476982,0.027247046874381002
met_amt_leaf_tryptophan,-0.0011959703712819845,0.3869031293300401,0.027803471115563458,0.6160843023012176,0.055606942231126916
met_amt_root_xanthine,-9.054856986220612e-4,0.214000280381063,0.02115614502413152,0.428000560762126,0.04231229004826304
met_amt_root_beta-gentiobiose,-1.1555517420730861e-4,0.18338709380896398,0.008279703983628641,0.36677418761792796,0.016559407967257283
