metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_amt_leaf_xylulose NIST,24241.833333333347,4209.500000000001,5037.166666666675,-881.6666666666766,0.45181528890886424,0.369418611202986,0.9106473396676882,0.08808717346176755,0.16841393845555297,0.42364178377518136,leaf,0.9751625897404994,0.5243360933203672,0.969456511353493,0.7456095394443192,FALSE
met_amt_leaf_xylose,27728.666666666686,-451.66666666667123,11408.33333333334,-3130.8333333333385,0.9163314773390072,0.0141667696754716,0.6077617987327066,0.08808717346176752,0.21396537235317778,0.3071180769031937,leaf,0.9818554955053371,0.04866334890843811,0.8764169507493572,0.6512383317465312,FALSE
met_amt_leaf_xylonic acid isomer,5500.833333333336,-371.6666666666673,-249.4999999999992,-940.8333333333338,0.6250569841296969,0.7424498682603677,0.3848584641320374,0.08808717346176755,0.23978478984004262,0.2508959390687564,leaf,0.9751625897404994,0.8376357488065688,0.8588094552981795,0.5844533748797788,FALSE
met_amt_leaf_xylonic acid,2608.000000000002,221.49999999999972,1228.0000000000002,32.33333333333307,0.5829863941963535,0.005722392396731808,0.9546354371783707,0.08808717346176752,0.3234735238483242,0.11654869536369375,leaf,0.9751625897404994,0.027191954755248125,0.9825487540549313,0.48136017108501317,FALSE
met_amt_leaf_xanthine,237.50000000000003,26.50000000000003,70.00000000000016,-151.1666666666668,0.6575452078599868,0.24848216249440636,0.08452627849412399,0.08808717346176756,0.08189045874242173,0.6988745554867014,leaf,0.9751625897404994,0.40121890457812404,0.8588094552981795,0.890934875963949,FALSE
met_amt_leaf_vanillic acid,489.33333333333326,-90.16666666666666,0.5000000000000916,-10.833333333333401,0.5022054206132163,0.9970139224957655,0.9542782168347606,0.08808717346176755,-0.1537820202947911,0.4655794254736474,leaf,0.9751625897404994,0.9972532544660468,0.9825487540549313,0.77303753663549,FALSE
met_amt_leaf_valine,426976.5000000001,-129282.1666666667,-314084.66666666657,140597.83333333323,0.049284174503428015,5.651087132578057e-5,0.1231442398612348,0.08808717346176745,-0.7136062012963006,5.9978284622501356e-5,leaf,0.9751625897404994,0.0012432391691671726,0.8588094552981795,0.010556178093560239,FALSE
met_amt_leaf_uridine,3286.3333333333335,21.16666666666667,-318.83333333333405,-810.4999999999998,0.9870127522969226,0.8064520201449004,0.660187677552721,0.08808717346176756,-0.2308564238537515,0.26952447123591117,leaf,0.9926528251671909,0.8926764499717136,0.9077580566349914,0.6081577812502611,FALSE
met_amt_leaf_urea,9122.16666666667,-694.8333333333348,1882.3333333333371,-2909.1666666666683,0.7869731676357758,0.4667145014608367,0.42697669084812384,0.08808717346176755,0.07158683082467682,0.735342347185945,leaf,0.9818554955053371,0.6084574241267205,0.8588094552981795,0.8988997362186872,FALSE
met_amt_leaf_uracil,6074.166666666666,2494.666666666668,-2420.1666666666642,-2844.8333333333353,0.2633667638790867,0.27744937492495364,0.3644712289865032,0.08808717346176763,-0.40547985048897606,0.045264473976812755,leaf,0.9751625897404994,0.4321335397061225,0.8588094552981795,0.36211579181450204,FALSE
met_amt_leaf_UDP-N-acetylglucosamine,219.83333333333337,15.666666666666712,168.1666666666667,-97.66666666666674,0.7837465166944645,0.007306272935278181,0.23438116119142646,0.0880871734617675,0.19338047544046938,0.3570754599749836,leaf,0.9818554955053371,0.032147600915224,0.8588094552981795,0.6982808995066345,FALSE
met_amt_leaf_tyrosine,91786.16666666669,-8015.999999999994,-50380.16666666664,22015.99999999997,0.6448357970606652,0.00807049739675925,0.3742187145543475,0.08808717346176752,-0.4843112378113871,0.014493325074084438,leaf,0.9751625897404994,0.03427793418804338,0.8588094552981795,0.19621732407991238,FALSE
met_amt_leaf_tryptophan,17308.33333333334,3028.8333333333326,-5404.500000000003,-1222.8333333333294,0.5619253967405647,0.3051563114323668,0.867976764255713,0.08808717346176752,-0.4061049956987388,0.0449006922364817,leaf,0.9751625897404994,0.4629957828629014,0.9488441646522081,0.36211579181450204,FALSE
met_amt_leaf_tocopherol alpha-,1554.3333333333328,236.8333333333332,831.1666666666665,-631.3333333333331,0.6048635479629569,0.07989657031744496,0.3335444363470448,0.08808717346176753,0.27670997807474795,0.18287087980025069,leaf,0.9751625897404994,0.16350926018453854,0.8588094552981795,0.5833339206571589,FALSE
met_amt_leaf_thymine,256.1666666666667,-9.16666666666663,14.666666666666835,-22.666666666666785,0.9182102024037988,0.8695208586180809,0.857545630143112,0.08808717346176753,-0.06237857569883521,0.7684122916576979,leaf,0.9818554955053371,0.9274889158592863,0.9488441646522081,0.9200038321888083,FALSE
met_amt_leaf_threonine,59956.83333333334,-15224.166666666668,-36499.333333333336,14597.166666666662,0.13909959718618192,0.0014391328629580452,0.3087283988785422,0.08808717346176752,-0.6276268692111158,7.916188554617859e-4,leaf,0.9751625897404994,0.009045977995736284,0.8588094552981795,0.04644163952042477,FALSE
met_amt_leaf_threonic acid,12089.666666666673,1346.6666666666622,19134.666666666668,-2141.833333333331,0.8072520178533317,0.0021890581304338467,0.7838353359950364,0.08808717346176756,-0.24589735839154575,0.23863660390520136,leaf,0.9818554955053371,0.012625159648424028,0.9136093982458702,0.5833339206571589,FALSE
met_amt_leaf_tagatose,2232.5000000000005,403.4999999999999,608.0000000000007,-157.1666666666672,0.2851362158914669,0.11355797428490538,0.765403577302054,0.08808717346176752,0.2675012564041582,0.19849462608510662,leaf,0.9751625897404994,0.21038108920150891,0.9136093982458702,0.5833339206571589,FALSE
met_amt_leaf_sucrose,16748.333333333376,-3476.1666666667265,297568.1666666666,4720.666666666734,0.9859446968537383,0.14242366856813077,0.9865032299826961,0.08808717346176755,-0.0023881698727628332,0.9910146085706086,leaf,0.9926528251671909,0.25319763301001025,0.9883145821777743,0.9992755775898224,FALSE
met_amt_leaf_succinic acid,31696.66666666667,2330.8333333333317,-13694.833333333328,-967.0000000000015,0.5697603720909903,0.002870024249678548,0.8670735114866742,0.08808717346176753,-0.04382469470400065,0.8361938494783457,leaf,0.9751625897404994,0.015306795998285588,0.9488441646522081,0.9682244572907162,FALSE
met_amt_leaf_stigmasterol,306.3333333333334,-22.166666666666725,33.16666666666675,-63.50000000000005,0.7540373003843215,0.6397282849583446,0.5272393365405473,0.08808717346176755,0.08052733343234732,0.7036641499375584,leaf,0.9818554955053371,0.7456435639249579,0.8764169507493572,0.890934875963949,FALSE
met_amt_leaf_stearic acid,223903.66666666674,-40776.16666666667,-14998.999999999882,-8359.166666666788,0.3447063979938896,0.7255753140692562,0.8898348316605342,0.08808717346176757,0.26933386753823657,0.19531538661202494,leaf,0.9751625897404994,0.8303372538420121,0.9608032538175093,0.5833339206571589,FALSE
met_amt_leaf_spermidine,942.3333333333336,-370.3333333333334,-550.3333333333334,424.1666666666665,0.26479972924358114,0.10369204800630988,0.3638714419991288,0.08808717346176755,-0.15649410980441747,0.4576482950118911,leaf,0.9751625897404994,0.19836739618598412,0.8588094552981795,0.7682678497482236,FALSE
met_amt_leaf_sinapinic acid,5638.166666666669,1200,-1276.6666666666658,-1335.5000000000011,0.4815668360606604,0.45438109981439523,0.5787766944716665,0.08808717346176756,0.25944152071851634,0.21289353852909276,leaf,0.9751625897404994,0.5967990564726385,0.8764169507493572,0.5833339206571589,FALSE
met_amt_leaf_shikimic acid,18494.500000000007,-650.3333333333362,-5835.666666666666,-1937.833333333332,0.7938498834369936,0.02758233595281833,0.5830374737013249,0.08808717346176759,-0.2169594552637254,0.30022996967921867,leaf,0.9818554955053371,0.08369812289131079,0.8764169507493572,0.6443960324822254,FALSE
