metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_per_mg_leaf_xylulose NIST,328.190802410602,76.95003793278866,30.93814777390265,-52.022468282776934,0.4099521950469418,0.7386054478304329,0.6917086460827739,0.08808717346176752,0.08040818410823387,0.7040833264144838,leaf,0.9517619613757811,0.8715828347871054,0.8695765836469158,0.9159978330983042,FALSE
met_per_mg_leaf_xylose,363.500626603248,18.58804665238259,116.71267029679446,-88.0585624603748,0.7985545508424221,0.12003448922086762,0.39654227053474245,0.08808717346176756,0.12321362352333698,0.5596648754765046,leaf,0.9880920613432259,0.2726927171627061,0.7859319261461025,0.8789189982242096,FALSE
met_per_mg_leaf_xylonic acid isomer,72.2138103341766,-0.2241917347601831,-8.520627223297437,-18.464270534205845,0.9844868991305493,0.46299826875449013,0.2650800912581615,0.08808717346176755,0.153998351797532,0.464944199979367,leaf,0.99251284824892,0.6679319286950022,0.7619770634454016,0.8417495348688719,FALSE
met_per_mg_leaf_xylonic acid,34.435700100979204,5.159642493056163,12.64420565013475,-5.147566191224639,0.4591278057182234,0.07916518571010048,0.6002326918890611,0.08808717346176755,0.15597927484716745,0.4591484112088996,leaf,0.9748726482473634,0.21591501956881495,0.8457885565513656,0.8417495348688719,FALSE
met_per_mg_leaf_xanthine,3.1356981279678173,0.5840845304096624,0.562840148869212,-2.2261491153393678,0.45974107843483614,0.4760089631787935,0.055698176933013016,0.08808717346176755,-0.004994593540445182,0.9812092924342886,leaf,0.9748726482473634,0.6702206201557412,0.7133000929778727,0.9957617263307064,FALSE
met_per_mg_leaf_vanillic acid,6.341785918683062,-0.6606940157374115,-0.57012305811846,-0.7025434388383146,0.6962393591542051,0.7360785076828729,0.7689186459288949,0.08808717346176752,-0.20419177973156044,0.33027338476480383,leaf,0.9880920613432259,0.8715828347871054,0.9269156279690788,0.7933100227793962,FALSE
met_per_mg_leaf_valine,5533.518954569451,-1281.7172865906132,-4139.243661099021,1258.6747633119908,0.1888831002715175,2.8083434642192656e-4,0.3561567600430783,0.08808717346176752,-0.7498071612915345,1.4856452993713498e-5,leaf,0.8654999291057155,0.004493349542750825,0.7859319261461025,0.0026147357268935757,FALSE
met_per_mg_leaf_uridine,42.539547665734865,6.966630117888587,-6.562912516661228,-13.899506009710295,0.7276627674960627,0.7428262796481012,0.6237529221399429,0.08808717346176759,-0.25492406659555983,0.22126317089473546,leaf,0.9880920613432259,0.8715828347871054,0.8559407819867519,0.7211540384717303,FALSE
met_per_mg_leaf_urea,119.06681294820591,-5.7750930320817355,13.013674718224458,-43.50547686745857,0.8474837253039949,0.6653280806887526,0.31171056475906833,0.08808717346176755,0.0547456994666109,0.7961276122019849,leaf,0.9880920613432259,0.8364124442944318,0.7859319261461025,0.9167172084887183,FALSE
met_per_mg_leaf_uracil,79.46765962473822,47.18320901717995,-34.93244926079284,-56.82570673048366,0.16680315705043966,0.30078093421922236,0.23596050240037814,0.0880871734617675,-0.40207902060532946,0.04728409207037608,leaf,0.8654999291057155,0.48024547325884565,0.7619770634454016,0.43800001075716793,FALSE
met_per_mg_leaf_UDP-N-acetylglucosamine,2.854996606334302,0.36786331587661025,1.8036699806808352,-1.5822070477852486,0.5700667666101829,0.01031446788217934,0.09434519560016,0.08808717346176752,0.13979009296118905,0.5076001365487968,leaf,0.9880920613432259,0.04777227229640958,0.7133000929778727,0.8590156156979637,FALSE
met_per_mg_leaf_tyrosine,1197.3562160976842,-5.328730919155839,-672.9361179482893,81.20642794160892,0.9812817003082042,0.0070732094066532376,0.8005621740668215,0.08808717346176755,-0.497242760010723,0.011715965482832099,leaf,0.99251284824892,0.03397289250512038,0.9277025617179522,0.2265044911796924,FALSE
