sampleID,fullname,exp,pot,soil,tissue,genotype,autoclave,leaf_avg,group,leaf_avg_std,leaf_avg_resid
wyo_leaf_FPsc_02_052,wyo_leaf_FPsc_02_052,exp1,52,5E,leaf,FPsc,live,2.9349348937,exp1_FPsc,0.10331939555120742,0.042857334449992054
wyo_leaf_R500_02_055,wyo_leaf_R500_02_055,exp1,55,5E,leaf,R500,live,3.7495307172,exp1_R500,-0.3439669564930542,-0.1862608060888932
wyo_leaf_R500_02_059,wyo_leaf_R500_02_059,exp1,59,5E,leaf,R500,dead,3.3661973838,exp1_R500,-1.051866824321452,-0.5695941394888886
wyo_leaf_FPsc_02_064,wyo_leaf_FPsc_02_064,exp1,64,5E,leaf,FPsc,dead,2.5349348937,exp1_FPsc,-0.8609906519786644,-0.3571426655499998
wyo_leaf_FPsc_02_065,wyo_leaf_FPsc_02_065,exp1,65,BLANK,leaf,FPsc,"NA",2.8516015604,exp1_FPsc,-0.09757853093715711,-0.040475998850000035
wyo_leaf_R500_02_082,wyo_leaf_R500_02_082,exp1,82,BLANK,leaf,R500,"NA",4.0613321093,exp1_R500,0.23183521103193871,0.1255405860111117
wyo_leaf_FPsc_04_141,wyo_leaf_FPsc_04_141,exp1,141,5E,leaf,FPsc,dead,1.8828640505,exp1_FPsc,-2.432986816476254,-1.0092135087499998
wyo_leaf_R500_04_153,wyo_leaf_R500_04_153,exp1,153,BLANK,leaf,R500,"NA",3.6516015604,exp1_R500,-0.5248122707796888,-0.28418996288888865
wyo_leaf_R500_04_154,wyo_leaf_R500_04_154,exp1,154,5E,leaf,R500,dead,3.5828640505,exp1_R500,-0.6517495077308213,-0.3529274727888887
wyo_leaf_R500_04_162,wyo_leaf_R500_04_162,exp1,162,5E,leaf,R500,live,3.8016015604,exp1_R500,-0.24780797472109933,-0.13418996288888868
wyo_leaf_FPsc_04_170,wyo_leaf_FPsc_04_170,exp1,170,BLANK,leaf,FPsc,"NA",2.868268227,exp1_FPsc,-0.057398945784129865,-0.023809332249999655
wyo_leaf_FPsc_04_174,wyo_leaf_FPsc_04_174,exp1,174,5E,leaf,FPsc,live,3.1946654427,exp1_FPsc,0.7294713406790817,0.30258788345000004
wyo_leaf_FPsc_05_178,wyo_leaf_FPsc_05_178,exp1,178,BLANK,leaf,FPsc,"NA",2.8516015604,exp1_FPsc,-0.09757853093715711,-0.040475998850000035
wyo_leaf_R500_05_179,wyo_leaf_R500_05_179,exp1,179,5E,leaf,R500,dead,3.718268227,exp1_R500,-0.401699250432318,-0.2175232962888888
wyo_leaf_FPsc_05_181,wyo_leaf_FPsc_05_181,exp1,181,5E,leaf,FPsc,dead,2.3613321093,exp1_FPsc,-1.2795079251688695,-0.5307454499499997
wyo_leaf_R500_05_202,wyo_leaf_R500_05_202,exp1,202,BLANK,leaf,R500,"NA",3.4016015604,exp1_R500,-0.9864860975440051,-0.5341899628888885
