pot,soil,genotype,trt,leaf_avg,leaf_avg_std
4,BLANK,R500,BLANK,3.4398001682,-0.9339330600828474
5,5E,R500,live,3.2495307172,-1.2540994755502781
10,BLANK,FPsc,BLANK,2.8516015604,-0.1951769860432186
13,5E,FPsc,dead,2.9516015604,-0.0028314477155891764
16,5E,FPsc,live,2.0564668348,-1.7245831544284556
38,5E,R500,dead,3.5995307172,-0.6651544566591445
107,BLANK,R500,BLANK,2.9328640505,-1.7869544926983454
115,5E,FPsc,live,3.3328640505,0.7305099413085803
117,5E,FPsc,dead,2.3995307172,-1.0647150830185106
120,5E,R500,dead,3.6828640505,-0.5249294522173454
126,BLANK,FPsc,BLANK,2.5231335015,-0.8269706421687378
130,5E,R500,live,4.1161973838,0.20424057111558727
231,5E,FPsc,dead,2.8328640505,-0.231217750329566
238,5E,R500,dead,4.527998776,0.8971787959973689
242,5E,FPsc,live,3.5161973838,1.0831434281784516
250,BLANK,FPsc,BLANK,3.1516015604,0.3818596289396697
254,5E,R500,live,4.718268227,1.2173452114648002
257,BLANK,R500,BLANK,4.6849348937,1.161255209721735
311,5E,R500,dead,3.4328640505,-0.9456044657110121
326,5E,FPsc,dead,2.5446654427,-0.785554913955209
327,5E,FPsc,live,3.2613321093,0.5929214439312371
330,BLANK,FPsc,BLANK,2.3613321093,-1.138188401017426
331,BLANK,R500,BLANK,3.3446654427,-1.0940162678165624
339,5E,R500,live,4.568268227,0.9649402033685996
356,BLANK,R500,BLANK,4.1495307172,0.26033057302692264
364,5E,FPsc,live,3.9516015604,1.9206239355607033
369,5E,R500,dead,4.7828640505,1.3260406071547874
373,BLANK,FPsc,BLANK,3.618268227,1.2794721410070427
383,5E,FPsc,dead,2.5328640505,-0.8082543653124534
385,5E,R500,live,3.6995307172,-0.4968844512616777
444,BLANK,R500,BLANK,4.7828640505,1.3260406071547874
453,5E,FPsc,dead,3.6349348937,1.3115297307924292
455,BLANK,FPsc,BLANK,2.668268227,-0.5478104731054355
461,5E,R500,live,3.9995307172,0.00792556493072203
463,5E,R500,dead,4.1946654427,0.3362787780619038
473,5E,FPsc,live,2.9661973838,0.025242967376491086
