name,AGI,At_symbol,At_full_name,At_short_description,leaf_tissue.root.yellowgreen.Dead,root_tissue.leaf.lightsteelblue1.Live,root_tissue.leaf.midnightblue.Live,root_tissue.leaf.thistle2.Dead,root_tissue.leaf.red.Dead,root_tissue.root.plum1.Dead,root_tissue.root.yellowgreen.Dead
BraA01g000010.3C,AT1G43860,NA,NA,sequence-specific DNA binding transcription factors,0,0,0,0,0,0,0
BraA01g000020.3C,AT4G38360,LAZ1,LAZARUS 1,Protein of unknown function (DUF300),0,0,0,0,0,0,0
BraA01g000030.3C,AT4G38250,At4g38250,NA,Transmembrane amino acid transporter family protein,0,0,0,0,0,0,0
BraA01g000040.3C,AT4G38220,AQI,aquaporin interactor,Peptidase M20/M25/M40 family protein,0,0,0,0,0,0,0
BraA01g000050.3C,AT4G38210,ATEXP20,NA,NA,0,0,0,0,0,0,0
BraA01g000060.3C,AT4G38190,ATCSLD4,ARABIDOPSIS THALIANA CELLULOSE SYNTHASE-LIKE D4,NA,0,0,0,0,0,0,0
BraA01g000070.3C,AT4G38400,ATEXLA2,expansin-like A2,NA,0,0,0,0,0,0,0
BraA01g000080.3C,AT4G38460,AtSSU,NA,geranylgeranyl reductase,0,0,0,0,0,0,0
BraA01g000090.3C,AT4G38470,STY46,serine/threonine/tyrosine kinase 46,ACT-like protein tyrosine kinase family protein,0,0,0,0,0,0,0
BraA01g000100.3C,AT4G38495,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000110.3C,AT4G38700,NA,NA,Disease resistance-responsive (dirigent-like protein) family protein,0,0,0,0,0,0,0
BraA01g000120.3C,AT4G38770,ATPRP4,ARABIDOPSIS THALIANA PROLINE-RICH PROTEIN 4,proline-rich protein 4,0,0,0,0,0,0,0
BraA01g000130.3C,AT4G38840,SAUR14,SMALL AUXIN UPREGULATED RNA 14,SAUR-like auxin-responsive protein family,0,0,0,0,0,0,0
BraA01g000150.3C,AT4G38860,SAUR16,SMALL AUXIN UPREGULATED RNA 16,SAUR-like auxin-responsive protein family,0,0,0,0,0,0,0
BraA01g000160.3C,AT4G38880,ASE3,GLN phosphoribosyl pyrophosphate amidotransferase 3,GLN phosphoribosyl pyrophosphate amidotransferase 3,0,0,0,0,0,0,0
BraA01g000170.3C,AT4G38890,NA,NA,FMN-linked oxidoreductases superfamily protein,0,0,0,0,0,0,0
BraA01g000180.3C,AT4G38910,ATBPC5,NA,basic pentacysteine 5,0,0,0,0,0,0,0
BraA01g000190.3C,AT4G38950,NA,NA,ATP binding microtubule motor family protein,0,0,0,0,0,0,0
BraA01g000200.3C,AT4G38970,AtFBA2,NA,fructose-bisphosphate aldolase 2,0,0,0,0,0,0,0
BraA01g000210.3C,AT5G23040,CDF1,CELL GROWTH DEFECT FACTOR 1,Protein of unknown function (DUF3353),0,0,0,0,0,0,0
BraA01g000220.3C,AT4G39000,AtGH9B17,glycosyl hydrolase 9B17,NA,0,0,0,0,0,0,0
BraA01g000230.3C,AT4G39010,AtGH9B18,glycosyl hydrolase 9B18,NA,0,0,0,0,0,0,0
BraA01g000240.3C,AT4G39030,EDS5,ENHANCED DISEASE SUSCEPTIBILITY 5,NA,0,0,0,0,0,0,0
BraA01g000250.3C,AT4G39070,BBX20,B-box domain protein 20,NA,0,0,0,0,0,0,0
BraA01g000260.3C,AT4G39080,VHA-A3,vacuolar proton ATPase A3,NA,0,1,0,0,0,0,0
BraA01g000270.3C,AT4G39090,RD19,RESPONSIVE TO DEHYDRATION 19,NA,0,0,0,0,0,0,0
BraA01g000290.3C,AT4G39110,BUPS1,Buddhas Paper Seal 1,NA,0,0,0,0,0,0,0
BraA01g000300.3C,AT4G39130,NA,NA,NA,0,0,0,0,0,0,0
BraA01g000310.3C,AT4G39140,NA,NA,RING/U-box superfamily protein,0,0,0,0,0,0,0
BraA01g000320.3C,AT4G39150,NA,NA,DNAJ heat shock N-terminal domain-containing protein,0,0,0,0,0,0,0
BraA01g000330.3C,AT4G39200,NA,NA,Ribosomal protein S25 family protein,0,0,0,0,0,0,0
BraA01g000340.3C,AT4G39250,ATRL1,RAD-like 1,NA,0,0,0,0,0,0,0
BraA01g000350.3C,AT4G39260,ATGRP8,GLYCINE-RICH PROTEIN 8,"cold, circadian rhythm, and RNA binding 1",0,0,0,0,0,0,0
BraA01g000360.3C,AT4G39300,NA,NA,NA,0,0,0,0,0,0,0
