target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2179.84	1177	66.0806
AT1G36960.1	546	334.675	0	0
AT1G44020.1	2314	2099.84	20	1.16564
AT1G15970.1	1658	1443.84	162	13.7315
AT1G73440.1	1453	1238.84	64	6.32247
AT1G75120.1	1520	1305.84	17	1.59324
AT1G17600.1	3332	3117.84	9	0.353273
AT1G50860.1	3846	3631.84	0	0
AT1G51380.1	1452	1237.84	68	6.72305
AT1G77370.1	620	407.233	466	140.044
AT1G44090.1	1158	943.842	0	0
AT1G10950.1	2245	2030.84	1293	77.9193
AT1G31870.1	2134	1919.84	190	12.1119
AT1G51360.1	717	503.258	76	18.4818
AT1G14940.1	757	543.103	0	0
AT1G50950.1	1782	1567.84	41	3.2004
AT1G75110.1	1568	1353.84	19	1.71755
AT1G17400.1	1477	1262.84	8	0.775289
AT1G50930.1	790	576.047	19	4.03662
AT1G17390.1	1024	809.842	0	0
AT1G09400.1	1182	967.842	3	0.379349
AT1G09415.1	655	442.02	48	13.2899
AT1G74730.1	891	676.985	52	9.40041
AT1G75100.1	2279	2064.84	25	1.48175
AT1G75240.1	1608	1393.84	2	0.175606
AT1G14920.1	2129	1914.84	300	19.1739
AT1G65510.1	480	271.108	284	128.203
AT1G75250.1	381	180.986	1	0.676205
AT1G54410.1	728	514.258	12501	2974.99
AT1G09410.1	2118	1903.84	13	0.83567
AT1G54420.1	363	165.469	0	0
AT1G54430.1	4920	4705.84	0	0
AT1G75090.1	1303	1088.84	43	4.8331
AT1G36950.1	681	467.793	12	3.13943
AT1G50940.1	1389	1174.84	186	19.3756
AT1G14930.1	719	505.258	0	0
AT1G65970.1	737	523.103	435.788	101.956
AT1G17410.1	795	581.047	67	14.1119
AT1G31880.1	1574	1359.84	26.057	2.34508
AT1G77320.1	3383	3168.84	111	4.28692
AT1G77500.1	3158	2943.84	333	13.8437
AT1G51320.1	1128	913.842	0	0
AT1G43990.1	3294	3079.84	0	0
AT1G74770.1	3904	3689.84	446	14.7928
AT1G75080.1	1563	1348.84	212	19.2352
AT1G14890.1	944	729.915	282	47.2824
AT1G51330.1	582	369.891	0	0
AT1G80350.1	1932	1717.84	312	22.2277
AT1G14900.1	1025	810.842	618	93.277
AT1G15960.1	2137	1922.84	24.3663	1.55084
AT1G14980.1	690	476.604	1288	330.735
AT1G14910.1	2413	2198.84	413	22.9868
AT1G44100.1	2151	1936.84	378	23.8847
AT1G42450.1	3260	3045.84	0	0
AT1G15000.1	1471	1256.84	196	19.0853
AT1G31850.1	2324	2109.84	1429	82.8905
AT1G79210.1	1061	846.842	435	62.8651
AT1G67160.1	1353	1138.84	1	0.107463
AT1G42350.1	7480	7265.84	20	0.336873
AT1G20960.1	7013	6798.84	1849	33.2832
AT1G74780.1	1976	1761.84	114	7.91882
AT1G65620.1	1381	1166.84	4	0.419537
AT1G12680.1	1933	1718.84	235	16.7323
AT1G74790.1	2458	2243.84	399	21.7622
AT1G77510.1	1798	1583.84	730	56.4071
AT1G43980.1	1866	1651.84	7	0.518623
AT1G77300.1	5791	5576.84	567	12.4428
AT1G80340.1	1083	868.842	139	19.5793
AT1G65985.1	1456	1241.84	304	29.9592
AT1G43995.1	494	284.239	0	0
AT1G51340.2	1870	1655.84	51	3.76941
AT1G31860.1	1065	850.842	232	33.3704
AT1G73450.1	3721	3506.84	142.564	4.97528
AT1G21070.1	1663	1448.84	76	6.41971
AT1G51350.1	2441	2226.84	197	10.8268
AT1G14950.1	845	630.985	0	0
AT1G09440.1	1593	1378.84	88	7.81071
AT1G09390.1	1341	1126.84	119	12.9243
AT1G22840.1	730	516.207	1558	369.374
AT1G09430.1	1838	1623.84	899	67.7545
AT1G44010.1	778	564.047	0	0
AT1G80360.1	1492	1277.84	982	94.0496
AT1G73445.1	735	521.155	5	1.17416
AT1G74720.1	3757	3542.84	298	10.2941
AT1G65980.1	890	675.985	2552	462.026
AT1G44000.1	1108	893.842	125	17.1148
AT1G65940.1	450	243.135	0	0
AT1G75260.1	1633	1418.84	30	2.58768
AT1G31900.1	258	82.9129	13	19.1886
AT1G14970.1	1825	1610.84	94	7.14163
AT1G42320.1	4574	4359.84	0	0
AT1G14960.1	688	474.604	264	68.0761
AT1G12670.1	305	118.178	0	0
AT1G73460.1	3703	3488.84	393.436	13.8011
AT1G09450.1	2096	1881.84	40	2.60135
AT1G51355.1	750	536.103	43	9.81619
AT1G36750.1	1078	863.842	0	0
AT1G12660.1	414	210.08	0	0
AT1G75130.1	1660	1445.84	204	17.2676
AT1G21120.1	1358	1143.84	613.041	65.5913
AT1G09740.1	843	628.985	1267	246.524
AT1G21110.1	1385	1170.84	1531.44	160.075
AT1G50900.1	793	579.047	82.141	17.3608
AT1G37000.1	660	447.02	2	0.547552
AT1G77330.1	1239	1024.84	1407	168.02
AT1G80400.1	1747	1532.84	147	11.7366
AT1G74740.1	2047	1832.84	413	27.577
AT1G17370.1	1772	1557.84	521	40.9295
AT1G09750.1	1578	1363.84	422	37.8679
AT1G75220.1	1944	1729.84	837	59.2163
AT1G65560.1	1399	1184.84	78	8.05669
AT1G65570.1	1194	979.842	169	21.1083
AT1G49660.1	1103	888.842	633	87.1569
AT1G36680.1	1123	908.842	2	0.269317
AT1G21100.1	1384	1169.84	602.446	63.0251
AT1G29020.1	1695	1480.84	127	10.4958
AT1G42310.1	1598	1383.84	0	0
AT1G77310.1	2480	2265.84	59	3.18673
AT1G44075.1	267	89.4667	0	0
AT1G12610.1	1074	859.842	4	0.56933
AT1G70820.1	2154	1939.84	1	0.0630894
AT1G70790.2	872	657.985	92	17.1117
AT1G12640.1	1795	1580.84	621	48.0757
AT1G12620.1	2407	2192.84	55	3.06957
AT1G12630.1	587	374.742	2	0.653161
AT1G65610.1	2115	1900.84	555	35.733
AT1G75170.1	1294	1079.84	317	35.9271
AT1G49680.1	300	114.189	0	0
AT1G50880.1	840	625.985	0	0
AT1G36675.1	807	593.047	3	0.619091
AT1G23180.1	2978	2763.84	121	5.3579
AT1G09770.1	2934	2719.84	1071	48.1913
AT1G75200.1	2279	2064.84	238	14.1063
AT1G80390.1	540	328.742	0	0
AT1G74750.1	2568	2353.84	125	6.49913
AT1G75210.1	2274	2059.84	228	13.5464
AT1G44080.1	1044	829.842	0	0
AT1G65585.1	836	622.047	0	0
AT1G21140.1	899	684.985	141	25.1919
AT1G09780.1	1911	1696.84	3474	250.56
AT1G09790.1	1451	1236.84	0	0
AT1G09760.1	1190	975.842	469	58.8188
AT1G75190.1	846	631.985	37	7.16502
AT1G49730.1	2237	2022.84	112	6.77608
AT1G79220.1	1591	1376.84	34	3.02216
AT1G50870.1	1191	976.842	0	0
AT1G65590.1	1922	1707.84	452	32.3902
AT1G75180.1	1543	1328.84	199	18.3275
AT1G09800.1	1442	1227.84	45	4.48531
AT1G50890.1	2877	2662.84	137	6.29648
AT1G70810.1	720	506.258	156	37.7116
AT1G21130.1	1365	1150.84	465.073	49.457
AT1G65580.1	3729	3514.84	601	20.9262
AT1G70800.1	717	503.258	138	33.5591
AT1G09795.1	1516	1301.84	137	12.8791
AT1G80380.2	1704	1489.84	543	44.6049
AT1G55890.1	1455	1240.84	218	21.5012
AT1G65520.1	962	747.842	189	30.9296
AT1G49650.1	1383	1168.84	49	5.13054
AT1G36690.1	2077	1862.84	0	0
AT1G75230.2	1436	1221.84	146	14.6238
AT1G44050.1	2253	2038.84	95	5.70246
AT1G09370.1	540	328.742	5	1.86139
AT1G50910.1	1927	1712.84	32.859	2.34779
AT1G75140.1	2227	2012.84	214	13.0115
AT1G80370.1	1588	1373.84	73	6.50292
AT1G36740.1	1888	1673.84	0	0
AT1G36730.1	2286	2071.84	922.5	54.4919
AT1G75150.1	2738	2523.84	65	3.15191
AT1G12580.1	1972	1757.84	333	23.1839
AT1G36720.1	4404	4189.84	0	0
AT1G36975.1	4391	4176.84	0	0
AT1G73850.1	2091	1876.84	178	11.6069
AT1G17380.1	1133	918.842	18	2.39748
AT1G31885.1	972	757.842	126	20.3477
AT1G77360.1	1554	1339.84	18	1.64415
AT1G44030.1	2407	2192.84	13	0.725535
AT1G65540.1	2211	1996.84	621	38.0601
AT1G09380.1	1568	1353.84	7	0.63278
AT1G44045.1	5031	4816.84	0	0
AT1G44040.1	1401	1186.84	0	0
AT1G77470.1	1468	1253.84	138	13.4697
AT1G36745.1	333	140.675	0	0
AT1G23190.1	2112	1897.84	1222	78.8014
AT1G12570.1	2027	1812.84	1	0.0675091
AT1G36970.1	1320	1105.84	0	0
AT1G15980.1	1566	1351.84	8	0.724247
AT1G77490.1	1596	1381.84	35	3.09979
AT1G10960.1	654	441.064	230	63.8188
AT1G67130.1	1176	961.842	0	0
AT1G55900.1	1534	1319.84	182	16.8761
AT1G15990.1	2130	1915.84	0	0
AT1G75160.1	1465	1250.84	19	1.85898
AT1G44060.1	2523	2308.84	0	0
AT1G49640.1	1192	977.842	0	0
AT1G36700.1	564	352.364	0	0
AT1G36990.1	2837	2622.84	217	10.1254
AT1G44070.1	3855	3640.84	0	0
AT1G12600.1	1279	1064.84	12	1.37917
AT1G42300.1	1052	837.842	0	0
AT1G09730.1	3386	3171.84	416	16.0511
AT1G77340.1	1486	1271.84	0	0
AT1G12650.1	1203	988.842	234	28.9609
AT1G70840.1	756	542.103	0	0
AT1G49700.1	840	625.985	51	9.97077
AT1G36980.1	678	464.793	642	169.043
AT1G65550.1	1626	1411.84	0	0
AT1G21090.1	1313	1098.84	128	14.256
AT1G28520.1	2129	1914.84	391	24.99
AT1G42290.1	3130	2915.84	0	0
AT1G79600.1	2490	2275.84	335	18.0146
AT1G36710.1	1294	1079.84	0	0
AT1G65950.1	1837	1622.84	107	8.06919
AT1G70850.1	1282	1067.84	17138	1964.15
AT1G09720.1	2787	2572.84	0	0
AT1G44085.1	273	93.7356	0	0
AT1G77350.1	813	599.047	346	70.6867
AT1G80420.1	1510	1295.84	139	13.1276
AT1G36880.1	1883	1668.84	0	0
AT1G65930.1	1703	1488.84	8945	735.283
AT1G74930.1	918	703.915	9	1.56475
AT1G43845.1	597	384.552	0	0
AT1G51050.1	612	399.355	0	0
AT1G77410.1	2638	2423.84	41	2.07015
AT1G74840.1	1190	975.842	1999	250.701
AT1G51140.1	1625	1410.84	295	25.5898
AT1G43850.1	3688	3473.84	512	18.0378
AT1G09550.1	1240	1025.84	0	0
AT1G51150.1	660	447.02	0	0
AT1G09640.1	1795	1580.84	2642	204.535
AT1G43840.1	2143	1928.84	0	0
AT1G36840.1	3210	2995.84	0	0
AT1G10920.1	2847	2632.84	15	0.697251
AT1G36850.1	1896	1681.84	0	0
AT1G09540.1	1498	1283.84	100	9.53259
AT1G71015.1	840	625.985	51	9.97077
AT1G09630.1	938	723.915	356	60.1845
AT1G42393.1	657	444.02	0	0
AT1G77400.1	1054	839.842	58	8.45187
AT1G74860.1	1598	1383.84	66	5.83687
AT1G73840.1	1455	1240.84	254	25.0518
AT1G36925.1	525	314.094	0	0
AT1G74920.1	1843	1628.84	1227	92.1909
AT1G09580.1	921	706.915	223	38.6065
AT1G79190.1	4067	3852.84	161	5.11408
AT1G09575.1	1152	937.842	55	7.17721
AT1G77405.1	1377	1162.84	15	1.57868
AT1G36927.1	1317	1102.84	0	0
AT1G09570.1	3829	3614.84	1157	39.1712
AT1G09560.1	942	727.915	1906	320.453
AT1G74850.1	2977	2762.84	93	4.11955
AT1G73580.1	507	296.772	129	53.1973
AT1G43766.1	349	153.537	0	0
AT1G09590.1	708	494.458	2023.91	500.938
AT1G36830.1	774	560.047	0	0
AT1G74940.1	1207	992.842	315	38.8287
AT1G51010.1	249	76.6766	0	0
AT1G65730.1	2371	2156.84	71	4.02868
AT1G09645.1	751	537.103	236	53.7746
AT1G36933.1	1802	1587.84	0	0
