target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2145	2819	146.043
AT1G36960.1	546	297	0	0
AT1G44020.1	2314	2065	2	0.107628
AT1G15970.1	1658	1409	125	9.85855
AT1G73440.1	1453	1204	42.9332	3.9626
AT1G75120.1	1520	1271	74	6.46994
AT1G17600.1	3332	3083	99	3.56842
AT1G50860.1	3846	3597	8.85491	0.273563
AT1G51380.1	1452	1203	87	8.03651
AT1G77370.1	620	371	278	83.2693
AT1G44090.1	1158	909	0	0
AT1G10950.1	2245	1996	1754	97.6525
AT1G31870.1	2134	1885	501	29.5352
AT1G51360.1	717	468	86	20.4205
AT1G14940.1	757	508	0	0
AT1G50950.1	1782	1533	67	4.85676
AT1G75110.1	1568	1319	33	2.78025
AT1G17400.1	1477	1228	10	0.904932
AT1G50930.1	790	541	0	0
AT1G17390.1	1024	775	0	0
AT1G09400.1	1182	933	4	0.476423
AT1G09415.1	655	406	217	59.3947
AT1G74730.1	891	642	447	77.3725
AT1G75100.1	2279	2030	442	24.1958
AT1G75240.1	1608	1359	612	50.0433
AT1G14920.1	2129	1880	545	32.2146
AT1G65510.1	480	231	1	0.481063
AT1G75250.1	381	132.072	2	1.68281
AT1G54410.1	728	479	10016	2323.66
AT1G09410.1	2118	1869	8	0.475658
AT1G54420.1	363	114.285	0	0
AT1G54430.1	4920	4671	0	0
AT1G75090.1	1303	1054	35	3.69013
AT1G36950.1	681	432	1	0.257235
AT1G50940.1	1389	1140	118	11.5025
AT1G14930.1	719	470	11	2.60081
AT1G65970.1	737	488	9.00938	2.05158
AT1G17410.1	795	546	51	10.3799
AT1G31880.1	1574	1325	64	5.36758
AT1G77320.1	3383	3134	112	3.9713
AT1G77500.1	3158	2909	222	8.48054
AT1G51320.1	1128	879	0	0
AT1G43990.1	3294	3045	0	0
AT1G74770.1	3904	3655	321	9.75959
AT1G75080.1	1563	1314	881.673	74.5635
AT1G14890.1	944	695	274	43.8107
AT1G51330.1	582	333	10	3.33711
AT1G80350.1	1932	1683	348	22.9778
AT1G14900.1	1025	776	449	64.2982
AT1G15960.1	2137	1888	144.383	8.49824
AT1G14980.1	690	441	1354	341.188
AT1G14910.1	2413	2164	679	34.868
AT1G44100.1	2151	1902	860	50.2461
AT1G42450.1	3260	3011	4.36195	0.160984
AT1G15000.1	1471	1222	426	38.7394
AT1G31850.1	2324	2075	605	32.4005
AT1G79210.1	1061	812	338	46.2567
AT1G67160.1	1353	1104	1	0.100657
AT1G42350.1	7480	7231	16.544	0.254247
AT1G20960.1	7013	6764	4182.15	68.7085
AT1G74780.1	1976	1727	167	10.7458
AT1G65620.1	1381	1132	64	6.28272
AT1G12680.1	1933	1684	301	19.8627
AT1G74790.1	2458	2209	729	36.673
AT1G77510.1	1798	1549	870.661	62.4614
AT1G43980.1	1866	1617	22	1.51191
AT1G77300.1	5791	5542	809	16.2217
AT1G80340.1	1083	834	1	0.133244
AT1G65985.1	1456	1207	42	3.86684
AT1G43995.1	494	245	0	0
AT1G51340.2	1870	1621	218	14.9447
AT1G31860.1	1065	816	157	21.3808
AT1G73450.1	3721	3472	169.315	5.41914
AT1G21070.1	1663	1414	113	8.88062
AT1G51350.1	2441	2192	267	13.5358
AT1G14950.1	845	596	0	0
AT1G09440.1	1593	1344	155	12.8158
AT1G09390.1	1341	1092	115	11.7028
AT1G22840.1	730	481	914	211.162
AT1G09430.1	1838	1589	932	65.1788
AT1G44010.1	778	529	1	0.210067
AT1G80360.1	1492	1243	498	44.5218
AT1G73445.1	735	486	6	1.37192
AT1G74720.1	3757	3508	663	21.0024
AT1G65980.1	890	641	1404	243.401
AT1G44000.1	1108	859	548	70.8927
AT1G65940.1	450	201	0	0
AT1G75260.1	1633	1384	9	0.722638
AT1G31900.1	258	35.7089	0	0
AT1G14970.1	1825	1576	168	11.8459
AT1G42320.1	4574	4325	0	0
AT1G14960.1	688	439	0	0
