target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2141.76	6578	69.0956
AT1G36960.1	546	304.506	0	0
AT1G44020.1	2314	2061.76	116.219	1.26814
AT1G15970.1	1658	1405.76	953	15.2514
AT1G73440.1	1453	1200.76	365.855	6.85455
AT1G75120.1	1520	1267.76	86	1.52612
AT1G17600.1	3332	3079.76	12	0.0876581
AT1G50860.1	3846	3593.76	2	0.0125201
AT1G51380.1	1452	1199.76	303	5.68166
AT1G77370.1	620	373.721	2579	155.25
AT1G44090.1	1158	905.764	0	0
AT1G10950.1	2245	1992.76	8246	93.0927
AT1G31870.1	2134	1881.76	1578	18.8656
AT1G51360.1	717	467.444	346	16.6523
AT1G14940.1	757	506.573	0	0
AT1G50950.1	1782	1529.76	91	1.33827
AT1G75110.1	1568	1315.76	73	1.24817
AT1G17400.1	1477	1224.76	166	3.04919
AT1G50930.1	790	538.896	298	12.4406
AT1G17390.1	1024	771.764	0	0
AT1G09400.1	1182	929.764	48	1.16144
AT1G09415.1	655	407.227	117	6.46365
AT1G74730.1	891	639.098	125	4.40018
AT1G75100.1	2279	2026.76	153	1.69831
AT1G75240.1	1608	1355.76	7	0.116156
AT1G14920.1	2129	1876.76	463	5.55008
AT1G65510.1	480	245.933	812	74.2793
AT1G75250.1	381	164.295	95	13.0085
AT1G54410.1	728	478.065	49924	2349.36
AT1G09410.1	2118	1865.76	104	1.25402
AT1G54420.1	363	150.496	0	0
AT1G54430.1	4920	4667.76	0	0
AT1G75090.1	1303	1050.76	373	7.98604
AT1G36950.1	681	432.673	83	4.31565
AT1G50940.1	1389	1136.76	966	19.1177
AT1G14930.1	719	469.35	0	0
AT1G65970.1	737	486.92	3575.02	165.177
AT1G17410.1	795	543.787	252	10.4256
AT1G31880.1	1574	1321.76	157.637	2.68307
AT1G77320.1	3383	3130.76	968	6.9559
AT1G77500.1	3158	2905.76	2343	18.1401
AT1G51320.1	1128	875.764	0	0
AT1G43990.1	3294	3041.76	0	0
AT1G74770.1	3904	3651.76	31923	196.666
AT1G75080.1	1563	1310.76	612	10.504
AT1G14890.1	944	691.836	632	20.5514
AT1G51330.1	582	337.82	0	0
AT1G80350.1	1932	1679.76	1634	21.8843
AT1G14900.1	1025	772.764	2321	67.5704
AT1G15960.1	2137	1884.76	210.277	2.50994
AT1G14980.1	690	441.41	6207	316.35
AT1G14910.1	2413	2160.76	1760	18.3246
AT1G44100.1	2151	1898.76	3774	44.7156
AT1G42450.1	3260	3007.76	0	0
AT1G15000.1	1471	1218.76	683	12.6075
AT1G31850.1	2324	2071.76	5966	64.7845
AT1G79210.1	1061	808.764	3674	102.199
AT1G67160.1	1353	1100.76	3	0.0613134
AT1G42350.1	7480	7227.76	61	0.189869
AT1G20960.1	7013	6760.76	11967	39.8215
AT1G74780.1	1976	1723.76	809	10.5584
AT1G65620.1	1381	1128.76	13	0.259101
AT1G12680.1	1933	1680.76	1020	13.6528
AT1G74790.1	2458	2205.76	4827	49.2319
AT1G77510.1	1798	1545.76	8436	122.778
AT1G43980.1	1866	1613.76	57	0.794626
AT1G77300.1	5791	5538.76	4182	16.9863
AT1G80340.1	1083	830.764	309	8.36775
AT1G65985.1	1456	1203.76	2018	37.7145
AT1G43995.1	494	258.481	0	0
AT1G51340.2	1870	1617.76	510	7.09224
AT1G31860.1	1065	812.764	928	25.6869
AT1G73450.1	3721	3468.76	895.968	5.81093
AT1G21070.1	1663	1410.76	560	8.93021
AT1G51350.1	2441	2188.76	1233	12.6734
AT1G14950.1	845	593.28	1	0.03792
AT1G09440.1	1593	1340.76	710	11.9134
AT1G09390.1	1341	1088.76	517	10.6828
AT1G22840.1	730	480.065	12590	590.002
AT1G09430.1	1838	1585.76	7499	106.388
AT1G44010.1	778	527.002	16	0.683023
AT1G80360.1	1492	1239.76	12237	222.057
AT1G73445.1	735	484.92	25.1454	1.16659
AT1G74720.1	3757	3504.76	1499	9.62212
AT1G65980.1	890	638.098	12877	454
AT1G44000.1	1108	855.764	470	12.3558
AT1G65940.1	450	220.37	0	0
AT1G75260.1	1633	1380.76	188	3.06314
AT1G31900.1	258	76.4491	41	12.0653
AT1G14970.1	1825	1572.76	492	7.03768
AT1G42320.1	4574	4321.76	0	0
AT1G14960.1	688	439.41	3709	189.896
AT1G12670.1	305	108.099	1	0.208116
AT1G73460.1	3703	3450.76	2530.03	16.4945
AT1G09450.1	2096	1843.76	238	2.90402
AT1G51355.1	750	499.623	169	7.60978
AT1G36750.1	1078	825.764	0	0
AT1G12660.1	414	190.705	0	0
AT1G75130.1	1660	1407.76	1563	24.978
AT1G21120.1	1358	1105.76	1348.47	27.435
AT1G09740.1	843	591.28	8524	324.324
AT1G21110.1	1385	1132.76	6441.89	127.939
AT1G50900.1	793	541.841	211.242	8.77075
AT1G37000.1	660	412.227	4	0.218299
AT1G77330.1	1239	986.764	5208	118.737
AT1G80400.1	1747	1494.76	828	12.4619
AT1G74740.1	2047	1794.76	2958	37.0782
AT1G17370.1	1772	1519.76	2251	33.3217
AT1G09750.1	1578	1325.76	253	4.29321
AT1G75220.1	1944	1691.76	4388	58.3519
AT1G65560.1	1399	1146.76	546	10.7114
AT1G65570.1	1194	941.764	431	10.2959
AT1G49660.1	1103	850.764	3376	89.2733
AT1G36680.1	1123	870.764	1	0.0258361
AT1G21100.1	1384	1131.76	2430.46	48.3127
AT1G29020.1	1695	1442.76	1283	20.006
AT1G42310.1	1598	1345.76	0	0
AT1G77310.1	2480	2227.76	268	2.70641
AT1G44075.1	267	82.4616	0	0
AT1G12610.1	1074	821.764	0	0
AT1G70820.1	2154	1901.76	1	0.0118296
AT1G70790.2	872	620.098	406	14.7297
AT1G12640.1	1795	1542.76	3049	44.4617
AT1G12620.1	2407	2154.76	261	2.72502
AT1G12630.1	587	342.681	3	0.196951
AT1G65610.1	2115	1862.76	3429	41.4131
AT1G75170.1	1294	1041.76	2942	63.5333
AT1G49680.1	300	104.687	0	0
AT1G50880.1	840	588.339	0	0
AT1G36675.1	807	555.678	5	0.20243
AT1G23180.1	2978	2725.76	655	5.40606
AT1G09770.1	2934	2681.76	5418	45.4513
AT1G75200.1	2279	2026.76	1663	18.4594
AT1G80390.1	540	298.94	0	0
AT1G74750.1	2568	2315.76	666	6.47006
AT1G75210.1	2274	2021.76	1133	12.6075
AT1G44080.1	1044	791.764	0	0
AT1G65585.1	836	584.339	0	0
AT1G21140.1	899	646.969	6	0.208639
AT1G09780.1	1911	1658.76	28049	380.418
AT1G09790.1	1451	1198.76	820	15.3889
AT1G09760.1	1190	937.764	1973	47.3327
AT1G75190.1	846	594.22	97	3.67242
AT1G49730.1	2237	1984.76	822	9.31732
AT1G79220.1	1591	1338.76	115	1.93251
AT1G50870.1	1191	938.764	0	0
AT1G65590.1	1922	1669.76	2873	38.7087
AT1G75180.1	1543	1290.76	902	15.7213
AT1G09800.1	1442	1189.76	203	3.83852
AT1G50890.1	2877	2624.76	1033	8.85397
AT1G70810.1	720	470.303	523	25.018
AT1G21130.1	1365	1112.76	1009.19	20.4031
AT1G65580.1	3729	3476.76	4135	26.7564
AT1G70800.1	717	467.444	167	8.03739
AT1G09795.1	1516	1263.76	583	10.3784
AT1G80380.2	1704	1451.76	1364	21.1372
AT1G55890.1	1455	1202.76	1041	19.4715
AT1G65520.1	962	709.836	1366	43.2933
AT1G49650.1	1383	1130.76	114	2.26809
AT1G36690.1	2077	1824.76	0	0
AT1G75230.2	1436	1183.76	651	12.3721
AT1G44050.1	2253	2000.76	823.97	9.26497
AT1G09370.1	540	298.94	3	0.22577
AT1G50910.1	1927	1674.76	269.758	3.62367
AT1G75140.1	2227	1974.76	1315	14.9809
