AGI,logFC,logCPM,LR,PValue,FDR,symbol2,full_name
AT4G37540,-5.261126602139017,6.9972463276583845,644.1954287195356,4.087894629546487e-142,1.3736143534202107e-137,LBD39,LOB domain-containing protein 39
AT3G25790,-10.193617998402852,5.660311148155234,569.6979999132418,6.531453660266015e-126,1.0973495294612931e-121,HHO1;NIGT1.3,"HRS1 homologue 1;NITRATE-INDUCIBLE, GARP-TYPE TRANSCRIPTIONAL REPRESSOR 1/HYPERSENSITIVE TO LOW Pi-ELICITED PRIMARY ROOT SHORTENING 1.3"
AT5G26280,-3.104263415880773,10.870776245553701,465.03917448372727,3.848510701112795e-103,4.310588552626405e-99,NA,NA
AT5G63160,-6.904404216208011,8.551678707985458,459.95048914676784,4.9279430959851026e-102,4.1397185977822857e-98,BT1,BTB and TAZ domain protein 1
AT1G13300,-4.567803514403584,8.268543834402765,435.4038192557508,1.0833383174676452e-96,7.280466828709562e-93,AtNIGT1;HRS1;NIGT1.4,"NA;HYPERSENSITIVITY TO LOW PI-ELICITED PRIMARY ROOT  SHORTENING 1;NITRATE-INDUCIBLE, GARP-TYPE TRANSCRIPTIONAL REPRESSOR 1/HYPERSENSITIVE TO LOW Pi-ELICITED PRIMARY ROOT SHORTENING 1.4"
AT5G41610,4.23770155574538,4.341043699307997,392.8001025987363,2.0337475982847134e-87,1.138966446626049e-83,ATCHX18;CHX18,ARABIDOPSIS THALIANA CATION/H+ EXCHANGER 18;cation/H+ exchanger 18
AT3G48360,-6.969488775472083,7.962906071869903,376.74970969211574,6.3475834659260995e-84,3.047021423172126e-80,ATBT2;BT2,NA;BTB and TAZ domain protein 2
AT5G56840,5.437489959074752,2.138131881812461,355.3113190451479,2.9549430875267034e-79,1.2411499703384036e-75,NA,NA
AT5G45380,6.916315556876773,7.272593757513202,349.5303326801027,5.363107612098869e-78,2.002346022019402e-74,ATDUR3;DUR3,NA;DEGRADATION OF UREA 3
AT5G52790,-3.827177183470711,6.121578477471824,340.5568395111512,4.826153729323835e-76,1.621684176127395e-72,NA,NA
AT3G24290,12.855069035656,1.8326685142159354,340.0229443865305,6.30773911408138e-76,1.9268422701032956e-72,AMT1;5,ammonium transporter 1;5
AT1G78000,-3.9110719887286227,9.963484131837182,327.3105316232468,3.7030904728265556e-73,1.0369270505659826e-69,SEL1;SULTR1;2,SELENATE RESISTANT 1;sulfate transporter 1;2
AT5G62720,-6.679001120714557,6.7700644327438875,322.99609172477307,3.2232718989586226e-72,8.331414026831358e-69,AtNITR2;1,"NA"
AT4G33040,6.300752917100917,2.640658102892606,321.5463616301823,6.669183939508575e-72,1.6006994195383369e-68,ROXY21,"NA"
AT1G72830,3.262965548822301,5.400560827092176,317.8145457093769,4.334565046102251e-71,9.71000364527519e-68,ATHAP2C;HAP2C;NF-YA3,"NA;NA;nuclear factor Y, subunit A3"
AT5G64550,4.5751349721377705,3.0279305085603117,296.721849212366,1.7060152197811688e-66,3.3720896126521667e-63,NA,NA
AT5G64552,4.5751349721377705,3.0279305085603117,296.721849212366,1.7060152197811688e-66,3.3720896126521667e-63,NA,NA
AT4G38470,-3.6518417191935897,8.052337001766587,292.1058561223717,1.728681366374129e-65,3.227063959605749e-62,STY46,serine/threonine/tyrosine kinase 46
AT1G55760,2.8884743236953843,5.132777991761269,282.4959735723218,2.146291546255434e-63,3.7957730809092154e-60,SIBP1,Stress-induced BTB protein1
AT1G25550,-3.9505279150776365,6.5905417015717624,281.6773841447846,3.236449998223567e-63,5.437559642015415e-60,HHO3;NIGT1.1,"HRS1 HOMOLOG3;NITRATE-INDUCIBLE, GARP-TYPE TRANSCRIPTIONAL REPRESSOR 1/HYPERSENSITIVE TO LOW Pi-ELICITED PRIMARY ROOT SHORTENING 1.1"
AT2G43500,5.415813405672996,3.7637204606325603,272.6068395658623,3.067396000835635e-61,4.9081257342894764e-58,NLP8,NIN-like protein 8
AT5G23220,-3.6878141242436633,4.871971960215891,270.68486805554375,8.047221091285335e-61,1.2291032868607718e-57,NIC3,nicotinamidase 3
AT1G23870,-3.0855761589837685,7.63542244530263,270.2276757570192,1.0122514095809144e-60,1.4788552984668648e-57,ATTPS9;TPS9;TPS9,trehalose-phosphatase/synthase 9;TREHALOSE -6-PHOSPHATASE SYNTHASE S9;trehalose-phosphatase/synthase 9
AT1G76350,2.3502508274450284,5.34899995382659,268.8314871681232,2.0397809887973886e-60,2.8558633660654105e-57,NLP5,NIN-like protein 5
AT2G05440,-7.1423731795614955,8.762358504585007,262.0653290921101,6.0859788105872675e-59,8.180042399734134e-56,ATGRP9;GRP9,ARABIDOPSIS GLYCINE RICH PROTEIN 9;GLYCINE RICH PROTEIN 9
AT5G66170,4.219180503300911,5.797482308188152,261.0416848959358,1.0173149419211184e-58,1.3147621799397471e-55,STR18,sulfurtransferase 18
AT4G15340,-2.5768148151956902,5.622760459561091,260.8339635409089,1.1291018104172467e-58,1.405188112357049e-55,04C11;ATPEN1;PEN1,NA;pentacyclic triterpene synthase 1;pentacyclic triterpene synthase 1
AT2G38180,2.234644657482624,4.403134769298141,259.6751527029778,2.0198785682427294e-58,2.4239985589318642e-55,NA,NA
AT4G25835,-3.4160291785660575,4.052883440426545,253.68883696084683,4.076270628545825e-57,4.7231326089792003e-54,NA,NA
AT4G29905,-7.573588134817184,7.200135411329015,250.92848128104373,1.6293855473565856e-56,1.825020438742533e-53,NA,NA
AT1G49160,-3.2288510930536534,4.8027803874519766,250.3972918528339,2.127290219746586e-56,2.3058453536749933e-53,WNK7,"NA"
AT1G23150,-3.3142856637758094,5.514266687976403,245.9416984795164,1.9916566667562732e-55,2.027989312616494e-52,NA,NA
AT1G23149,-3.3142856637758094,5.514266687976403,245.9416984795164,1.9916566667562732e-55,2.027989312616494e-52,NA,NA
AT1G65970,-6.06044715946101,7.4531241148910565,244.6818530376758,3.74880393736432e-55,3.70492087950929e-52,TPX2,thioredoxin-dependent peroxidase 2
AT5G59050,3.5741673360515036,4.126635805247441,243.40274706659716,7.124855498178137e-55,6.840268412850907e-52,NA,NA
AT1G68238,-5.235664786945384,4.148499771879367,241.0755538805277,2.2918643658224743e-54,2.1392007338990773e-51,NA,NA
AT3G59930,-7.34160828307312,11.232484496543439,240.11658428618486,3.70924032328887e-54,3.368591711977098e-51,NA,NA
AT1G67360,2.1313762810608594,4.849273633552938,239.91454780025225,4.105234143334187e-54,3.6301073074819834e-51,LDAP1;SRP1,LD-associated protein 1;small rubber particle protein
AT1G49500,-6.976427761385935,5.869044339548694,236.8660836801874,1.8969572063928355e-53,1.6343988730567193e-50,NA,NA
AT2G16060,-5.058970948065247,4.727443203152312,236.52713961359746,2.248882054516334e-53,1.8891733698964463e-50,AHB1;ARATH GLB1;ATGLB1;GLB1;HB1;NSHB1;Pgb1,hemoglobin 1;NA;NA;CLASS I HEMOGLOBIN;hemoglobin 1;NA;Phytoglobin 1
AT3G16560,-3.8939681419633594,6.2749021441130255,228.01509982979567,1.6151921856758305e-51,1.3237484834897379e-48,NA,NA
AT2G31081,-7.419650672829485,3.4786959294667117,227.95119757454455,1.6678644258990153e-51,1.3343709628347311e-48,CLE4,CLAVATA3/ESR-RELATED 4
AT5G16570,4.508140426908335,6.264880361111859,227.5001408771883,2.091861226058849e-51,1.634667928326266e-48,GLN1;4,glutamine synthetase 1;4
AT2G47160,-2.953407871376008,7.113505929156455,227.38261077600697,2.2190416421103258e-51,1.694641755867981e-48,AtBOR1;BOR1,NA;REQUIRES HIGH BORON 1
AT3G48990,-2.69362028135516,9.224984267771106,215.58581573091948,8.303730644086367e-49,6.200487935613113e-46,AAE3,ACYL-ACTIVATING ENZYME 3
AT3G14020,2.8100491968242656,3.419715927508848,213.75038140356278,2.087721133070788e-48,1.5250349024661873e-45,NF-YA6,"nuclear factor Y, subunit A6"
AT3G57920,-2.3851405574661584,3.5586527072644984,212.0713326621009,4.852550170583476e-48,3.469263634722255e-45,SPL15,squamosa promoter binding protein-like 15
AT5G33355,-7.329908970527768,10.07650634644133,211.3946909462735,6.816924050120886e-48,4.7721308735867084e-45,NA,NA
AT5G67420,-3.3139284663112685,7.666227054320954,210.93570931110983,8.584651459391285e-48,5.886968537519714e-45,ASL39;LBD37,ASYMMETRIC LEAVES2-LIKE 39;LOB domain-containing protein 37
AT1G20640,2.5687485497938813,5.903402601352299,209.41048348943576,1.84706610739744e-47,1.2413023068153754e-44,NLP4,NIN-like protein 4
AT5G10580,-2.0503829123371045,7.3582645163511735,207.28361673493305,5.376772011211521e-47,3.542554767073128e-44,NA,NA
AT5G45120,3.74032940427122,0.8356144998886655,206.91721100626634,6.463476468229986e-47,4.176648774720462e-44,NA,NA
AT1G16170,-2.607577277041942,4.972539184005695,200.80461515292308,1.3939544465085232e-45,8.837671190864037e-43,NA,NA
AT5G40780,1.93784635195092,7.312525549100102,200.29096261635635,1.8044197324361737e-45,1.1228168860985241e-42,AtLHT1;LHT1,NA;lysine histidine transporter 1
AT2G44220,-4.563035834177257,5.540216089417593,198.6356112075105,4.1455012206539983e-45,2.532675127571194e-42,NA,NA
AT5G64410,2.4875491785221033,4.947743362659462,198.4196514817815,4.620681121425478e-45,2.7725736971810525e-42,ATOPT4;OPT4,ARABIDOPSIS THALIANA OLIGOPEPTIDE TRANSPORTER 4;oligopeptide transporter 4
AT2G37180,-2.794757353017535,7.3436057340262995,197.74487381818508,6.485814800886414e-45,3.823444718234829e-42,PIP2;3;PIP2C;RD28,PLASMA MEMBRANE INTRINSIC PROTEIN 2;3;PLASMA MEMBRANE INTRINSIC PROTEIN 2C;RESPONSIVE TO DESICCATION 28
AT5G67210,2.2716048019618085,4.859041949840956,192.17224161291705,1.0670663594359011e-43,6.181993760304335e-41,IRX15-L,IRX15-LIKE
AT1G67910,-4.91273885641568,2.985772992979927,191.80177513550098,1.2854404533809557e-43,7.320910188899469e-41,NA,NA
AT5G66530,-1.447197306451684,5.865657686544017,190.84098090778346,2.0833640090919274e-43,1.166753290558449e-40,NA,NA
