"","genes","logFC","logCPM","LR","PValue","FDR","AGI","At_symbol","At_short_description","perc_ID"
"1","BraA08g032060.3C",7.02175116614107,4.08764401906179,935.707040731237,1.69709040279843e-205,4.0540095542049e-201,"AT1G10470","ARR4","response regulator 4",81.692
"2","BraA03g000970.3C",2.63943749778421,8.14672130940353,814.08291070086,4.67967755007902e-179,5.58940686581438e-175,"AT5G02870","RPL4","Ribosomal protein L4/L1 family",87.706
"3","BraA06g041570.3C",2.66993004610792,7.36764040449988,669.286157154859,1.42838480303151e-147,1.13737520582722e-143,"AT1G43170","ARP1","ribosomal protein 1",88.266
"4","BraA01g009150.3C",2.5740110213926,7.52674518628366,614.305723884404,1.29494291700545e-135,7.73339910035653e-132,"AT4G17520","HLN",NA,77.766
"5","BraA06g040070.3C",5.01091362278684,4.52554335416897,574.234236374165,6.73383382196803e-127,3.21715644678344e-123,"AT2G01830","AHK4","CHASE domain containing histidine kinase protein",84.34
"6","BraA07g036790.3C",2.46697582067371,7.32290573087709,569.516255619168,7.15392142653952e-126,2.84821458395293e-122,"AT1G72370","AP40","40s ribosomal protein SA",85.796
"7","BraA08g028390.3C",5.52711372283553,4.39609838118278,551.817304200246,5.06586714170279e-122,1.72876334687137e-118,"AT1G19050","ARR7","response regulator 7",87.662
"8","BraA02g003600.3C",-4.11287691780156,7.23817294032127,543.102610562784,3.98537940655818e-120,1.19003429079827e-116,"AT5G10770",NA,"Eukaryotic aspartyl protease family protein",84.303
"9","BraA09g049110.3C",2.31570565038195,7.94694203588657,532.313768235476,8.86294498984121e-118,2.35242255463696e-114,"AT3G59040",NA,"Tetratricopeptide repeat (TPR)-like superfamily protein",88.927
"10","BraA08g012020.3C",2.41582075958876,6.38213880829855,529.955650750189,2.88800039931704e-117,6.89885535388854e-114,"AT4G16720",NA,NA,90.569
"11","BraA03g007310.3C",3.34952898229555,4.90309237860755,523.544709913162,7.16717978155032e-116,1.5564508238334e-112,"AT5G16130",NA,"Ribosomal protein S7e family protein",91.274
"12","BraA03g006370.3C",2.02664793291085,6.05359149328096,522.514874180609,1.2006052160405e-115,2.39000478339796e-112,"AT5G14520","PES","pescadillo-related",87.133
"13","BraA03g035260.3C",3.03300313917848,5.97238784513325,519.833636764745,4.59977328428261e-115,8.45226032422638e-112,"AT3G12390",NA,NA,89.159
"14","BraA10g023190.3C",-4.16947488210965,7.033888363496,519.466114061027,5.52962856132178e-115,9.43512621948963e-112,"AT5G16570","GLN1;4","glutamine synthetase 1;4",92.53
"15","BraA09g011940.3C",2.49623147512399,4.90800032994948,512.784422942003,1.57183574475513e-113,2.50320081804738e-110,"AT2G19640","ASHR2","ASH1-related protein 2",81.308
"16","BraA09g032050.3C",2.71669516601789,6.08930211402019,509.267088601347,9.15535991314678e-113,1.36689523503281e-109,"AT1G33120",NA,"Ribosomal protein L6 family",89.537
"17","BraA10g014820.3C",2.24689340558385,6.87021582225736,503.440076551895,1.69622769567568e-111,2.38349924672356e-108,"AT5G56950","NAP1;3","nucleosome assembly protein 1;3",92.26
"18","BraA08g015590.3C",4.96327478508893,5.1894020478784,496.852420528369,4.6007045264921e-110,6.05992675294247e-107,"AT4G34950","MFS1",NA,83.157
"19","BraA03g033770.3C",3.01226661926881,7.56639966371275,496.759504805697,4.81993504294654e-110,6.05992675294247e-107,"AT3G09630","SAC56","Ribosomal protein L4/L1 family",83.374
"20","BraA03g010380.3C",4.26339459071322,7.28473222082933,496.514257675863,5.45007810498307e-110,6.50957328859178e-107,"AT5G22650","ATHD2","histone deacetylase 2B",76.884
"21","BraA05g036910.3C",2.52113185137833,8.35085373453355,493.257871118504,2.78574407495938e-109,3.16885021250618e-106,"AT3G09630","SAC56","Ribosomal protein L4/L1 family",85.504
"22","BraA10g020280.3C",3.08405578491756,7.50610009778306,490.587945860509,1.06140700770754e-108,1.15249502727808e-105,"AT5G20290",NA,"Ribosomal protein S8e family protein",86.384
"23","BraA06g018040.3C",2.82565658590979,6.67730037965709,489.225183943028,2.10089106427288e-108,2.18200372797177e-105,"AT3G49010","ATBBC1","breast basic conserved 1",88.084
"24","BraA05g002510.3C",2.19190147667642,6.06188734570944,485.114633273262,1.64749095811264e-107,1.63980266697478e-104,"AT2G41840",NA,"Ribosomal protein S5 family protein",80.273
"25","BraA07g036510.3C",3.10599764674373,3.76247488087189,483.814075840796,3.16093855492974e-107,3.02034000800647e-104,"AT1G72040","AtdNK","P-loop containing nucleoside triphosphate hydrolases superfamily protein",79.467
"26","BraA02g009940.3C",3.15508229226941,7.56855976367741,483.356286530903,3.97583599978153e-107,3.65287578318389e-104,"AT5G22650","ATHD2","histone deacetylase 2B",68.393
"27","BraA09g046520.3C",3.43117484682864,4.35394049092872,478.787989725937,3.92170647760118e-106,3.46969349396063e-103,"AT1G41880",NA,"Ribosomal protein L35Ae family protein",92.56
"28","BraA08g015810.3C",2.98474393028451,6.29560115296246,474.809915589913,2.87810822895608e-105,2.39272170958764e-102,"AT4G34670",NA,"Ribosomal protein S3Ae",89.734
"29","BraA09g003620.3C",3.56037826900686,8.58236040682982,474.766206783802,2.94183475888538e-105,2.39272170958764e-102,"AT3G28900",NA,NA,91.185
"30","BraA06g033780.3C",2.55998793009345,6.93804086976965,474.723857226441,3.004925120882e-105,2.39272170958764e-102,"AT5G27850","RPL18C","Ribosomal protein L18e/L15 superfamily protein",89.894
"31","BraA10g026360.3C",2.62384598288023,4.75320309295638,471.473088995616,1.53184505523448e-104,1.18041015094972e-101,"AT5G11880",NA,"Pyridoxal-dependent decarboxylase family protein",88.06
"32","BraA08g020010.3C",4.41624196765189,6.03426883152775,468.72489382597,6.07074426464335e-104,4.53181059355626e-101,"AT4G25630","ATFIB2",NA,84.608
"33","BraA04g019970.3C",5.24811794000257,5.25772676225468,464.095929980645,6.17382978365919e-103,4.46910442036517e-100,"AT2G27840","HD2D","histone deacetylase-related / HD-related",69.41
"34","BraA02g008820.3C",2.31798415356078,9.56552642545077,461.484552409721,2.28469453565127e-102,1.60441037816735e-99,"AT5G20290",NA,"Ribosomal protein S8e family protein",87.225
"35","BraA05g029400.3C",2.14851825915821,7.6034182180489,461.427683496916,2.35073523257942e-102,1.60441037816735e-99,"AT3G18130","RACK1C",NA,86.035
"36","BraA03g008380.3C",2.78764579305641,4.74130280318866,457.497571978863,1.68448061362975e-101,1.11774646939965e-98,"AT3G03920",NA,"H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 protein",78.436
"37","BraA03g010740.3C",2.05815849771841,8.20898779901698,455.557115647007,4.45399510454633e-101,2.87559554209196e-98,"AT1G07920",NA,"GTP binding Elongation factor Tu family protein",93.63
"38","BraA07g007670.3C",2.27509859835336,8.03882440299466,454.485795573887,7.61891223134989e-101,4.7894888258549e-98,"AT5G39740","OLI7","ribosomal protein L5 B",88.999
"39","BraA09g048280.3C",-4.5961842300271,6.25693121445996,454.243171502357,8.60386459433769e-101,5.26997736998817e-98,"AT3G57680",NA,NA,83.857
"40","BraA01g005100.3C",-4.39607599815964,7.81239718109798,452.073888412721,2.55142236959415e-100,1.52370943912162e-97,"AT4G32940","AEP3",NA,86.644
"41","BraA06g040670.3C",3.03383621618841,7.15688219970583,449.287326597426,1.03089231716298e-99,6.00633065180225e-97,"AT2G01250","RPL7B","Ribosomal protein L30/L7 family protein",91.221
"42","BraA03g033990.3C",2.41275245125937,6.70058806653,447.442759034538,2.59803777207234e-99,1.47766491188724e-96,"AT3G09200",NA,"Ribosomal protein L10 family protein",87.01
"43","BraA06g026530.3C",7.38408967105539,2.52548774237125,444.788882268051,9.82230762332131e-99,5.45663452339301e-96,"AT5G62920","ARR6","response regulator 6",86.562
"44","BraA06g003850.3C",2.61247166614447,6.0764048049753,439.934516607854,1.11865953843722e-97,6.07330433049736e-95,"AT1G49760","PAB8","poly(A) binding protein 8",86.811
"45","BraA08g028920.3C",2.19606313508616,5.34238063296527,439.20592362367,1.61164056978744e-97,8.55530442912944e-95,"AT1G18080","ATARCA","Transducin/WD40 repeat-like superfamily protein",85.874
"46","BraA03g009570.3C",2.48874851364977,7.54683274024653,437.720645952353,3.39253549927698e-97,1.76175843492888e-94,"AT5G20290",NA,"Ribosomal protein S8e family protein",85.672
"47","BraA01g019830.3C",2.99616692160291,6.4098394642018,436.36909109622,6.67850561631984e-97,3.3943860034606e-94,"AT4G16720",NA,NA,93.148
"48","BraA10g000770.3C",2.60630752498988,4.9259441002307,436.136639678572,7.50361700638087e-97,3.73430006350888e-94,"AT1G01100","RPP1.1","60S acidic ribosomal protein family",88.304
"49","BraA02g012710.3C",2.77628012343922,7.71302930528985,434.148860410217,2.03188389905529e-96,9.90564134298627e-94,"AT5G56710",NA,"Ribosomal protein L31e family protein",91.341
"50","BraA05g008390.3C",-2.2994335785315,5.7323917441568,431.630816489214,7.17699296121583e-96,3.42888015715047e-93,"AT2G36970",NA,NA,87.422
"51","BraA03g008350.3C",-4.24361360716103,5.73516049494059,430.829648487636,1.07229806488506e-95,5.02256003411263e-93,"AT5G18130",NA,NA,77.612
"52","BraA06g034100.3C",3.33183175209405,5.869224034381,425.72242588328,1.3864761158803e-94,6.36925797233627e-92,"AT5G27330",NA,"Prefoldin chaperone subunit family protein",77.041
"53","BraA01g009630.3C",2.80356172313914,6.72134211549113,423.193081349669,4.92538901643491e-94,2.21995646838863e-91,"AT4G18100",NA,NA,92.04
"54","BraA04g026660.3C",3.518658724799,6.29643943190926,422.804562292056,5.98418338428337e-94,2.64722542006965e-91,"AT2G37600",NA,"Ribosomal protein L36e family protein",86.217
"55","BraA07g022750.3C",3.24088019085711,8.43627791366151,421.688617899335,1.04688830028308e-93,4.54692140312041e-91,"AT3G57150","AtCBF5",NA,82.567
"56","BraA01g034670.3C",2.69532386994975,6.10506583432331,421.596621646852,1.09628692614632e-93,4.67644680210415e-91,"AT3G18130","RACK1C",NA,85.423
"57","BraA09g004310.3C",2.35873447911086,5.72808947203338,419.046502531853,3.93538132369338e-93,1.64926998351557e-90,"AT5G48760",NA,"Ribosomal protein L13 family protein",88.567
"58","BraA03g052420.3C",2.52930771811098,6.23620339792034,418.596466645907,4.93109195246839e-93,2.03092973380284e-90,"AT4G25340","ATFKBP53","FK506 BINDING PROTEIN 53",78.631
"59","BraA09g038340.3C",-2.3619224229353,5.70931014923066,417.657940214287,7.8927188015854e-93,3.19561469037749e-90,"AT1G26440","ATUPS5","ureide permease 5",84.262
"60","BraA02g015090.3C",2.40010997474908,5.52863061539151,417.445004618446,8.78163172474039e-93,3.49626031067664e-90,"AT5G52820","AtNLE","WD-40 repeat family protein / notchless protein, putative",92.115
"61","BraA03g041620.3C",2.5288109647456,6.04876363795029,416.778186920612,1.22664344456257e-92,4.80361616454273e-90,"AT3G25520","ATL5","ribosomal protein L5",89.097
"62","BraA03g047190.3C",2.68815814873861,7.00981290907137,416.600243332253,1.34106736031553e-92,5.16700275858344e-90,"AT4G16720",NA,NA,91.517
"63","BraA07g021250.3C",2.36460514882556,5.59821543376053,416.227014850585,1.61692483393632e-92,6.13096832270966e-90,"AT3G53430",NA,NA,90.02
"64","BraA03g006730.3C",2.44148065436592,6.48910758315835,415.49639963463,2.33195731291696e-92,8.70403067046257e-90,"AT5G15200",NA,"Ribosomal protein S4",89.447
"65","BraA03g041380.3C",2.37839844370378,5.84363084398385,414.141612456805,4.59848434802658e-92,1.68997837085629e-89,"AT3G24830",NA,NA,89.694
"66","BraA02g034480.3C",3.52227844596652,8.59732785999053,412.988381784781,8.19668406093392e-92,2.96670286132711e-89,"AT2G01250","RPL7B","Ribosomal protein L30/L7 family protein",90.261
"67","BraA09g007210.3C",2.00009547906991,6.36969730494082,412.755278062313,9.21251140231682e-92,3.2846040653514e-89,"AT5G62190","AtRH7","DEAD box RNA helicase (PRH75)",80.052
"68","BraA10g017690.3C",2.9407192437889,5.10580335708631,411.573968593512,1.66538832097954e-91,5.85041120758225e-89,"AT5G59850",NA,"Ribosomal protein S8 family protein",91.603
"69","BraA01g040670.3C",2.10685888944639,7.40912761067482,411.519223176886,1.71171744930328e-91,5.92601542448649e-89,"AT3G09630","SAC56","Ribosomal protein L4/L1 family",85.176
"70","BraA03g036540.3C",2.41932615909723,4.05331263202161,408.276714200887,8.69447639718282e-91,2.96705217394147e-88,"AT3G14600",NA,NA,90.487
"71","BraA04g026320.3C",2.57291026317832,6.25690033205729,407.621675620113,1.20734179513049e-90,4.06210997212353e-88,"AT3G53430",NA,NA,85.828
"72","BraA04g017900.3C",2.63697219894215,4.53107728388783,407.136960392741,1.53936612798296e-90,5.10727473128567e-88,"AT1G72370","AP40","40s ribosomal protein SA",85.338
"73","BraA09g062310.3C",3.34947412680316,7.1599299262279,405.078662778239,4.31907554884002e-90,1.4133435165848e-87,"AT1G09590",NA,"Translation protein SH3-like family protein",88.283
"74","BraA05g017850.3C",3.42302443312347,3.94370208350852,402.518334239841,1.55858033604585e-89,5.03126581992746e-87,"AT1G52300",NA,"Zinc-binding ribosomal protein family protein",95.139
"75","BraA03g018090.3C",2.92928628002422,6.41542592794106,401.982025287638,2.03927265805823e-89,6.49521936742601e-87,"AT2G34480","L18aB","Ribosomal protein L18ae/LX family protein",91.061
"76","BraA05g008690.3C",3.27133198190538,5.83275415064246,401.827989120302,2.20296014929801e-89,6.92425158505671e-87,"AT2G36620","RPL24A","ribosomal protein L24",87.879
"77","BraA05g001840.3C",2.35757911276718,4.93777561798044,400.751681625834,3.77836049637974e-89,1.17217500698077e-86,"AT2G40700","RH17",NA,87.274
"78","BraA05g040040.3C",2.69465703138351,5.62448061105018,399.753627941865,6.23112972787583e-89,1.90832342230125e-86,"AT3G05130",NA,NA,79.211
"79","BraA04g002660.3C",3.96005729757264,5.22144784754202,398.994984562493,9.11411613334909e-89,2.75592412903093e-86,"AT3G58660",NA,NA,73.765
"80","BraA01g027610.3C",2.47843938973545,6.2035464410331,398.108834696872,1.42108473414076e-88,4.2433590161443e-86,"AT1G58380","XW6","Ribosomal protein S5 family protein",85.38
"81","BraA09g051700.3C",2.06891276379628,8.77820091075562,397.309311466842,2.12162490808108e-88,6.25695997583221e-86,"AT2G47110","UBI6","ubiquitin 6",88.578
"82","BraA09g057200.3C",2.87153093197647,6.06108649826609,396.010246664845,4.06878331271022e-88,1.18530604602466e-85,"AT1G18540",NA,"Ribosomal protein L6 family protein",87.376
"83","BraA05g037180.3C",2.45368574648573,5.06597084865296,393.091505379985,1.75735507262185e-87,5.05779493672179e-85,"AT3G09200",NA,"Ribosomal protein L10 family protein",86.503
"84","BraA08g025320.3C",2.21154722622664,4.9062371598451,389.994038474897,8.30185401339864e-87,2.36088915085794e-84,"AT1G25260",NA,"Ribosomal protein L10 family protein",89.96
