"","genes","logFC","logCPM","LR","PValue","FDR","AGI","At_symbol","At_short_description","perc_ID"
"1","BraA02g003390.3C",0.71501112647046,4.12714404220195,25.4537747637425,4.53110224153316e-07,0.00810943178860675,"AT5G10190",NA,"Major facilitator superfamily protein",85.705
"2","BraA10g017280.3C",0.608777377423115,5.50138627893793,24.6739578602998,6.78954436420525e-07,0.00810943178860675,"AT5G59420","ORP3C","OSBP(oxysterol binding protein)-related protein 3C",90.971
"3","BraA10g017790.3C",1.89593081775364,0.418468049701972,22.2209187195024,2.43011670562672e-06,0.0193502092880037,"AT5G59990",NA,"CCT motif family protein",87.432
"4","BraA03g034880.3C",-1.03657676696611,1.89013736881382,18.9525226914552,1.34011966748148e-05,0.0491990430569873,"AT3G11580","NGAL2","AP2/B3-like transcriptional factor family protein",82.754
"5","BraA02g013050.3C",0.650086908094848,7.57971447128572,18.8652869159915,1.40282339420655e-05,0.0491990430569873,"AT5G56010","AtHsp90-3","heat shock protein 81-3",88.667
"6","BraA09g023360.3C",0.543519689222728,4.95218888276674,18.8454589587149,1.41748158089788e-05,0.0491990430569873,"AT1G62200","AtNPF8.5","Major facilitator superfamily protein",77.976
"7","BraA06g006960.3C",1.11564695922497,6.10423176970146,18.8131458275555,1.44170002260093e-05,0.0491990430569873,"AT1G10070","ATBCAT-2","branched-chain amino acid transaminase 2",89.974
"8","BraA04g003240.3C",0.600951834388463,3.39107882240329,18.4645889169171,1.73090685744542e-05,0.0516848787633202,"AT3G57510","ADPG1",NA,83.019
"9","BraA07g028800.3C",-0.527152240243241,4.11384387502162,17.4433356684356,2.96000180750062e-05,0.0637688367839646,"AT1G73230",NA,"Nascent polypeptide-associated complex NAC",88.508
"10","BraA03g017560.3C",0.406632861599981,6.8965573733527,17.3007583440283,3.19059496253861e-05,0.0637688367839646,"AT2G32870",NA,NA,68.731
