target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2141.16	2257	160.27
AT1G36960.1	546	293.556	0	0
AT1G44020.1	2314	2061.16	41	3.02441
AT1G15970.1	1658	1405.16	62	6.70865
AT1G73440.1	1453	1200.16	96	12.1619
AT1G75120.1	1520	1267.16	9	1.07989
AT1G17600.1	3332	3079.16	7	0.345648
AT1G50860.1	3846	3593.16	0	0
AT1G51380.1	1452	1199.16	24	3.04301
AT1G77370.1	620	367.335	545	225.581
AT1G44090.1	1158	905.158	0	0
AT1G10950.1	2245	1992.16	565	43.1214
AT1G31870.1	2134	1881.16	206	16.6498
AT1G51360.1	717	464.206	34	11.1362
AT1G14940.1	757	504.158	0	0
AT1G50950.1	1782	1529.16	8	0.795437
AT1G75110.1	1568	1315.16	1	0.115609
AT1G17400.1	1477	1224.16	8	0.993621
AT1G50930.1	790	537.158	14	3.96273
AT1G17390.1	1024	771.158	0	0
AT1G09400.1	1182	929.158	7	1.14545
AT1G09415.1	655	402.335	41	15.494
AT1G74730.1	891	638.158	0	0
AT1G75100.1	2279	2026.16	7	0.525283
AT1G75240.1	1608	1355.16	0	0
AT1G14920.1	2129	1876.16	52	4.21407
AT1G65510.1	480	228.732	101	67.1373
AT1G75250.1	381	139.596	0	0
AT1G54410.1	728	475.158	22779	7288.95
AT1G09410.1	2118	1865.16	17	1.3858
AT1G54420.1	363	125.048	0	0
AT1G54430.1	4920	4667.16	0	0
AT1G75090.1	1303	1050.16	15	2.17173
AT1G36950.1	681	428.294	6	2.12999
AT1G50940.1	1389	1136.16	56	7.49407
AT1G14930.1	719	466.206	2	0.65226
AT1G65970.1	737	484.158	417.33	131.057
AT1G17410.1	795	542.158	17	4.76751
AT1G31880.1	1574	1321.16	29	3.33743
AT1G77320.1	3383	3130.16	97	4.71166
AT1G77500.1	3158	2905.16	243	12.7176
AT1G51320.1	1128	875.158	0	0
AT1G43990.1	3294	3041.16	0	0
AT1G74770.1	3904	3651.16	398	16.5738
AT1G75080.1	1563	1310.16	96	11.1408
AT1G14890.1	944	691.158	41	9.01934
AT1G51330.1	582	329.369	0	0
AT1G80350.1	1932	1679.16	523	47.3564
AT1G14900.1	1025	772.158	316	62.2227
AT1G15960.1	2137	1884.16	13.1312	1.05963
AT1G14980.1	690	437.294	333	115.781
AT1G14910.1	2413	2160.16	221	15.5552
AT1G44100.1	2151	1898.16	121	9.69218
AT1G42450.1	3260	3007.16	0	0
AT1G15000.1	1471	1218.16	191	23.8395
AT1G31850.1	2324	2071.16	553	40.5957
AT1G79210.1	1061	808.158	185	34.8052
AT1G67160.1	1353	1100.16	9	1.24381
AT1G42350.1	7480	7227.16	21	0.441794
AT1G20960.1	7013	6760.16	2620	58.9268
AT1G74780.1	1976	1723.16	21	1.85294
AT1G65620.1	1381	1128.16	9	1.21294
AT1G12680.1	1933	1680.16	108	9.77332
AT1G74790.1	2458	2205.16	115	7.92915
AT1G77510.1	1798	1545.16	587	57.7608
AT1G43980.1	1866	1613.16	3	0.282757
AT1G77300.1	5791	5538.16	588	16.1429
AT1G80340.1	1083	830.158	50	9.15751
AT1G65985.1	1456	1203.16	339	42.8396
AT1G43995.1	494	242.162	0	0
AT1G51340.2	1870	1617.16	48	4.51291
AT1G31860.1	1065	812.158	113	21.1547
AT1G73450.1	3721	3468.16	205.199	8.99591
AT1G21070.1	1663	1410.16	43	4.63627
AT1G51350.1	2441	2188.16	57	3.96063
AT1G14950.1	845	592.158	0	0
AT1G09440.1	1593	1340.16	47	5.33225
AT1G09390.1	1341	1088.16	16	2.23561
AT1G22840.1	730	477.158	428	136.38
AT1G09430.1	1838	1585.16	389	37.3117
AT1G44010.1	778	525.158	10	2.8952
AT1G80360.1	1492	1239.16	464	56.9324
AT1G73445.1	735	482.158	1	0.31534
AT1G74720.1	3757	3504.16	281	12.1925
AT1G65980.1	890	637.158	203	48.4414
AT1G44000.1	1108	855.158	32	5.68947
AT1G65940.1	450	200.31	0	0
AT1G75260.1	1633	1380.16	66	7.27082
AT1G31900.1	258	48.1233	2	6.31892
AT1G14970.1	1825	1572.16	49	4.7388
AT1G42320.1	4574	4321.16	1	0.0351859
AT1G14960.1	688	435.294	30	10.4787
AT1G12670.1	305	80.2128	0	0
AT1G73460.1	3703	3450.16	352.801	15.5474
AT1G09450.1	2096	1843.16	23	1.89729
AT1G51355.1	750	497.158	3	0.917476
AT1G36750.1	1078	825.158	0	0
AT1G12660.1	414	167.62	0	0
AT1G75130.1	1660	1407.16	132	14.2626
AT1G21120.1	1358	1105.16	391.65	53.8817
AT1G09740.1	843	590.158	167	43.0245
AT1G21110.1	1385	1132.16	430.35	57.7941
AT1G50900.1	793	540.158	32.694	9.2027
AT1G37000.1	660	407.335	0	0
AT1G77330.1	1239	986.158	1094	168.67
