"","query_id","subject_id","subject_id.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","pident.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","length.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","evalue.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","nextevalue.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","E_diff.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","bitscore.Brapa3.0_pep_vs_brapa_fpsccyc_fasta_best","pident.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","length.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","evalue.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","nextevalue.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","E_diff.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best","bitscore.brapa_fpsccyc_fasta_vs_Brapa3.0_pep_best"
"1","BRARA.A00005-MONOMER","BraA01g000060.3C","BRARA.A00005-MONOMER",99.73,1111,0,0,NA,2291,99.73,1111,0,0,NA,2291
"2","BRARA.A00007-MONOMER","BraA01g000080.3C","BRARA.A00007-MONOMER",90.402,323,0,1.58e-81,-Inf,580,90.402,323,0,9.55e-65,-Inf,580
"3","BRARA.A00017-MONOMER","BraA01g000160.3C","BRARA.A00017-MONOMER",99.265,544,0,0,NA,1102,99.265,544,0,0,NA,1102
"4","BRARA.A00022-MONOMER","BraA01g000220.3C","BRARA.A00022-MONOMER",100,493,0,0,NA,1030,100,493,0,0,NA,1030
"5","BRARA.A00023-MONOMER","BraA01g000230.3C","BRARA.A00023-MONOMER",100,476,0,0,NA,987,100,476,0,0,NA,987
"6","BRARA.A00042-MONOMER","BraA01g000660.3C","BRARA.A00042-MONOMER",99.711,346,0,0,NA,721,99.711,346,0,0,NA,721
"7","BRARA.A00060-MONOMER","BraA01g000480.3C","BRARA.A00060-MONOMER",98.667,300,0,2.89e-154,-Inf,613,98.667,300,0,1.51e-154,-Inf,613
"8","BRARA.A00062-MONOMER","BraA01g000460.3C","BRARA.A00062-MONOMER",100,504,0,0,NA,1048,100,504,0,0,NA,1048
"9","BRARA.A00068-MONOMER","BraA01g000580.3C","BRARA.A00068-MONOMER",99.79,477,0,0,NA,986,99.79,477,0,0,NA,986
"10","BRARA.A00072-MONOMER","BraA01g000700.3C","BRARA.A00072-MONOMER",100,511,0,0,NA,1048,100,511,0,0,NA,1048
"11","BRARA.A00081-MONOMER","BraA01g000790.3C","BRARA.A00081-MONOMER",98.639,294,0,0,NA,597,98.639,294,0,0,NA,597
"12","BRARA.A00082-MONOMER","BraA01g000830.3C","BRARA.A00082-MONOMER",99.63,541,0,0,NA,1125,99.63,541,0,0,NA,1125
"13","BRARA.A00086-MONOMER","BraA01g000850.3C","BRARA.A00086-MONOMER",100,519,0,0,NA,1082,100,519,0,0,NA,1082
"14","BRARA.A00101-MONOMER","BraA01g001040.3C","BRARA.A00101-MONOMER",98.792,414,0,0,NA,849,98.792,414,0,0,NA,849
"15","BRARA.A00102-MONOMER","BraA01g001050.3C","BRARA.A00102-MONOMER",99.398,665,0,0,NA,1366,99.398,665,0,0,NA,1366
"16","BRARA.A00105-MONOMER","BraA01g001080.3C","BRARA.A00105-MONOMER",96.927,358,0,0,NA,706,96.927,358,0,0,NA,706
"17","BRARA.A00106-MONOMER","BraA01g001090.3C","BRARA.A00106-MONOMER",100,355,0,9.52e-155,-Inf,729,100,355,0,4.54e-154,-Inf,729
"18","BRARA.A00111-MONOMER","BraA01g001150.3C","BRARA.A00111-MONOMER",100,670,0,0,NA,1396,100,670,0,0,NA,1396
